,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Home28咖哩 (台中大里店),jg61,2,"['咖哩', '日式']",False,15.0,79.0,15.0,5.0,0.8054618647750045,612
1,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,50.0,35.0,1.8216655148276577,7292
2,喵圈子,zxm1,2,['甜點'],False,15.0,79.0,20.0,5.0,2.3176810240331647,35
3,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.2594608594859973,1883
4,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.338200878461863,2259
5,餓了台式丼飯 (大里塗城店),q6w5,2,['台式'],False,15.0,79.0,25.0,5.0,3.0531573641587073,2418
6,鴨王鴨肉飯 (台中建成店),mgi7,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.6450161952305122,577
7,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,30.0,10.0,3.512227325338983,175
8,鑫淼棧烤肉飯,ok1j,2,['台式'],False,15.0,79.0,25.0,5.0,2.5862850481423356,262
9,胖老爹美式炸雞 (大里立人店),bo2z,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.1463969553534814,214
10,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,45.0,30.0,2.425655228873959,32
11,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,60.0,45.0,0.8443473217042304,10
12,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,2.195902808583392,1087
13,品心港式飲茶 (台中大里店),tbcb,3,"['湯品', '麵食', '港式']",False,15.0,79.0,20.0,10.0,0.7799892824830096,27
14,十二月粥品茶飲私房茶,y5dg,3,"['中式', '粥']",True,15.0,79.0,25.0,10.0,3.6291261492425697,796
15,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,25.0,10.0,2.8804471539240795,537
16,KATZ 卡司韓藝料理 (大魯閣新時代店),dx4c,3,"['韓式', '炸雞']",False,15.0,79.0,45.0,25.0,2.971991507900722,379
17,联亭泡菜鍋 (台中大里店),q7oe,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.5814410010328,2261
18,北平水餃大王,bfwp,2,"['湯品', '台式']",False,15.0,79.0,25.0,15.0,1.312019894875356,267
19,花囍家 (專業生熟食日式料理專門店),j7bp,2,"['便當', '日式']",False,15.0,79.0,25.0,10.0,2.865290783592176,1669
20,飯飯 (民權總店),f9gi,2,"['便當', '台式']",False,15.0,79.0,35.0,20.0,2.832685126800448,9970
21,路口麵食館,i5ui,2,"['湯品', '麵食', '台式']",True,15.0,79.0,20.0,5.0,1.5088961689392122,789
22,美滿小籠湯包,pxfp,2,"['中式', '麵食']",True,15.0,79.0,25.0,15.0,1.341059998154445,194
23,京華煙雲,w0np,3,['中式'],False,15.0,79.0,25.0,5.0,3.041051885747268,238
24,丰盛町,l8ll,2,"['便當', '台式']",False,15.0,79.0,30.0,10.0,3.6016290304935135,16
25,林記飯館,y2zm,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.7149672911845252,4635
26,Burger King 漢堡王 (台中大里店),e4pf,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,5.0,0.27079921662050443,4156
27,麥當勞 (S258 大里大買家店),a4zm,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.5038859874806026,6688
28,築也日本料理 (台中益民二店),y1kw,2,['日式'],False,15.0,79.0,20.0,10.0,0.657991643836363,2138
29,林家鹹酥雞魷魚,uh93,2,['小吃'],False,15.0,79.0,20.0,5.0,1.1667575368634613,343
30,芯滋嵐拉麵,e0ha,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.7180808897212818,1460
31,布袋鮮の蚵,p0dw,2,['台式'],False,15.0,79.0,15.0,5.0,0.7292338285745165,1232
32,肯德基KFC炸雞漢堡店 (大里中興二店),z4qk,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,20.0,5.0,1.2632797429306195,3520
33,大漠蒙古麻辣燙 (台中大里店),pqp8,2,['小吃'],False,15.0,79.0,20.0,5.0,1.3239805580263289,1667
34,大胖排骨飯,y7kw,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.032830536302801,4716
35,釜山崔炸雞 (大里益民店),mnlb,2,"['韓式', '炸雞']",False,15.0,79.0,15.0,5.0,0.9147849927374019,87
36,Louisa 路易莎 (大里國光店),bnl7,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,20.0,5.0,1.037772805501657,1924
37,丐幫滷味 (台中美村分舵),a4vq,2,['小吃'],False,15.0,79.0,20.0,5.0,1.150303153389701,4030
38,爭鮮迴轉壽司 (台中大里店),n6bs,2,['日式'],False,15.0,79.0,15.0,5.0,0.7566055065411672,2310
39,飯田食處,aj54,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,1.2675703625610237,838
40,初本粥舖 (美村南店),wig2,2,"['粥', '台式']",False,15.0,79.0,20.0,5.0,1.3268316938735563,380
41,烏龍麵所 (大里益民店),h6bb,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.9487160759244544,1624
42,大埔鐵板燒 (台中高工店),e7hv,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,10.0,1.3080094599233283,2575
43,茶海 (台中大明店),z9hg,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6074149652720794,1915
44,夯霸 (台中忠孝店),y3kx,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.185898067193388,3019
45,四海遊龍 (台中大里益民店),a6pa,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,1.2083200415267463,3253
46,巷口炸雞專門店 (台中大里店),d0ez,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.2712173451771986,2164
47,正好吃龍鹽酥雞 (台中大里店),y5mz,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.9690747368399794,1698
48,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,50.0,35.0,1.8216655148276577,7292
49,喵圈子,zxm1,2,['甜點'],False,15.0,79.0,20.0,5.0,2.3176810240331647,35
50,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.2594608594859973,1883
51,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.338200878461863,2259
52,餓了台式丼飯 (大里塗城店),q6w5,2,['台式'],False,15.0,79.0,25.0,5.0,3.0531573641587073,2418
53,鴨王鴨肉飯 (台中建成店),mgi7,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.6450161952305122,577
54,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,30.0,10.0,3.512227325338983,175
55,鑫淼棧烤肉飯,ok1j,2,['台式'],False,15.0,79.0,25.0,5.0,2.5862850481423356,262
56,胖老爹美式炸雞 (大里立人店),bo2z,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.1463969553534814,214
57,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,45.0,30.0,2.425655228873959,32
58,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,60.0,45.0,0.8443473217042304,10
59,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,2.195902808583392,1087
60,品心港式飲茶 (台中大里店),tbcb,3,"['湯品', '麵食', '港式']",False,15.0,79.0,20.0,10.0,0.7799892824830096,27
61,十二月粥品茶飲私房茶,y5dg,3,"['中式', '粥']",True,15.0,79.0,25.0,10.0,3.6291261492425697,796
62,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,25.0,10.0,2.8804471539240795,537
63,KATZ 卡司韓藝料理 (大魯閣新時代店),dx4c,3,"['韓式', '炸雞']",False,15.0,79.0,45.0,25.0,2.971991507900722,379
64,联亭泡菜鍋 (台中大里店),q7oe,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.5814410010328,2261
65,北平水餃大王,bfwp,2,"['湯品', '台式']",False,15.0,79.0,25.0,15.0,1.312019894875356,267
