,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,手作功夫茶 (新竹高翠店),b8ao,2,['飲料'],False,19.0,79.0,30.0,5.0,1.4705045400029348,1620
1,犁田鹹酥雞 (新竹寶豐店),ls4l,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,0.3869986819907742,46
2,僑記刀切麵食館 (新竹高翠店),f9ar,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,1.5337560064623459,1650
3,夏日鍋物,y9rl,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.4758599200569673,1768
4,李媽媽筒仔米糕,y7em,1,['台式'],False,19.0,79.0,30.0,5.0,1.4667588377775116,754
5,思茶 (新竹寶山店),f4dx,2,['飲料'],False,19.0,79.0,30.0,5.0,2.1341190273796378,2045
6,阿傅哥沙茶羊肉炒麵,hhbd,2,"['湯品', '台式']",False,19.0,79.0,35.0,10.0,1.0971892885050811,33
7,達美樂 (園區店),x5wb,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.080046043823089,1099
8,弘爺漢堡 (新竹高翠店),g7yk,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.4772197777505516,891
9,瑞斯飯糰 (新竹寶山店),jcm2,2,['台式'],False,19.0,79.0,40.0,15.0,2.119140714612614,109
10,Ramble Cafe漫步藍咖啡( 新竹雙園店),fflr,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,1.5865326615701154,243
11,雙醬咖哩 (新竹雙溪店),wrue,2,"['咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.27538033595640193,395
12,CoCo都可 (園區寶山店),m2xx,2,['飲料'],False,19.0,79.0,40.0,15.0,0.06181696076492115,142
13,瘋丼,q6sy,2,"['便當', '日式']",False,19.0,79.0,40.0,15.0,1.466230181329652,1189
14,海水屋 (寶山雙豐店),pve6,3,"['便當', '台式']",False,19.0,79.0,40.0,15.0,0.30040474608037016,435
15,北ㄟ私房餐盒,mekw,2,"['便當', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,1.1632310198003055,11
16,老吳賣G,ctq9,2,['台式'],False,19.0,79.0,40.0,15.0,2.9625696141352353,8
17,呷便當、清粥小菜,cg2s,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.7504543883845187,538
18,北方大陸餅 (新竹竹蓮店),e2ao,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.141733799849721,2050
19,好食早餐店,vgh7,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.7451241906458184,80
20,拉亞漢堡 (新竹交大店),oulv,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.718154852031458,262
21,拉亞漢堡 (新竹新莊店),zzak,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.712881778149545,299
22,DoDo早餐店,ua7m,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.987440143464053,1441
23,牛埔水煎包 (新竹東南店),cq1j,1,['小吃'],False,19.0,79.0,40.0,15.0,3.646340734981644,371
24,喜得碳火燒三明治,y5qa,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.5705153247996484,15
25,早安公雞 (新竹東南店),z4ih,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.7222087174440612,5990
26,春樹豆漿早食,aed2,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.4327569505358797,60
27,漢堡大師 (新竹竹科店),fp6w,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.451534098369613,942
28,麥味登 (新竹動物園店),mv3v,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.694290170157208,2399
29,晨間廚房 (新竹建華店),uvzz,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.5206795026190294,487
30,蕃茄村 (新竹東南店),z8ua,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.999122345548973,538
31,張老吉水煎包,m1zx,1,['小吃'],False,19.0,79.0,40.0,15.0,3.0806474026405115,55
32,劉姊姊飯糰 (新竹建華店),dsfl,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.5078366043680993,60
33,晨吉司漢肉排蛋吐司 (竹科關東店),iarj,1,"['歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.9862293869134775,839
34,彭記小籠包,z9aq,2,['中式'],False,19.0,79.0,40.0,10.0,3.586851190298104,1680
35,瑞麟美而美明湖20號早餐,d5dd,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.972183140077372,1372
36,雅加達早餐店 (新竹寶山店),b5pe,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.5212195090867877,368
37,早安荳咪,wd1u,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.982887196753842,150
38,藍盤子早午餐 (新竹南大店),l7zn,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.69743147345093,303
39,西大路大粉粿,kwie,1,['小吃'],False,19.0,79.0,40.0,15.0,4.025937868791686,114
40,早安美芝城 (新竹科園概念店),aa4b,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.00920777455006,20
41,小媽咪早餐坊,y3zq,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.79675403528375,2202
42,歐浮找餐 (新竹東南店),ks7h,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.5788592919896085,514
43,精食巧海苔飯捲 (新竹寶山店),cmpo,2,['台式'],False,19.0,79.0,40.0,15.0,3.5424360067833054,137
44,城市漢堡 (新竹南大店),rda0,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.877863344613635,444
45,歐浮找餐 (新竹竹科店),g2fn,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.3377188949826873,1711
46,Louisa 路易莎 (新竹關新店),wh0z,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,3.733224249963302,2293
47,蕃茄村早午餐 (新竹育賢店),d2ok,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.718559833217904,1367
48,犁田鹹酥雞 (新竹寶豐店),ls4l,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,0.3869986819907742,46
49,僑記刀切麵食館 (新竹高翠店),f9ar,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,1.5337560064623459,1650
50,夏日鍋物,y9rl,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.4758599200569673,1768
51,李媽媽筒仔米糕,y7em,1,['台式'],False,19.0,79.0,30.0,5.0,1.4667588377775116,754
52,思茶 (新竹寶山店),f4dx,2,['飲料'],False,19.0,79.0,30.0,5.0,2.1341190273796378,2045
53,阿傅哥沙茶羊肉炒麵,hhbd,2,"['湯品', '台式']",False,19.0,79.0,35.0,10.0,1.0971892885050811,33
54,達美樂 (園區店),x5wb,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.080046043823089,1099
