,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,千粵燒味飯Cloud Kitchen,iigj,2,"['便當', '港式']",False,15.0,79.0,25.0,10.0,1.2824627885147784,41
1,餓了台式丼飯 (台中豐原店),y8w4,2,['台式'],False,15.0,79.0,20.0,5.0,1.5920547246512502,207
2,Pizza Hut必勝客 (台中豐原店),z4ax,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.2847792789289317,3787
3,元氣當歸鴨 (台中南陽店),pae3,2,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,1.281238595099897,1210
4,多墨拉麵 (豐原直興店),dhun,2,"['麵食', '日式']",False,15.0,79.0,20.0,10.0,0.6546710785304255,50
5,專箸鐵板燒,sz0s,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.6572981873402715,694
6,吉品鐵板燒 (台中豐東店),a3vs,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,10.0,1.2784696744026478,3014
7,四海遊龍 (台中豐原店),a9mb,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,0.30869043241293764,4466
8,浪人鐵板燒 (豐原店),qech,2,"['鐵板燒', '台式']",True,15.0,79.0,25.0,5.0,1.648298019081666,1166
9,老甕手工粉圓 (台中豐原店),g4pl,1,['甜點'],False,15.0,79.0,30.0,15.0,0.4938808836405739,135
10,泰爸泰式料理,c3ul,3,"['咖哩', '東南亞']",True,15.0,79.0,25.0,10.0,0.49278671043571887,256
11,江湖客棧海鮮粥,wbat,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,2.251910410317907,142
12,新橋五町目,fqqu,2,['日式'],False,15.0,79.0,20.0,10.0,0.07920134395221652,114
13,普羅咖啡館,axt2,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,1.7892668268387575,183
14,大明邱鴨頭,q0vo,2,['小吃'],True,15.0,79.0,30.0,10.0,2.0555317650721983,487
15,麥當勞 (S29 豐原和平店),b9tu,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.41818287845087676,9578
16,肯德基KFC炸雞漢堡店 (台中豐原店),z1tx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,0.2703535676452207,5399
17,50嵐 (豐原三民店),b4hc,2,['飲料'],False,15.0,79.0,20.0,5.0,0.24484405916750646,3143
18,21PLUS、21風味館 (豐原中正門市),jh4q,2,"['歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.21791340221680663,272
19,烏龍麵所 (台中豐原店),rytl,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,0.2364399630640449,1222
20,豐原龍鹽酥雞,a1ex,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.668114102521684,2920
21,五八炒飯,p5ec,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,0.6745381074140817,1813
22,六扇門 (台中豐原店),a7vu,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,0.34457675623389955,4823
23,廟東新香蚵仔煎,eely,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,0.4976078764526105,1201
24,九湯屋日式拉麵 (豐原信義店),k3db,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,0.3491518244270411,1398
25,Burger King 漢堡王 (台中豐原店),z3fu,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,0.25646762938662643,4369
26,開源社香雞排 (台中三民店),a0ah,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.26289656756215385,1596
