,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台中烏日店),z3pe,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,2.2055896447090118,2573
1,Home28咖哩 (台中大里店),jg61,2,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,2.7352330605225523,612
2,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,50.0,35.0,2.638539606722324,7292
3,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0618747968278683,1883
4,Pizza Hut必勝客 (台中工學店),z7ix,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.5337406488668496,2670
5,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.1710470025274342,2259
6,斗六門當歸鴨 台中南屯店,r2ox,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.1540281960888716,1998
7,泰潮私房菜 (台中黎明店),k24g,3,['東南亞'],False,15.0,79.0,25.0,5.0,3.485418252113087,110
8,鑫淼棧烤肉飯,ok1j,2,['台式'],False,15.0,79.0,25.0,5.0,3.8667290598745705,262
9,日出客棧茶飲-小農鮮奶 (烏日明道店),hqam,2,['飲料'],False,15.0,79.0,20.0,5.0,2.0460958315949487,166
10,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,40.0,30.0,0.4102649910524873,32
11,肉鮮生Mr.M.EAT韓式烤肉 (台中文心店),i28p,2,"['韓式', '便當', '炸雞']",False,15.0,79.0,40.0,20.0,3.015108585195743,28
12,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,65.0,45.0,2.602202853083637,10
13,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,3.3291909901258006,1087
