,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (竹北中華店),z7sa,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,0.9612895373632577,3350
1,宏味港式臭豆腐,d1ir,2,['小吃'],False,19.0,79.0,25.0,5.0,0.5756565750399658,1294
2,麵朝 (竹北博愛店),o6kb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.36388552582732486,1434
3,四海遊龍 (竹北二店),l0xn,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6393415394796766,2076
4,中正雞場鹽水雞 (竹北三民店),rvxx,2,['小吃'],False,19.0,79.0,25.0,5.0,0.5774527024177453,581
5,果霸茶 (竹北博愛店),xz4t,2,['飲料'],False,19.0,79.0,25.0,5.0,0.6426132017128294,104
6,鍋賣局 (竹北家樂福店),i9ly,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,0.4131083763571723,747
7,好吸HITS THE SPOT (新竹竹北店),nt7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.9060890731492917,48
8,御私藏 (竹北中正西店),i9tl,2,['飲料'],False,19.0,79.0,25.0,10.0,1.2328444478951546,2458
9,老賴茶棧 (竹北正西店),a9nc,2,['飲料'],True,19.0,79.0,25.0,5.0,1.119651600991211,1865
10,顏記幽靈馬車(竹北高中對面),c8gx,2,['小吃'],True,19.0,79.0,25.0,5.0,0.6891522752134746,1607
11,涮肉亭麻辣鍋 (竹北光明店),smnk,3,"['中式', '火鍋']",False,19.0,79.0,50.0,35.0,0.4912778657685227,126
12,森森燒肉 (新竹竹北店),i2j4,2,['日式'],False,19.0,79.0,40.0,20.0,2.048947590996964,21
13,游麵館 (竹北光明三店),uivy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.4163940949373417,1589
14,麥當勞 (S146 竹北中華店),y0au,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,0.6431028619443077,17202
15,大埔鐵板燒 (竹北光明店),z4sx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,0.31908487165946176,3567
16,(極)黃燜雞米飯 (竹北三民店),vc5p,2,['中式'],False,19.0,79.0,25.0,5.0,0.7438470950469032,566
17,粥大福 (竹北博愛店),lfcu,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,0.17462371338147398,193
18,大廟厚切牛排 (新竹竹北店),w02q,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.6111534779449442,1699
19,Burger King 漢堡王 (竹北店),y4hp,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,0.5952812886136365,4957
20,燒夜串燒 (新竹竹北店),p5u4,2,['小吃'],False,19.0,79.0,25.0,10.0,0.45986915035348785,197
21,五桐號 (竹北三民店),ixzl,2,['飲料'],False,19.0,79.0,25.0,5.0,0.5976014509188771,175
22,八方雲集 (竹北博愛店),a5rw,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6591646970840185,1858
23,愛麵子小吃,f6nd,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,0.4008182158281522,1925
24,台北永和豆漿大王 (新竹竹北店),vtec,2,['小吃'],False,19.0,79.0,25.0,5.0,1.3777709282518837,3665
25,一生懸雞 (竹北三民店),f3pc,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.5722666924852355,1352
26,大中華粥麵館 (新竹三民店),b0ng,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,5.0,0.5833463189888773,2089
27,誠記麵食館,v6lb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.7525886560739102,1424
28,燒胖 (竹北光明店),vlf6,2,['台式'],False,19.0,79.0,25.0,5.0,0.30307424783877956,146
29,鮮丼 (新竹竹北店),x7am,2,['日式'],False,19.0,79.0,25.0,5.0,0.5499209940359677,2162
30,台北麻將麻辣臭豆腐 (新竹竹北店),srgy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,10.0,0.5692754494865755,871
31,柯家牛肉麵館,n3gj,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.5554524454352661,994
32,五桐號 (竹北正西店),odpg,2,['飲料'],False,19.0,79.0,25.0,5.0,1.1034698129265539,204
33,川牛木石亭 (竹北博愛店),s4yc,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.38574624165975724,374
34,拿坡里 (竹北店8217),b358,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,25.0,10.0,0.42456469649715733,1571
35,焗的飽平價義式焗烤 (新竹竹北店),wup8,2,['歐美'],False,19.0,79.0,25.0,10.0,0.3875111722243713,119
36,NU PASTA (竹北文信店),z6ce,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,0.5015327678063558,2266
37,開源社香雞排 (新竹竹北三民店),a9np,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.6051955301825627,2221
38,阿富魯肉飯 (竹北中華店),xgci,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,0.5829558048225144,177
39,珍煮丹 (竹北三民店),gthn,2,['飲料'],False,19.0,79.0,25.0,5.0,0.601427255183585,1401
40,福勝亭 (竹北店4623),t2tx,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,0.5977986021373097,1803
41,麻丹辣麻辣滷味(竹北店),t2nl,2,['小吃'],False,19.0,79.0,25.0,5.0,0.7227132534406077,3309
42,85度C (竹北博愛店),e5wc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,25.0,5.0,1.0165946802343777,1755
43,自由創炒,teny,2,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,0.6371435813808185,472
44,羽之鍋 (竹北三民店),a2q6,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,0.6227381497569758,1248
45,八方雲集 (竹北中正東店),d1vq,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,0.9113693307382296,1564
46,九湯屋日式拉麵 (竹北三民店),y1qj,2,"['麵食', '日式']",False,19.0,79.0,30.0,10.0,0.5809823403643501,1697
47,覺客 (竹北店),y5ah,2,['飲料'],False,19.0,79.0,20.0,5.0,0.2719559901395999,724
48,宏味港式臭豆腐,d1ir,2,['小吃'],False,19.0,79.0,25.0,5.0,0.5756565750399658,1294
49,麵朝 (竹北博愛店),o6kb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.36388552582732486,1434
50,四海遊龍 (竹北二店),l0xn,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6393415394796766,2076
51,中正雞場鹽水雞 (竹北三民店),rvxx,2,['小吃'],False,19.0,79.0,25.0,5.0,0.5774527024177453,581
52,果霸茶 (竹北博愛店),xz4t,2,['飲料'],False,19.0,79.0,25.0,5.0,0.6426132017128294,104
53,鍋賣局 (竹北家樂福店),i9ly,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,0.4131083763571723,747
54,好吸HITS THE SPOT (新竹竹北店),nt7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.9060890731492917,48
55,御私藏 (竹北中正西店),i9tl,2,['飲料'],False,19.0,79.0,25.0,10.0,1.2328444478951546,2458
56,老賴茶棧 (竹北正西店),a9nc,2,['飲料'],True,19.0,79.0,25.0,5.0,1.119651600991211,1865
57,顏記幽靈馬車(竹北高中對面),c8gx,2,['小吃'],True,19.0,79.0,25.0,5.0,0.6891522752134746,1607
58,涮肉亭麻辣鍋 (竹北光明店),smnk,3,"['中式', '火鍋']",False,19.0,79.0,50.0,35.0,0.4912778657685227,126
59,森森燒肉 (新竹竹北店),i2j4,2,['日式'],False,19.0,79.0,40.0,20.0,2.048947590996964,21
60,游麵館 (竹北光明三店),uivy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.4163940949373417,1589
61,麥當勞 (S146 竹北中華店),y0au,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,0.6431028619443077,17202
62,大埔鐵板燒 (竹北光明店),z4sx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,0.31908487165946176,3567
63,(極)黃燜雞米飯 (竹北三民店),vc5p,2,['中式'],False,19.0,79.0,25.0,5.0,0.7438470950469032,566
64,粥大福 (竹北博愛店),lfcu,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,0.17462371338147398,193
65,大廟厚切牛排 (新竹竹北店),w02q,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.6111534779449442,1699
66,Burger King 漢堡王 (竹北店),y4hp,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,0.5952812886136365,4957
67,燒夜串燒 (新竹竹北店),p5u4,2,['小吃'],False,19.0,79.0,25.0,10.0,0.45986915035348785,197
68,五桐號 (竹北三民店),ixzl,2,['飲料'],False,19.0,79.0,25.0,5.0,0.5976014509188771,175
69,八方雲集 (竹北博愛店),a5rw,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6591646970840185,1858
70,愛麵子小吃,f6nd,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,0.4008182158281522,1925
71,台北永和豆漿大王 (新竹竹北店),vtec,2,['小吃'],False,19.0,79.0,25.0,5.0,1.3777709282518837,3665
72,一生懸雞 (竹北三民店),f3pc,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.5722666924852355,1352
73,大中華粥麵館 (新竹三民店),b0ng,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,5.0,0.5833463189888773,2089
74,誠記麵食館,v6lb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.7525886560739102,1424
75,燒胖 (竹北光明店),vlf6,2,['台式'],False,19.0,79.0,25.0,5.0,0.30307424783877956,146
76,鮮丼 (新竹竹北店),x7am,2,['日式'],False,19.0,79.0,25.0,5.0,0.5499209940359677,2162
77,台北麻將麻辣臭豆腐 (新竹竹北店),srgy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,10.0,0.5692754494865755,871
78,柯家牛肉麵館,n3gj,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.5554524454352661,994
79,五桐號 (竹北正西店),odpg,2,['飲料'],False,19.0,79.0,25.0,5.0,1.1034698129265539,204
80,川牛木石亭 (竹北博愛店),s4yc,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.38574624165975724,374
81,拿坡里 (竹北店8217),b358,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,25.0,10.0,0.42456469649715733,1571
82,焗的飽平價義式焗烤 (新竹竹北店),wup8,2,['歐美'],False,19.0,79.0,25.0,10.0,0.3875111722243713,119
83,NU PASTA (竹北文信店),z6ce,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,0.5015327678063558,2266
84,開源社香雞排 (新竹竹北三民店),a9np,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.6051955301825627,2221
85,阿富魯肉飯 (竹北中華店),xgci,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,0.5829558048225144,177
86,珍煮丹 (竹北三民店),gthn,2,['飲料'],False,19.0,79.0,25.0,5.0,0.601427255183585,1401
87,福勝亭 (竹北店4623),t2tx,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,0.5977986021373097,1803
88,麻丹辣麻辣滷味(竹北店),t2nl,2,['小吃'],False,19.0,79.0,25.0,5.0,0.7227132534406077,3309
89,85度C (竹北博愛店),e5wc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,25.0,5.0,1.0165946802343777,1755
90,自由創炒,teny,2,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,0.6371435813808185,472
91,羽之鍋 (竹北三民店),a2q6,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,0.6227381497569758,1248
92,八方雲集 (竹北中正東店),d1vq,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,0.9113693307382296,1564
93,九湯屋日式拉麵 (竹北三民店),y1qj,2,"['麵食', '日式']",False,19.0,79.0,30.0,10.0,0.5809823403643501,1697
94,覺客 (竹北店),y5ah,2,['飲料'],False,19.0,79.0,20.0,5.0,0.2719559901395999,724
95,三媽臭臭鍋 (新竹博愛店),z4nc,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,0.3842290241040554,2653
96,萬波島嶼紅茶 (竹北三民店),zjp8,2,['飲料'],False,19.0,79.0,25.0,5.0,0.7049855423502976,149
97,思茶 (竹北光明店),a3xy,2,['飲料'],False,19.0,79.0,25.0,5.0,0.4108825455817796,4022
98,3Q雞排 (竹北中正店),a6kd,2,"['小吃', '炸雞']",False,19.0,79.0,45.0,25.0,0.8663964701374047,4650
99,茶棧 (竹北總店),n0ag,2,['飲料'],False,19.0,79.0,25.0,5.0,0.7387136645439957,2324
100,東方麵線糊,i1hi,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,0.8049094776168574,628
101,清心福全 (竹北縣政店),d2tb,2,['飲料'],False,19.0,79.0,25.0,5.0,0.990729872595924,2284
102,迷客夏 Milksha (新竹光明店),gcp7,2,['飲料'],False,19.0,79.0,25.0,5.0,1.0408363148164652,256
103,馫雞排,q0ex,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,0.8660379350865213,158
104,好嘉鄉火雞肉飯 (竹北店),y9oh,2,"['湯品', '便當', '台式']",False,19.0,79.0,25.0,5.0,0.6639467951153093,2134
105,定食8 (竹北光明店),r8ax,2,"['便當', '日式']",False,19.0,79.0,25.0,10.0,0.4668424586803316,1568
106,飯卷著吃 The Rice Roll (竹北三民店),a86c,2,['韓式'],False,19.0,79.0,30.0,10.0,0.5671946103054399,531
107,三圓豆花 (竹北三民店),sl0s,2,['甜點'],False,19.0,79.0,25.0,10.0,0.5817432020655582,223
108,西門町牛肉粥 (竹北三民店),ols2,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,10.0,0.5717078098784889,180
109,肯德基KFC炸雞漢堡店 (新竹竹北店),z9vr,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,0.7046611094612445,2244
110,高雄戴家滷味,wgwh,2,['小吃'],False,19.0,79.0,25.0,5.0,0.5511065962704012,267
111,摩斯漢堡Mos Burger (竹北縣政店),f2dn,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,0.5659472445861276,3785
112,繼光香香雞 (竹北店),y8wm,2,"['台式', '炸雞']",False,19.0,79.0,25.0,5.0,0.5695167043446602,1720
113,豆戀迷DoReMi豆湯品專賣 (竹北三民店),y2pe,2,['甜點'],False,19.0,79.0,25.0,5.0,0.5676588904894063,1696
114,三清洞韓食 豆腐鍋 (竹北三民店),qc86,2,"['韓式', '火鍋']",False,19.0,79.0,40.0,20.0,0.577592553104889,863
115,鬼匠拉麵 (竹北光明店),gyzb,2,"['麵食', '日式']",True,19.0,79.0,25.0,5.0,0.3841575737905844,713
116,金茶伍 (竹北中正東),aig0,2,['飲料'],False,19.0,79.0,30.0,10.0,0.7682256079010036,665
117,大新竹營養三明治,z2v0,2,"['小吃', '三明治 / 吐司']",False,19.0,79.0,25.0,10.0,0.5274695335457612,172
118,開動食堂 (竹北店),y2iw,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.5582839601851126,756
119,三商巧福 (4255竹北店),aets,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,0.5961903299981727,738
120,鳳麟粥飯麵食館 (中正西店),iaiv,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,1.3049675770012015,1320
121,CoCo都可 (竹北三民店),q716,2,['飲料'],False,19.0,79.0,25.0,5.0,0.5800002648476672,502
122,美利河美式越南料理(竹北文田店),e3dr,2,"['麵食', '東南亞']",True,19.0,79.0,25.0,5.0,0.970006711113933,1766
123,舞奇雞炸雞 (竹北中華店),j2qv,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,5.0,0.8916228736835113,965
124,秀蘭豆花 (新竹竹北店),j6zv,2,['甜點'],False,19.0,79.0,30.0,10.0,1.1491667474670588,1385
125,擱再來快炒 (竹北三民店),ajkw,2,"['湯品', '台式']",False,19.0,79.0,35.0,15.0,0.5610059364604335,985
126,辣王食堂 (丼飯、烏龍麵、鍋物、麻辣燙),g5dv,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,0.3470844955228608,2481
127,日出茶太 (竹北三民店),p0vq,2,['飲料'],False,19.0,79.0,25.0,5.0,0.5902494138879835,933
128,竹北營養三明治,z1tk,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,0.35567032262517767,832
129,SUBWAY (竹北光明店),f4dm,2,['歐美'],False,19.0,79.0,25.0,5.0,0.6100312587096045,1794
130,非吃不可鹽水雞 (竹北三民店),k2yd,2,['小吃'],False,19.0,79.0,25.0,5.0,0.581867906591605,439
131,曾氏福建炒麵 (竹北中正東店),h479,2,['中式'],False,19.0,79.0,30.0,10.0,1.3681034433703219,157
132,潮味決．湯滷專門店 (竹北三民分社),fh8y,2,['台式'],False,19.0,79.0,25.0,5.0,0.73215378627018,107
133,楊台西鵝肉城 (新竹竹北店),ioam,3,['台式'],False,19.0,79.0,25.0,5.0,0.504849667484289,32
134,三顧茅廬 (竹北博愛店),jucx,2,['小吃'],False,19.0,79.0,30.0,10.0,1.2314015075866158,158
135,爭鮮迴轉壽司 (竹北光明店),l0bn,2,['日式'],False,19.0,79.0,25.0,5.0,1.2560812369051242,1357
136,戰鬥雞-油雞/醉雞 輕食 (竹北三民店),seuv,2,"['小吃', '健康餐']",False,19.0,79.0,25.0,5.0,0.5538016191416182,144
137,沈記脆皮五花豬 (新竹竹北總店),rfgf,2,['小吃'],False,19.0,79.0,25.0,10.0,0.38296591217265336,34
138,清原芋圓 (竹北旗艦店),apla,2,['甜點'],True,19.0,79.0,25.0,10.0,0.8010635320003624,954
139,点爭鮮 (新竹竹北店),g5pv,3,['日式'],False,19.0,79.0,30.0,10.0,0.46810253917691275,357
140,羅記美食屋,q4i2,2,"['麵食', '台式']",False,19.0,79.0,25.0,5.0,1.3212698283014548,44
141,CHILL DAY鶖茶 (竹北三民店),ri7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.7101770898864644,56
