,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,萬波島嶼紅茶 (霧峰中正店),lflu,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5162824079110044,315
1,Bubble Z阿偉飲品專賣店 (台中霧峰店),k5bb,1,['飲料'],False,15.0,79.0,20.0,5.0,2.7906821033199893,1329
2,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.1415896892769486,1725
3,軍茶～買一送一（台中成功店）,cls7,2,['飲料'],False,15.0,79.0,20.0,5.0,1.8874843925833102,201
4,龜記茗品 (大里成功店),hhu5,2,['飲料'],False,15.0,79.0,20.0,10.0,1.9575626965567334,317
5,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,25.0,10.0,1.977322285467519,175
6,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,25.0,10.0,2.81504317957509,537
7,小胖鮮鍋 (霧峰店),rhut,2,"['火鍋', '台式']",False,15.0,79.0,40.0,25.0,3.1490437964215787,402
8,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,20.0,10.0,1.9539472180410542,1434
9,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,1.7236806281494401,1089
10,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,20.0,10.0,1.7470971130509132,839
11,麥當勞 (S308 大里中興店),z9nr,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,2.7703734556909487,17196
12,餓了台式丼飯 (大里塗城店),q6w5,2,['台式'],False,15.0,79.0,20.0,5.0,2.5228732381825156,2418
13,大漠蒙古麻辣燙 (大里成功店),mv0s,2,"['中式', '麵食']",False,15.0,79.0,20.0,5.0,1.951982505606878,78
14,阿亮香雞排 (大里塗城店),d5eb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.6361292771269433,2372
15,伍拾貳粥,d0cn,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,1.928184693475703,1923
16,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.119087749285921,3217
17,快樂吃複合式餐飲,z9fu,1,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,1.7408419367559138,2636
18,小廚師台南美食,a2xc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,1.629272653073826,1478
19,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,1.944832563745043,111
20,すき家 Sukiya (台中軟體園區店),a2cx,2,"['便當', '日式']",False,15.0,79.0,20.0,5.0,2.3554253429870315,6388
21,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.1149786559494848,2709
22,橋頭美食現炒,q8eg,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,2.1177990083927405,3688
23,元春鐵板燒 (大里成功店),e9ko,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.109335881672026,3314
24,香品鴨香飯,cjd8,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.9416599815051425,456
25,澄食晨食 (大里成功店),stuw,2,['台式'],False,15.0,79.0,20.0,5.0,1.991960111205755,1913
26,勇樂小吃,d1wu,2,"['麵食', '小吃']",False,15.0,79.0,15.0,5.0,1.3115965834477497,633
27,上品麵食館,d9jj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.9492538633383663,2408
28,築也日本料理店 (台中霧峰店),b2ne,2,['日式'],False,15.0,79.0,20.0,10.0,2.548835211700701,2026
29,開源社香雞排 (台中成功店),b1ke,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.9228912396968696,1563
30,大埔鐵板燒 (台中霧峰店),tvg4,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.2733044045908737,995
31,三媽臭臭鍋 (台中大里成功店),a7ew,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,1.6820184728135623,4592
32,大排檔串燒,b0tx,2,['小吃'],False,15.0,79.0,20.0,10.0,1.9688818205544596,1836
33,四海遊龍 (台中霧峰店),d7pz,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,2.8722256522131975,4905
34,八方雲集 (台中霧峰店),d3oe,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,2.79250553639787,2952
35,紅螞蟻燒烤,e7cg,2,['小吃'],False,15.0,79.0,25.0,15.0,2.3645533313100464,1902
36,清心福全 (霧峰民生店),fxhv,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6770504224436684,72
37,萬波島嶼紅茶 (大里成功店),k39f,2,['飲料'],False,15.0,79.0,20.0,5.0,1.9763764769528989,110
38,小黑柴和風洋食ようしょく,bj67,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.9637478733735616,69
39,福鹿手工水餃 (台中大里店),egss,1,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,1.957477661295805,1008
40,烏龍麵所 (台中霧峰店),le62,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.8225521155363396,375
41,三顧茅廬 (大里成功店),e5gu,2,['小吃'],False,15.0,79.0,20.0,10.0,1.9720416057469474,1331
