,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Home 28咖哩 (中科直營店) x Mula Kitchens,sprk,2,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,1.430617898053797,47
1,八方雲集 (台中忠勇店),d7ln,2,"['台式', '餃子']",False,15.0,79.0,35.0,15.0,3.9490489446926813,2640
2,小豬很忙蔬果滷味 (台中中科店),y1ns,2,['小吃'],False,15.0,79.0,20.0,10.0,0.31012522596287867,1049
3,Pizza Hut必勝客 (台中中科店),y0rh,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.7964333083929457,2399
4,老夫子牛肉麵 (台中黎明店),y5bl,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,1.8278282454989268,4046
5,餓了台式丼飯(上石店),a9uw,2,['台式'],False,15.0,79.0,25.0,5.0,2.6317471483187864,5685
6,鴨王鴨肉飯 (台中逢甲店),v3ze,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.2671499617481756,7445
7,DOUBLE A 雙倍口感飲品專家,d9tg,2,['飲料'],False,15.0,79.0,25.0,5.0,2.1836854066421196,2527
8,小豬很忙蔬果滷味 (台中逢甲店),y1ao,2,['小吃'],False,15.0,79.0,25.0,10.0,2.2409181185575444,1239
9,3鼎紅麻辣鴨血臭豆腐 (台中西屯總店),u1f8,2,['小吃'],False,15.0,79.0,25.0,5.0,3.946162753272336,109
10,頂呱呱TKK (台中漢口店),nc3u,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,5.0,4.0903561006319675,496
11,霸味羊肉爐 (台中福科店),u45p,3,"['火鍋', '台式']",False,15.0,79.0,20.0,5.0,0.3995030020204773,37
12,联亭泡菜鍋 (台中逢甲店),k4hp,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.0517587183427106,1543
13,台灣真有味鹽酥雞,rla0,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,15.0,2.176664760080862,117
14,北回木瓜牛奶 (台中逢甲總店),xrhm,2,['飲料'],False,15.0,79.0,30.0,15.0,2.2922940422989777,392
15,森森燒肉 (台中中科店),cd5g,2,['日式'],False,15.0,79.0,25.0,15.0,1.5545994003070394,36
16,小西藏館,ze1b,3,"['麵食', '異國']",False,15.0,79.0,25.0,5.0,2.44734208691944,13
17,麗媽四季鍋 (台中漢口店),as02,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,4.136056985911267,130
18,新撰組牛肉拉麵 (台中中科店),af7n,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.4372649977702165,406
19,HUN貳 (逢甲店),d10g,3,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.1728436435672216,903
20,大麻粉圓,gs5q,1,['甜點'],False,15.0,79.0,30.0,15.0,2.2008164967011052,233
21,上安美食傳統肉粥,d2cj,2,"['粥', '台式']",False,15.0,79.0,25.0,10.0,1.8585533207069032,1053
22,大王麻辣乾麵,rl7t,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,2.2973892206994524,183
23,阿三哥擔仔麵 (台中青海店),yx9m,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.9244246438565513,305
24,村口微光 (台中逢甲店),zqfh,3,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,2.0726697383927997,183
25,九牛一鍋燒烤,ajmr,2,"['火鍋', '台式']",False,15.0,79.0,20.0,10.0,0.30352930968911856,11
26,樹丼食堂,z0tb,2,"['便當', '日式']",True,15.0,79.0,25.0,5.0,3.8738095485563018,1272
27,順億鮪魚專賣店 (台中文心店),ai9l,3,['日式'],False,15.0,79.0,25.0,5.0,3.5143621753266663,404
28,牛比蔥壽喜燒鍋物專門店 (台中文心店),dzch,2,"['火鍋', '日式']",False,15.0,79.0,30.0,10.0,3.479638623005067,37
29,石庭 兼六園,o8hz,3,['日式'],False,15.0,79.0,30.0,15.0,3.3564861589071593,2
30,肯德基KFC炸雞漢堡店 (台中永福店),y1zm,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.3793174266084667,4432
31,鍾家腳庫飯,u8kf,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.6175266768534806,1667
32,小茶齋 (西屯中科店),oa7l,2,['飲料'],False,15.0,79.0,15.0,5.0,0.5173562907788718,270
33,永和四海豆漿大王 (台中中科店),iki4,1,"['小吃', '台式']",False,15.0,79.0,15.0,5.0,0.488115310687349,327
34,麥當勞 (S52 中港二店),z8vj,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.5773934735318682,4837
35,32脆皮臭豆腐,d9xl,1,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.36171336403192017,886
36,餃逐天下 (台灣大道店),ufun,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,0.641183959107128,698
37,50嵐 (台中永安店),b0kc,2,['飲料'],False,15.0,79.0,15.0,5.0,0.20126475210140854,2422
38,鋼鐵人炒飯,b3yz,2,"['便當', '台式']",False,15.0,79.0,15.0,5.0,0.3518632476810649,686
39,吉野家 Yoshinoya (台中永福店),x6pa,2,"['便當', '日式']",False,15.0,79.0,15.0,5.0,0.3724368383516948,3439
40,TEATOP 第一味 (台中西屯店),a1ie,2,['飲料'],False,15.0,79.0,15.0,5.0,0.43401035026436885,938
41,甘泉魚麵 (台中中科店),y4hd,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.9439842627156725,2461
42,正台南牛肉湯,z6ts,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,1.8157138990744968,2676
43,可口麻辣臭豆腐,r8py,2,['小吃'],False,15.0,79.0,20.0,5.0,2.296497827099636,446
44,可不可熟成紅茶 (西屯中科店),smnu,1,['飲料'],False,15.0,79.0,15.0,5.0,0.6088414414737775,1006
45,公益麵攤 (台中中科店),gt0o,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,0.5072724893520486,338
46,大台中四海豆漿,b8e9,1,['小吃'],False,15.0,79.0,20.0,5.0,1.3968320304934752,666
47,小麋鹿義式廚房,f0le,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,1.6057346950943086,2885
48,八方雲集 (台中忠勇店),d7ln,2,"['台式', '餃子']",False,15.0,79.0,35.0,15.0,3.9490489446926813,2640
49,小豬很忙蔬果滷味 (台中中科店),y1ns,2,['小吃'],False,15.0,79.0,20.0,10.0,0.31012522596287867,1049
