,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,三媽臭臭鍋 (苗栗為公店),d1xq,2,"['火鍋', '台式']",False,9.0,79.0,25.0,20.0,0.27319743138802843,2468
1,御六星級豬腳麵線黑白切,mcqn,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,2.225293629060694,364
2,找蓋茶 (苗栗大同店),a9dx,2,"['台式', '炸雞']",False,9.0,79.0,25.0,10.0,2.4580897214982325,1697
3,伊莉莎白紅茶書房 (苗栗市府店),pxdm,2,['飲料'],False,9.0,79.0,20.0,5.0,1.5850331200772658,293
4,好食好時台式居酒屋,b072,2,['台式'],False,9.0,79.0,25.0,10.0,2.119259844405494,265
5,八方雲集 (苗栗為公店),e4dl,2,"['台式', '餃子']",False,9.0,79.0,15.0,5.0,0.4543830263073899,3582
6,麥當勞 (S389 苗栗家樂福店),d1bu,2,"['漢堡', '歐美']",False,9.0,79.0,20.0,10.0,0.9254760003507925,10889
7,清心福全 (苗栗為公店),z5hm,2,['飲料'],False,9.0,79.0,15.0,5.0,0.23333163877619348,2422
8,找餐殿 (苗栗店),b1jg,2,"['早餐', '台式']",False,9.0,79.0,30.0,15.0,0.8686007139552505,7468
9,福滿香水餃館,n4m2,2,['台式'],False,9.0,79.0,15.0,5.0,0.30145830946365804,394
10,石一籠湯包 (苗栗為公店),yxdc,2,"['中式', '湯品']",False,9.0,79.0,15.0,5.0,0.2704951784093279,249
11,在地人擔仔麵,wq8i,2,"['麵食', '台式']",False,9.0,79.0,25.0,15.0,0.8392688085360892,276
12,張記東山鴨頭/林肯炸雞,s3ax,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.43121923362207326,930
13,大阪滷味,t1xz,2,['小吃'],False,9.0,79.0,15.0,5.0,0.2789377090906087,923
14,夯臭豆腐 (苗栗玉清店),olng,1,['小吃'],False,9.0,79.0,20.0,10.0,0.8949748261149146,92
15,麻古茶坊 (苗栗府前店),qgrq,2,['飲料'],False,9.0,79.0,20.0,5.0,1.8172498565694808,428
16,CoCo都可 (苗栗正發店),epof,2,['飲料'],False,9.0,79.0,15.0,5.0,0.8456700409549867,689
17,牛媽媽美食,b1jv,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,15.0,1.045447177699068,4130
18,嵐町雞排 (苗栗新民店),zwq9,2,"['小吃', '炸雞']",False,9.0,79.0,30.0,20.0,1.1677871159874487,2229
19,自大、臭豆腐專賣 (原廟口阿嬤臭豆腐),v5ov,1,['小吃'],False,9.0,79.0,15.0,5.0,0.245618267917303,782
20,85度C (苗栗為公店),wx81,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,15.0,5.0,0.3125830803338337,409
21,可不可熟成紅茶 (苗栗府前店),zv0p,1,['飲料'],False,9.0,79.0,20.0,5.0,1.7258974515492744,2592
22,禾饌風味小吃館 (苗栗府前店),f3er,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.6056635911816732,1409
23,福寶炸物,bdeh,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.5451797732030973,142
24,50嵐 (苗栗府前店),q985,2,['飲料'],False,9.0,79.0,20.0,5.0,1.5718741034384038,286
25,三商巧福 (4297苗福店),n5te,2,"['麵食', '台式']",False,9.0,79.0,25.0,15.0,0.9378842899981197,1890
26,功夫茶KUNGFUTEA (苗栗府前店),cuxf,2,['飲料'],False,9.0,79.0,20.0,5.0,1.777075064577644,148
27,小香港餐館,hlvr,2,"['湯品', '麵食', '港式']",False,9.0,79.0,25.0,10.0,1.1145193229977675,484
28,享又享餐飲複合站,o4xd,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,1.0096305979711542,779
29,喫茶小舖 (苗栗府前店),b9bw,1,['飲料'],False,9.0,79.0,20.0,5.0,1.800320323567806,2515
30,阿力香雞排 (苗栗國華店),x6ia,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,1.2077169258500522,205
31,金志小吃,e2zo,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,2.395111014220586,4757
32,上宇林 (苗栗府前店),v7l3,2,['飲料'],False,9.0,79.0,20.0,5.0,1.6147452606299526,164
33,老饕滷味 (苗栗店),a7bj,2,['小吃'],False,9.0,79.0,20.0,5.0,2.193766027445301,1640
34,潮味決．湯滷專門店 (苗栗府前分社),d4si,2,['台式'],False,9.0,79.0,20.0,5.0,1.637519361833924,1683
35,迷客夏 Milksha (苗栗府前店),d2hl,2,['飲料'],False,9.0,79.0,20.0,5.0,1.7418819473330875,667
36,武林茶 (苗栗家樂福店),m7gz,2,['飲料'],False,9.0,79.0,20.0,5.0,0.9272058832735648,2032
37,Pizza Hut必勝客 (苗栗中正店),a8hu,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,1.6948390945287948,3914
38,海上鮮宴會館,lki3,3,['台式'],False,9.0,79.0,20.0,5.0,0.707556229344613,409
39,三顧茅廬 (苗栗府前店),d8ns,2,['小吃'],False,9.0,79.0,20.0,5.0,1.5412026569506032,2743
40,轉餃遇到麵,d5ye,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,10.0,1.0658238527437658,1256
41,大夜班滷肉飯,rqad,1,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,1.0325906746529079,537
42,楊家三城麵食館,pfxm,1,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,15.0,2.1801554140704558,1695
43,歐兔啡食館 (苗栗英才館),fst1,2,"['咖啡', '蛋糕', '歐美']",False,9.0,79.0,20.0,5.0,0.9767463682084627,1069
44,山城豆花,a2rj,1,['甜點'],False,9.0,79.0,15.0,5.0,0.31037615357727655,702
45,林家脆皮炸雞X台式雞排,dqq1,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,2.289260191789231,182
46,小上海香酥雞 (苗栗府前店),v8at,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,1.7969565056815504,946
