,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (頭份中華店),z9fe,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,1.5255167035581934,4093
1,9453休閒釣蝦場,p2mb,3,"['湯品', '台式']",False,9.0,79.0,35.0,20.0,2.521626377205612,868
2,G罩杯鹽水雞 (苗栗竹南店),cgmz,2,['小吃'],False,9.0,79.0,25.0,5.0,3.69929533938681,158
3,Let's Tea樂子茶,nu8g,2,['飲料'],False,9.0,79.0,25.0,5.0,3.9637825353903002,371
4,喫茶小舖 (頭份信義店),b2yc,1,['飲料'],False,9.0,79.0,20.0,5.0,1.4334182982969705,1143
5,康青龍 (頭份文化店),b4ww,2,['飲料'],False,9.0,79.0,25.0,5.0,2.9823670074841804,2209
6,Burger King 漢堡王 (頭份中華店),glbi,2,"['漢堡', '歐美']",False,9.0,79.0,20.0,5.0,1.9086229348706316,368
7,联亭泡菜鍋,y8lo,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,1.6899034370265549,1663
8,台北麻將麻辣臭豆腐 (苗栗頭份店),u8nc,2,"['火鍋', '台式']",True,9.0,79.0,25.0,15.0,1.4185438660149472,1416
9,蔡家虱目魚,c9jw,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,1.7733134082665434,911
10,金牌脆皮臭豆腐,fbc7,2,['小吃'],False,9.0,79.0,20.0,5.0,1.4119429119152662,186
11,一喜鍋、麻辣滷、拌麵 (苗栗頭份店),fgc5,2,"['火鍋', '台式']",False,9.0,79.0,40.0,30.0,1.8770903474923573,200
12,麥當勞 (S205 苗栗頭份店),z4zx,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,10.0,1.969052929485013,25719
13,八方雲集 (苗栗頭份店),e8dy,2,"['台式', '餃子']",False,9.0,79.0,20.0,5.0,1.3984720118770189,3121
14,鬍鬚張魯肉飯 (頭份中華店),dzc8,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,1.7927719618304396,615
15,元爵味黃燜雞米飯 (頭份和平店),sl4j,2,['中式'],False,9.0,79.0,20.0,5.0,1.7081945270910346,622
16,夯臭豆腐 (頭份店),z4el,1,['小吃'],False,9.0,79.0,20.0,5.0,1.9432896743723649,3881
17,老媽子麵店,y6qo,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.7892492097012125,3930
