,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大雅-小林現炒,tvat,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.5453415899173929,1143
1,熊棧鍋燒麵 (大雅學府店),umgf,2,"['麵食', '台式']",False,15.0,79.0,35.0,20.0,0.8138539113154938,130
2,熊棧水餃 (台中大雅店),g5i8,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,1.4718925714879434,608
3,Pizza Hut必勝客 (台中雅潭店),z1yw,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,1.0206433725938782,2273
4,大苑子 (台中大雅學府店),a7st,2,['飲料'],False,15.0,79.0,20.0,5.0,0.6654151775221941,3664
5,六本和茶 (大雅學府店),k3sh,1,['飲料'],False,15.0,79.0,20.0,5.0,0.6689879388279572,840
6,出櫃茶飲 (大雅神林店),g4ol,2,['飲料'],False,15.0,79.0,20.0,5.0,1.4123178462274872,70
7,歇腳亭Sharetea (大雅學府店),pitr,2,['飲料'],False,15.0,79.0,20.0,5.0,1.0737407813103266,134
8,新井茶 (大雅雅環店),goj5,1,['飲料'],False,15.0,79.0,20.0,5.0,0.451877636388117,318
9,上宇林 (大雅民生店),db80,2,['飲料'],False,15.0,79.0,20.0,5.0,0.879153225171804,311
10,炒飯超人 (台中大雅店),b3dg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,0.45292010913440883,2663
11,肉鮮生韓國燒烤(外帶便當),rwgs,2,"['韓式', '便當']",False,15.0,79.0,20.0,5.0,1.2071605093482023,79
12,麗媽四季鍋  (台中大雅店),j09s,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,1.529721526588679,133
13,熱火美式牛排,xwq8,2,"['歐美', '牛排']",False,15.0,79.0,30.0,20.0,0.5446414597780724,220
14,柴居（大雅店）,d1qn,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.6043095731166225,3644
15,麥當勞 (S295 大雅中清南店),b0zj,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.8050061461542397,14972
16,四海遊龍 (大雅民生店),b5sq,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,0.4265731819253072,6037
17,50嵐 (大雅民生店),k5yu,2,['飲料'],False,15.0,79.0,20.0,5.0,0.6795361962793327,3674
18,豚將日本拉麵 (台中大雅店),h6uk,2,"['麵食', '日式']",True,15.0,79.0,20.0,5.0,0.8461721928412202,2160
19,鴨園當歸鴨魯飯 (台中大雅店),ozg7,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,0.7241148817969071,528
20,良拌,mtri,2,['台式'],False,15.0,79.0,25.0,10.0,0.5516339813693533,380
21,詹記大腸麵線．香雞排 (台中大雅店),ehhr,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.9248759750636951,1071
22,包手包餃 (台中大雅店),w4f2,2,['台式'],False,15.0,79.0,20.0,5.0,0.35136086222879886,339
23,豪品鐵板燒 (大雅民生店),bj7l,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.7891922727179226,393
24,鶴家鹽酥雞,b2ka,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.1740175164212587,2626
25,錢來也雞排專賣店,g6sg,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.0110039824965376,975
26,三媽臭臭鍋 (台中大雅店),d6hf,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,0.5779462340452528,3007
27,喫茶小舖 (台中學府店),a1ty,1,['飲料'],False,15.0,79.0,20.0,5.0,0.6793480627763987,2157
28,職人牛排 (台中大雅店),e2hd,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,0.8426724658405922,1756
29,八方雲集 (台中大雅店),d5wp,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,0.6704810682719807,1720
30,逢甲阿郎 (台中學府店),v6zi,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.9346879170187615,1064
31,阿呆滷味 (台中大雅店),r9co,2,['小吃'],False,15.0,79.0,20.0,5.0,0.6357261503400113,620
32,福氣麻油雞(鴨肉飯),l213,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.8861184463604046,446
33,成功牛排 (台中大雅店),r2ln,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.1284593967281178,695
