,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大雅-小林現炒,tvat,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.5330542023726669,1143
1,熊棧鍋燒麵 (大雅學府店),umgf,2,"['麵食', '台式']",False,15.0,79.0,35.0,20.0,0.2465142037829557,130
2,熊棧水餃 (台中大雅店),g5i8,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,1.6981352680306765,608
3,鴨王鴨肉飯 (台中經貿店),p6fz,2,"['湯品', '台式']",False,15.0,79.0,35.0,10.0,3.53811203459166,1967
4,Pizza Hut必勝客 (台中雅潭店),z1yw,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.20447345894340832,2273
5,大苑子 (台中大雅學府店),a7st,2,['飲料'],False,15.0,79.0,20.0,5.0,0.41135140778670715,3664
6,六本和茶 (大雅學府店),k3sh,1,['飲料'],False,15.0,79.0,20.0,5.0,0.4036761565473529,840
7,出櫃茶飲 (大雅神林店),g4ol,2,['飲料'],False,15.0,79.0,20.0,5.0,0.6771455581591553,70
8,歇腳亭Sharetea (大雅學府店),pitr,2,['飲料'],False,15.0,79.0,20.0,5.0,0.16703201953381056,134
9,新井茶 (大雅雅環店),goj5,1,['飲料'],False,15.0,79.0,20.0,5.0,0.8408510387622403,318
10,肉鮮生韓國燒烤(外帶便當),rwgs,2,"['韓式', '便當']",False,15.0,79.0,20.0,5.0,0.4649927136468816,79
11,炒飯超人 (台中大雅店),b3dg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,0.6071955135566238,2663
12,麗媽四季鍋  (台中大雅店),j09s,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.7015015061737525,133
13,熱火美式牛排,xwq8,2,"['歐美', '牛排']",False,15.0,79.0,30.0,20.0,0.569303069672973,220
14,麥當勞 (S295 大雅中清南店),b0zj,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.4326644400821418,14972
15,柴居（大雅店）,d1qn,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.46567556346677597,3644
16,50嵐 (大雅民生店),k5yu,2,['飲料'],False,15.0,79.0,20.0,5.0,0.5777102907731128,3674
17,豚將日本拉麵 (台中大雅店),h6uk,2,"['麵食', '日式']",True,15.0,79.0,20.0,5.0,0.6573926894661642,2160
18,四海遊龍 (大雅民生店),b5sq,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,0.651561078117901,6037
19,鴨園當歸鴨魯飯 (台中大雅店),ozg7,2,"['湯品', '台式']",False,15.0,79.0,25.0,15.0,0.6023668181749895,528
20,詹記大腸麵線．香雞排 (台中大雅店),ehhr,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.7158432749439607,1071
21,良拌,mtri,2,['台式'],False,15.0,79.0,25.0,10.0,0.5575762568390293,380
22,鶴家鹽酥雞,b2ka,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.7625605796986584,2626
23,逢甲阿郎 (台中學府店),v6zi,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.14415752919220573,1064
24,派克雞排 (台中大雅店),gixg,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.31202828085385875,603
25,豪品鐵板燒 (大雅民生店),bj7l,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.6406326326849184,393
26,錢來也雞排專賣店,g6sg,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.7931044045631941,975
27,喫茶小舖 (台中學府店),a1ty,1,['飲料'],False,15.0,79.0,20.0,5.0,0.39248173398236086,2157
28,成功牛排 (台中大雅店),r2ln,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,0.3243733625230565,695
29,清原芋圓 (大雅學府店),yhga,2,['甜點'],False,15.0,79.0,20.0,10.0,0.21699156392923483,376
30,職人牛排 (台中大雅店),e2hd,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,0.6140023669477201,1756
