,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,胖老爹美式炸雞 (台北錦州店),z4wd,2,"['歐美', '炸雞']",False,29.0,79.0,35.0,10.0,1.3682197632461521,2277
1,胖老爹美式炸雞 (中山德惠店),okuk,2,"['歐美', '炸雞']",False,9.0,79.0,35.0,15.0,0.4691762327001653,645
2,吳哥窟蜜汁雞排,l3sk,2,"['小吃', '炸雞']",False,29.0,79.0,50.0,25.0,2.1661302053850946,1559
3,焦糖楓串燒漢方無烟撒粉 (台北林森北店),lcgk,2,['小吃'],False,29.0,79.0,40.0,20.0,0.8231212897931768,169
4,米蘭炸雞,g3dw,2,"['歐美', '炸雞']",False,9.0,79.0,40.0,15.0,1.2521075510871522,235
5,胖老爹美式炸雞 (中山民生店),y0yc,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,0.5208612435611507,3446
6,はま寿司 HAMASUSHI (中山民權店),g7pk,3,['日式'],False,9.0,79.0,30.0,10.0,0.39001121612126227,893
7,一品園湯包排骨酥,f6wm,2,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,5.0,1.3349648171718185,3190
8,Hala Chicken (中山南西店),x4pe,2,['歐美'],False,9.0,79.0,30.0,5.0,1.3976673261586727,366
9,三清洞韓食 (中正南陽店),c5eg,2,"['韓式', '火鍋']",False,9.0,79.0,50.0,20.0,2.1984657423012126,1860
10,頂呱呱TKK (台北林森北店),obxe,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,10.0,0.8536670298936414,357
11,YAYOI彌生軒 (松江南京店),h1ri,3,"['便當', '日式']",False,9.0,79.0,30.0,10.0,1.3492231360837648,511
12,火燒鳥日式居酒屋,x5gr,3,['日式'],False,29.0,79.0,35.0,15.0,1.4106326272795626,0
13,旅沐咖啡 (台北錦州店),o3wk,1,"['甜點', '咖啡', '三明治 / 吐司']",False,29.0,79.0,35.0,10.0,1.597766017771115,0
14,老牌山東水餃大王,lwp7,2,"['中式', '湯品', '餃子']",False,9.0,79.0,25.0,5.0,0.26615626604167997,603
15,豆花莊,fpz3,2,['甜點'],False,28.0,79.0,30.0,10.0,1.243393576877779,689
