,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (南港外送店),z5oy,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.47936545967802824,3414
1,餡老滿 (南港旗艦店),w250,3,"['中式', '湯品', '餃子']",False,29.0,79.0,40.0,10.0,0.5729520820816694,658
2,天菊豆花仙草,r7ck,2,['甜點'],False,29.0,79.0,30.0,10.0,0.2010796333857896,1314
3,肯德基KFC炸雞漢堡店 (台北南港店),z3qg,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,30.0,5.0,0.4005661090325419,3439
4,50嵐 (南港園區店),e4sx,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4110392370493223,4001
5,九湯屋日式拉麵 (台北南港店),a7si,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.5288008487802817,1940
6,八方雲集 (台北南港店),p1or,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,0.38573157639378924,1532
7,可不可熟成紅茶 (台北南港店),en8k,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4002859466673561,1070
8,麥當勞 (S276 台北南港店),d6yx,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.5823603938640547,5755
9,明加快炒,z2zd,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,0.6986982868633307,1525
10,胖老爹美式炸雞 (南港南一店),a7bi,2,"['歐美', '炸雞']",False,29.0,79.0,35.0,15.0,0.3951893809195243,2665
11,21PLUS、21風味館 (南港潤泰門市),z4xy,2,"['歐美', '炸雞']",True,29.0,79.0,35.0,5.0,0.8196261289285092,3075
12,開源社香雞排 (台北南港店),f5bi,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.31029347370904553,1238
13,老賴茶棧 (台北南港店),fzkj,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4903012313972239,956
14,迷客夏 Milksha (臺北南港站前店),qjkw,2,['飲料'],False,29.0,79.0,30.0,5.0,0.49302848021473594,35
15,豆漿哥小吃專門店 (南港興華店),h2bv,2,['小吃'],False,29.0,79.0,30.0,5.0,0.5044841633904145,2173
16,大呼過癮 (台北南港店),d6ek,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,0.6178754294323,3100
17,清心福全 (南港經貿店),d4vb,2,['飲料'],False,29.0,79.0,30.0,5.0,0.30695754976653505,1077
18,麗媽四季鍋 (南港研究院店),uatx,2,"['火鍋', '台式']",False,29.0,79.0,50.0,25.0,0.736795897295108,2265
19,朱記餡餅粥 (環球購物中心南港車站),z0ly,2,"['中式', '麵食', '粥']",False,29.0,79.0,40.0,10.0,0.6456057244833597,1084
20,拿坡里 (南港店8156),wt1s,3,"['披薩', '歐美', '炸雞']",False,29.0,79.0,35.0,15.0,0.39620288482986626,1149
21,一手私藏世界紅茶 (台北南港店),dnow,2,['飲料'],False,29.0,79.0,30.0,5.0,0.2999008890509648,155
22,雞翅王,y5gs,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.7015908913105722,275
23,達美樂 (南港店),aprq,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,0.7308085387130145,36
24,CoCo都可 (南港興華店),lvlr,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4890620612640499,66
25,摩斯漢堡Mos Burger (南港店),y6dx,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,0.3637815210102797,3057
26,愛佳椒麻雞,e9up,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.3328579222571174,862
27,老先覺功夫窯燒鍋 (南港興中MiNi店),te8v,2,"['火鍋', '台式']",False,29.0,79.0,45.0,25.0,0.38256932607119243,349
28,鶴茶樓 (南港興華店),reos,2,['飲料'],False,29.0,79.0,30.0,5.0,0.5007205920282873,47
29,Jim's Pizza,a5og,3,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,0.3375668241698165,476
30,手路炒飯 (南港重陽店),qi70,2,"['中式', '麵食']",False,29.0,79.0,30.0,5.0,0.858110290714598,26
31,S&D (台北南港興中店),z3cw,2,"['咖啡', '蛋糕', '歐美']",False,29.0,79.0,30.0,5.0,0.41006184607048285,665
32,魁拉麵,uh28,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.28160982586863037,136
33,Mister Donut (台北南港門市),d1kb,2,"['甜點', '歐美']",False,29.0,79.0,30.0,5.0,0.605708060599889,512
34,茄子咖哩 (南港City Link店),p38b,3,"['便當', '咖哩', '日式']",False,29.0,79.0,35.0,10.0,0.7722087056235992,51
35,黑丸嫩仙草 (台北南港店),w7qj,2,['甜點'],False,29.0,79.0,30.0,5.0,0.5247947821104496,1526
36,金色三麥 (南港city link店),f8tv,3,['歐美'],False,29.0,79.0,35.0,10.0,0.792589795893166,1141
37,YAYOI彌生軒 (環球購物中心南港車站),lmki,3,"['便當', '日式']",False,29.0,79.0,40.0,10.0,0.6538089121668057,285
38,龍涎居 (環球購物中心南港車站),pn86,3,"['湯品', '台式']",False,29.0,79.0,50.0,25.0,0.6060656818619773,259
39,cama café (環球購物中心南港車站),rhi5,2,"['咖啡', '飲料']",False,29.0,79.0,35.0,5.0,0.6363488217460315,27
40,品聚香 (環球購物中心南港車站),x79t,2,['台式'],False,29.0,79.0,35.0,10.0,0.5905053298768571,16
