,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,六年13班,f8og,2,"['歐美', '麵食']",False,29.0,79.0,35.0,5.0,0.696327590133991,2000
1,作伙滷肉飯 X 無限廚房 (台北大安店),mwwo,2,"['湯品', '便當', '台式']",False,29.0,79.0,35.0,5.0,1.4668625538490085,2379
2,潭味台南虱目魚,rzzj,2,"['麵食', '台式']",False,29.0,79.0,45.0,15.0,0.7864857728598854,862
3,Pizza Hut必勝客 (永吉信義店),y5kr,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.6224892468357892,1133
4,龍閣東山鴨頭 (台北虎林店),uyas,2,['小吃'],False,29.0,79.0,35.0,10.0,0.7361822764316653,47
5,COMEBUY (台北市府店),a2ff,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6285018403779394,3218
6,四海遊龍 (台北松山店),y1rd,2,"['台式', '餃子']",True,29.0,79.0,35.0,5.0,0.7307309464242698,4194
7,可不可熟成紅茶 (信義永春店),zk4a,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7293163216023997,1335
8,清心福全 (台北信義新松山店),a6ad,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7339071597634166,1039
9,武林茶 (台北永吉店),wd50,2,['飲料'],False,29.0,79.0,35.0,10.0,0.6424047619573477,13
10,滇味廚房,nhec,2,"['中式', '麵食']",False,29.0,79.0,35.0,10.0,0.6110426201475205,168
11,京都餃子的王將 (統一時代百貨台北店),f9ca,2,"['餃子', '日式']",False,29.0,79.0,50.0,20.0,0.776828939482375,203
12,宜品福州乾拌麵,e7tc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,35.0,5.0,1.9081688300901145,8437
13,GYUU NIKU ステーキ專門店,eafm,3,"['便當', '日式']",False,29.0,79.0,35.0,10.0,0.6117468781259038,517
14,周胖子 (台北民生店),utor,2,"['湯品', '台式', '餃子']",False,29.0,79.0,40.0,10.0,2.8111202987510557,956
15,新村站著吃烤肉,s6mn,3,['韓式'],False,29.0,79.0,35.0,10.0,0.5946253518036119,149
16,芝香雞肉飯,x7dj,2,"['湯品', '便當', '麵食', '台式']",True,29.0,79.0,30.0,5.0,0.5885998260065598,3768
17,焦糖楓串燒漢方無烟撒粉 (台北永吉店),k6yh,2,['小吃'],False,29.0,79.0,40.0,15.0,0.7695873178992423,2991
18,珍品九如麵食館,e32j,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.6019160960398353,100
19,小樂天餃子館,nm81,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5900585490299143,46
20,麥當勞 (S108 忠孝四店),i3yv,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.9730443223820135,10708
21,2派克雞排 (台北永吉店),u9fb,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.691971012505453,1178
22,男子漢拉麵 (台北永春店),y0lv,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,0.6223151785911073,2376
23,大苑子 (市府夢想店),h0xe,2,['飲料'],False,29.0,79.0,30.0,5.0,0.608692687576972,2392
24,麵食主義 KIRIN PASTA (台北忠孝店),lvmp,2,"['歐美', '麵食']",False,29.0,79.0,30.0,5.0,0.5492326926485673,1518
25,丐幫滷味 (台北信義分舵),b1jl,2,['小吃'],False,29.0,79.0,35.0,5.0,0.725387137898095,2837
26,可以吃(台北永吉店),i8sq,2,"['便當', '台式']",False,29.0,79.0,35.0,5.0,0.6695001094839975,1654
27,21PLUS、21風味館 (永吉門市),qbl2,3,"['歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.6387475806127344,276
28,SUBWAY (松德店),y9vx,2,['歐美'],False,29.0,79.0,30.0,5.0,0.6772634067438209,3697
29,許家黃金牛肉麵,y0zw,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.5471836304510268,3225
30,深夜未歸 (台北永春店),cdq7,2,"['麵食', '台式', '三明治 / 吐司']",False,29.0,79.0,35.0,5.0,0.6693526221456082,266
31,粥師傅廣東粥 (台北松山店),f7je,1,"['中式', '粥']",True,29.0,79.0,30.0,5.0,0.6993284638401428,1754
32,天合鐵板燒,pt17,2,"['鐵板燒', '台式']",False,29.0,79.0,45.0,20.0,0.6450659379622067,3237
