,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (北投文化店),z6rp,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,2.171452539317948,1790
1,肯德基KFC炸雞漢堡店 (北投光明店),z8np,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,25.0,5.0,2.023891864212807,2887
2,喬園餃子館,a6ma,3,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,2.8501417121045334,1898
3,北島茶不倦,v79y,2,['飲料'],False,29.0,79.0,25.0,5.0,2.5340699501351884,370
4,頂呱呱TKK (台北北投店),rshf,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,2.0395686025464403,333
5,高記茶莊,t8f6,2,['飲料'],False,29.0,79.0,25.0,5.0,2.5486595848016056,556
6,龍鹽酥雞 (台北北投店),h3hb,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,1.8207086064413633,5225
7,鬍鬚張魯肉飯 (北投光明店),y2xq,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,2.06157454638948,5419
8,麥當勞 (S65 台北北投店),d5gm,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,2.041378628144935,6882
9,源士林粥品 (台北北投店),x0fe,2,"['粥', '台式']",False,29.0,79.0,25.0,5.0,2.24246399863369,2605
10,梁社漢排骨 (北投大業店),d2or,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,2.186702404129128,2868
11,胖老爹美式炸雞 (北投復興店),ynqu,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,15.0,1.5493868347580293,207
12,龍線家‧大腸麵線.雞排麻辣 (台北北投店),ypw7,2,"['麵食', '小吃', '炸雞']",False,29.0,79.0,30.0,5.0,3.1567187356037283,813
13,CoCo都可 (北投中和店),w8b3,2,['飲料'],False,29.0,79.0,25.0,5.0,1.6392099157859317,444
14,爭鮮迴轉壽司 (新北投店),o6bc,2,['日式'],False,29.0,79.0,25.0,5.0,1.9646031963116484,1249
15,磺港豆漿,i3li,2,['小吃'],False,29.0,79.0,25.0,5.0,2.580404421679153,1773
16,粥師傅廣東粥 (台北北投店),f7go,2,"['中式', '粥']",True,29.0,79.0,25.0,5.0,2.506815618455691,1162
17,bb.q CHICKEN (台北北投店),txf1,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,2.0556933459722564,219
18,可不可熟成紅茶 (北投中和店),iyc6,2,['飲料'],False,29.0,79.0,25.0,5.0,1.737208904361972,374
19,迷客夏 Milksha (臺北北投店),pt0a,2,['飲料'],False,29.0,79.0,25.0,5.0,2.4220867574028655,794
20,大戶屋 (台北新北投店),y5ro,3,"['便當', '日式']",False,29.0,79.0,30.0,10.0,1.9737109103713797,1126
21,北投牛小弟平價牛排 (北投店),e5ts,2,"['台式', '牛排']",False,29.0,79.0,25.0,5.0,2.6155011336132175,661
22,SUBWAY (新北投店),b8vl,2,['歐美'],False,29.0,79.0,25.0,5.0,1.8421291069576904,3046
23,和屋讚岐烏龍麵拉麵,b9fh,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,2.7815208299357126,2584
24,萬波島嶼紅茶 (北投光明店),yckl,2,['飲料'],False,29.0,79.0,25.0,5.0,2.3575605011897354,127
25,清心福全 (北投光明店),im3j,2,['飲料'],False,29.0,79.0,25.0,5.0,2.273685181934291,809
26,台灣第一家鹹酥雞,h0yr,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,10.0,2.374617925741178,87
27,喬園一店,ydpw,3,['台式'],False,29.0,79.0,30.0,10.0,2.5267434251343777,588
28,北投真味肉圓四神湯,ga7q,2,"['湯品', '台式']",False,29.0,79.0,35.0,15.0,2.506475139731843,100
29,爆蛋蔥油餅,v0ap,2,['小吃'],False,29.0,79.0,25.0,5.0,2.2667201338783025,486
30,2派克脆皮雞排 (台北新北投店),a0wm,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,10.0,2.452370228624867,1560
31,北投吳家豆花,l68a,2,['甜點'],False,29.0,79.0,30.0,10.0,2.1931646938113154,480
32,摩斯漢堡Mos Burger (北投光明店),y8ku,2,"['漢堡', '日式']",False,29.0,79.0,35.0,15.0,2.0512254892003665,4505
33,包子商行 (台北北投店),zinw,2,['小吃'],False,29.0,79.0,25.0,5.0,2.406068227623899,164
34,吉野家 Yoshinoya (台北北投店),y6wj,2,"['便當', '日式']",False,29.0,79.0,25.0,5.0,2.0350147534203975,4268
35,掘 臭臭鍋,z5mk,2,"['火鍋', '台式']",False,29.0,79.0,40.0,20.0,2.3134971566639275,3301
36,滿足溫泉拉麵,m802,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,1.9831248464709257,90
37,川醉湘麻辣燙光明店,y2pp,2,['小吃'],False,29.0,79.0,30.0,10.0,2.3575605011897354,1086
38,酒加菜,f3dk,3,['台式'],False,29.0,79.0,25.0,5.0,2.1568865898219496,478
39,拿坡里 (北投店8152),oy65,3,"['披薩', '歐美', '炸雞']",False,29.0,79.0,30.0,10.0,2.261026024589696,698
40,富把拔鹹酥雞,k4gl,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,2.4745477176057573,1389
41,食至名歸當歸鴨 (台北北投店),e4eh,2,"['麵食', '台式']",False,29.0,79.0,25.0,5.0,2.486984880377401,812
42,炸雞傳說,m2xg,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,5.0,1.5492326673202355,98
43,85度C (北投中和店),s2s0,2,"['甜點', '咖啡', '蛋糕']",False,29.0,79.0,25.0,5.0,1.5816788725043855,37
44,維縈家鄉碳烤雞排（北投中央南路店）,ilpp,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,10.0,2.540245827879454,129
45,祺饗福,ppe1,2,"['火鍋', '台式']",False,29.0,79.0,40.0,20.0,2.629820052450184,398
46,台灣G湯（北投店）,ttis,2,"['湯品', '台式']",False,29.0,79.0,40.0,20.0,2.3531264636772646,172
47,甜妞古早冰,gfw2,2,['甜點'],False,29.0,79.0,25.0,5.0,2.5517491922752606,361
48,肯德基KFC炸雞漢堡店 (北投光明店),z8np,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,25.0,5.0,2.023891864212807,2887
49,喬園餃子館,a6ma,3,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,2.8501417121045334,1898
50,北島茶不倦,v79y,2,['飲料'],False,29.0,79.0,25.0,5.0,2.5340699501351884,370
51,頂呱呱TKK (台北北投店),rshf,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,2.0395686025464403,333
52,高記茶莊,t8f6,2,['飲料'],False,29.0,79.0,25.0,5.0,2.5486595848016056,556
53,龍鹽酥雞 (台北北投店),h3hb,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,1.8207086064413633,5225
54,鬍鬚張魯肉飯 (北投光明店),y2xq,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,2.06157454638948,5419
55,麥當勞 (S65 台北北投店),d5gm,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,2.041378628144935,6882
56,源士林粥品 (台北北投店),x0fe,2,"['粥', '台式']",False,29.0,79.0,25.0,5.0,2.24246399863369,2605
57,梁社漢排骨 (北投大業店),d2or,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,2.186702404129128,2868
58,胖老爹美式炸雞 (北投復興店),ynqu,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,15.0,1.5493868347580293,207
59,龍線家‧大腸麵線.雞排麻辣 (台北北投店),ypw7,2,"['麵食', '小吃', '炸雞']",False,29.0,79.0,30.0,5.0,3.1567187356037283,813
60,CoCo都可 (北投中和店),w8b3,2,['飲料'],False,29.0,79.0,25.0,5.0,1.6392099157859317,444
61,爭鮮迴轉壽司 (新北投店),o6bc,2,['日式'],False,29.0,79.0,25.0,5.0,1.9646031963116484,1249
62,磺港豆漿,i3li,2,['小吃'],False,29.0,79.0,25.0,5.0,2.580404421679153,1773
63,粥師傅廣東粥 (台北北投店),f7go,2,"['中式', '粥']",True,29.0,79.0,25.0,5.0,2.506815618455691,1162
64,bb.q CHICKEN (台北北投店),txf1,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,2.0556933459722564,219
65,可不可熟成紅茶 (北投中和店),iyc6,2,['飲料'],False,29.0,79.0,25.0,5.0,1.737208904361972,374
66,迷客夏 Milksha (臺北北投店),pt0a,2,['飲料'],False,29.0,79.0,25.0,5.0,2.4220867574028655,794
67,大戶屋 (台北新北投店),y5ro,3,"['便當', '日式']",False,29.0,79.0,30.0,10.0,1.9737109103713797,1126
