,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台北東湖三店),x0rk,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.11505608672936397,2013
1,桶神滷味 (內湖康寧店),f9rr,2,['小吃'],False,29.0,79.0,30.0,10.0,0.4687239076291077,1140
2,頂呱呱TKK (台北東湖店),wvfu,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.2790650454086512,206
3,鬍鬚張魯肉飯 (台北東湖店),y9ah,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.09398113024479862,7008
4,麥當勞 (S191 台北康寧店),q1bs,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.4105155595028604,8954
5,吉品勝口味 (內湖東湖店),ysdj,2,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.20319018729944716,2750
6,大狗麵線 (內湖康樂店),f4tt,2,"['湯品', '麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.2612716453015537,3860
7,大俠涼麵、嘉義雞肉飯(台北東湖店),z5yp,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.3604784288083814,4805
8,五桐號 (台北東湖店),fko8,2,['飲料'],False,29.0,79.0,30.0,5.0,0.14013747539992874,292
9,台北永和豆漿大王 (台北東湖店),g237,2,['小吃'],False,29.0,79.0,30.0,5.0,0.2695264119914924,529
10,石家割包 (內湖東湖店),r8cw,2,"['湯品', '小吃']",False,29.0,79.0,30.0,5.0,0.23191306634054387,1554
11,PROMETTENTE 義大利麵,jxqy,2,"['歐美', '麵食']",False,29.0,79.0,35.0,10.0,0.3684647014771001,468
12,開源社香雞排 (內湖東湖店),f1yq,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.040435229553611195,1808
13,蒜香無骨炸雞東湖店,jug3,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,0.21199079220060565,593
14,50嵐 (東湖二店),d8yf,2,['飲料'],False,29.0,79.0,30.0,5.0,0.15716600635597353,3702
15,すき家 Sukiya (葫洲店),y9ap,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.9483191509549527,13946
