,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (天母中山店),z2oh,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,25.0,5.0,1.651255580401857,3803
1,喬園餃子館,a6ma,3,"['湯品', '台式', '餃子']",False,29.0,79.0,25.0,5.0,1.923661691345432,1898
2,芊芊素食(素滷味)健康廚房,brc4,2,"['麵食', '小吃']",False,29.0,79.0,30.0,10.0,2.465089966330943,74
3,神座拉麵,ub5v,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,3.5207143333295328,143
4,東京都拉麵館 X JK廚房 (Just Kitchen 士林店),i2il,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,1.587701429229847,668
5,日上鐵板燒,rk92,2,"['鐵板燒', '台式']",False,29.0,79.0,35.0,10.0,3.3032250387858415,551
6,炸G行家 (台北石牌店),xm3m,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,0.3713889000586207,139
7,佳佳佳石頭火鍋-嚴選湯頭,ms7y,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,2.299469990304425,72
8,晴天基隆營養三明治,zs8b,2,"['小吃', '三明治 / 吐司']",False,29.0,79.0,40.0,20.0,3.099238519734624,104
9,日本電視冠軍 剪刀式雞蛋糕 (台北士林店),i9il,1,['甜點'],False,29.0,79.0,40.0,15.0,3.4604218163860967,287
10,仙客來海鮮餐廳,gbgb,3,['台式'],False,29.0,79.0,20.0,5.0,0.36484586937080316,36
11,頂呱呱TKK (台北北投店),rshf,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,10.0,2.4214330606272076,333
12,富樂台式涮涮鍋,vv4u,3,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,3.9294675787870474,0
13,好奇營養豆花 (台北天母店),h3iv,2,['甜點'],False,29.0,79.0,30.0,10.0,2.388268799280429,617
14,高記茶莊,t8f6,2,['飲料'],False,29.0,79.0,25.0,5.0,1.9943578860777658,556
15,大邱大叔 밥짓는삼촌,x4rr,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,15.0,2.0473868991810797,815
16,德州美墨炸雞 (台北天母店),p5ur,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,5.0,1.6490641271936894,4375
17,新婦海南雞飯,kb26,2,"['便當', '東南亞']",False,29.0,79.0,20.0,5.0,0.506217417273917,348
18,士林十全排骨店,p7xk,2,['台式'],False,29.0,79.0,30.0,5.0,3.2842921902282756,2887
19,忠誠號蚵仔煎 (台北士林店),nwft,2,['台式'],False,29.0,79.0,30.0,5.0,3.335756011783974,186
20,台南東區焦糖煉乳包心粉圓 (台北士林店),z7b8,1,['甜點'],False,29.0,79.0,45.0,20.0,3.087934212669638,232
21,阿亮麵線,p9yx,1,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,3.189798313051817,671
22,YU丼飯(石牌總店),z7sq,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.46406504212840954,5233
23,喜喜鍋 • 煮好鍋專賣店 (石牌),ek9f,2,"['火鍋', '台式']",False,29.0,79.0,30.0,15.0,0.182326734008957,1949
24,味霖粥品,kgxb,2,"['粥', '台式']",False,29.0,79.0,20.0,5.0,0.3946265410288484,1445
25,鬍鬚張魯肉飯 (台北石牌店),a3ad,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,0.38333272445937855,3779
26,滿川香麻辣燙,p9dv,2,['小吃'],False,29.0,79.0,20.0,5.0,0.6025370603730161,1368
27,馬祖麵館 (台北石牌店),ner5,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.6357945454184498,853
28,五桐號 (台北石牌店),tky2,2,['飲料'],False,29.0,79.0,20.0,5.0,0.4528237486443867,262
29,狂野韓式炸雞,kpfm,2,"['韓式', '炸雞']",False,29.0,79.0,20.0,5.0,0.5209390472827483,1126
30,小夥子蛋包飯,y0ad,2,"['咖哩', '日式']",False,29.0,79.0,20.0,5.0,0.1919918996928646,1608
31,麥當勞 (S291 台北承德二店),g6is,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,10.0,0.5974240680760938,5898
32,多喝點 Drink More,a6mc,2,['飲料'],False,29.0,79.0,20.0,5.0,0.5554325679802858,3492
33,大發生猛海鮮,f5xy,3,"['湯品', '便當', '台式']",False,29.0,79.0,20.0,5.0,0.49798026274796897,1928
34,張記山西刀削麵,e9fc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,20.0,5.0,0.48678375109709876,1002
35,2派克脆皮雞排 (北投石牌店),a7hc,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,0.5548659212919321,4462
36,福雞排-石牌店,l4ap,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,0.4290625631084844,1590
37,波仕Balls tea (台北石牌店),vkmk,2,['飲料'],False,29.0,79.0,20.0,5.0,0.17027010693565137,192
38,龜記茗品 (北投石牌店),wxix,2,['飲料'],False,29.0,79.0,20.0,5.0,0.6178450181202916,1980
39,不貽樣湯包排骨酥 (北投自強店),f5uq,2,"['中式', '湯品', '麵食']",False,29.0,79.0,20.0,5.0,0.6200648799444375,2254
40,韓國叔叔 (北投石牌總店),e4hu,2,['韓式'],False,29.0,79.0,20.0,5.0,0.492333390953252,3728
41,元氣脆皮章魚燒 (北投尊賢店),le41,2,['小吃'],False,29.0,79.0,20.0,5.0,0.4188012967930387,59
42,大嘴巴牛排館 (台北石牌店),d5qg,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.5078313821920813,1620
43,龍線家‧大腸麵線.雞排麻辣 (台北北投店),ypw7,2,"['麵食', '小吃', '炸雞']",False,29.0,79.0,25.0,5.0,1.5589914007573562,813
44,宇滷味 (台北石牌店),y7me,2,['小吃'],False,29.0,79.0,20.0,10.0,0.5082529185672408,3551
45,狀元香滷味 (台北石牌店),f8tl,2,['小吃'],False,29.0,79.0,20.0,5.0,0.47209055386345095,914
46,洪記涼麵 (台北石牌店),brd8,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.17166653981800745,231
47,廖家牛肉麵,a5bw,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,0.697675618148246,3136
48,喬園餃子館,a6ma,3,"['湯品', '台式', '餃子']",False,29.0,79.0,25.0,5.0,1.923661691345432,1898
49,芊芊素食(素滷味)健康廚房,brc4,2,"['麵食', '小吃']",False,29.0,79.0,30.0,10.0,2.465089966330943,74
50,神座拉麵,ub5v,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,3.5207143333295328,143
51,東京都拉麵館 X JK廚房 (Just Kitchen 士林店),i2il,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,1.587701429229847,668
52,日上鐵板燒,rk92,2,"['鐵板燒', '台式']",False,29.0,79.0,35.0,10.0,3.3032250387858415,551
53,炸G行家 (台北石牌店),xm3m,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,0.3713889000586207,139
54,佳佳佳石頭火鍋-嚴選湯頭,ms7y,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,2.299469990304425,72
55,晴天基隆營養三明治,zs8b,2,"['小吃', '三明治 / 吐司']",False,29.0,79.0,40.0,20.0,3.099238519734624,104
56,日本電視冠軍 剪刀式雞蛋糕 (台北士林店),i9il,1,['甜點'],False,29.0,79.0,40.0,15.0,3.4604218163860967,287
57,仙客來海鮮餐廳,gbgb,3,['台式'],False,29.0,79.0,20.0,5.0,0.36484586937080316,36
58,頂呱呱TKK (台北北投店),rshf,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,10.0,2.4214330606272076,333
59,富樂台式涮涮鍋,vv4u,3,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,3.9294675787870474,0
60,好奇營養豆花 (台北天母店),h3iv,2,['甜點'],False,29.0,79.0,30.0,10.0,2.388268799280429,617
61,高記茶莊,t8f6,2,['飲料'],False,29.0,79.0,25.0,5.0,1.9943578860777658,556
62,大邱大叔 밥짓는삼촌,x4rr,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,15.0,2.0473868991810797,815
63,德州美墨炸雞 (台北天母店),p5ur,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,5.0,1.6490641271936894,4375
64,新婦海南雞飯,kb26,2,"['便當', '東南亞']",False,29.0,79.0,20.0,5.0,0.506217417273917,348
65,士林十全排骨店,p7xk,2,['台式'],False,29.0,79.0,30.0,5.0,3.2842921902282756,2887
66,忠誠號蚵仔煎 (台北士林店),nwft,2,['台式'],False,29.0,79.0,30.0,5.0,3.335756011783974,186
67,台南東區焦糖煉乳包心粉圓 (台北士林店),z7b8,1,['甜點'],False,29.0,79.0,45.0,20.0,3.087934212669638,232
68,阿亮麵線,p9yx,1,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,3.189798313051817,671
69,YU丼飯(石牌總店),z7sq,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.46406504212840954,5233
70,喜喜鍋 • 煮好鍋專賣店 (石牌),ek9f,2,"['火鍋', '台式']",False,29.0,79.0,30.0,15.0,0.182326734008957,1949
71,味霖粥品,kgxb,2,"['粥', '台式']",False,29.0,79.0,20.0,5.0,0.3946265410288484,1445
72,鬍鬚張魯肉飯 (台北石牌店),a3ad,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,0.38333272445937855,3779
73,滿川香麻辣燙,p9dv,2,['小吃'],False,29.0,79.0,20.0,5.0,0.6025370603730161,1368
74,馬祖麵館 (台北石牌店),ner5,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.6357945454184498,853
75,五桐號 (台北石牌店),tky2,2,['飲料'],False,29.0,79.0,20.0,5.0,0.4528237486443867,262
76,狂野韓式炸雞,kpfm,2,"['韓式', '炸雞']",False,29.0,79.0,20.0,5.0,0.5209390472827483,1126
77,小夥子蛋包飯,y0ad,2,"['咖哩', '日式']",False,29.0,79.0,20.0,5.0,0.1919918996928646,1608
78,麥當勞 (S291 台北承德二店),g6is,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,10.0,0.5974240680760938,5898
79,多喝點 Drink More,a6mc,2,['飲料'],False,29.0,79.0,20.0,5.0,0.5554325679802858,3492
80,大發生猛海鮮,f5xy,3,"['湯品', '便當', '台式']",False,29.0,79.0,20.0,5.0,0.49798026274796897,1928
81,張記山西刀削麵,e9fc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,20.0,5.0,0.48678375109709876,1002
82,2派克脆皮雞排 (北投石牌店),a7hc,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,0.5548659212919321,4462
83,福雞排-石牌店,l4ap,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,0.4290625631084844,1590
84,波仕Balls tea (台北石牌店),vkmk,2,['飲料'],False,29.0,79.0,20.0,5.0,0.17027010693565137,192
85,龜記茗品 (北投石牌店),wxix,2,['飲料'],False,29.0,79.0,20.0,5.0,0.6178450181202916,1980
86,不貽樣湯包排骨酥 (北投自強店),f5uq,2,"['中式', '湯品', '麵食']",False,29.0,79.0,20.0,5.0,0.6200648799444375,2254
87,韓國叔叔 (北投石牌總店),e4hu,2,['韓式'],False,29.0,79.0,20.0,5.0,0.492333390953252,3728
88,元氣脆皮章魚燒 (北投尊賢店),le41,2,['小吃'],False,29.0,79.0,20.0,5.0,0.4188012967930387,59
89,大嘴巴牛排館 (台北石牌店),d5qg,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.5078313821920813,1620
90,龍線家‧大腸麵線.雞排麻辣 (台北北投店),ypw7,2,"['麵食', '小吃', '炸雞']",False,29.0,79.0,25.0,5.0,1.5589914007573562,813
91,宇滷味 (台北石牌店),y7me,2,['小吃'],False,29.0,79.0,20.0,10.0,0.5082529185672408,3551
92,狀元香滷味 (台北石牌店),f8tl,2,['小吃'],False,29.0,79.0,20.0,5.0,0.47209055386345095,914
93,洪記涼麵 (台北石牌店),brd8,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.17166653981800745,231
94,廖家牛肉麵,a5bw,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,0.697675618148246,3136
95,吉野家 Yoshinoya (台北石牌店),x4fk,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.46613887970113027,4399
96,鶴茶樓 (北投石牌店),jywh,2,['飲料'],False,29.0,79.0,20.0,5.0,0.4961579056318458,181
97,迷客夏 Milksha (台北石牌店),lee0,2,['飲料'],False,29.0,79.0,20.0,5.0,0.5958245800752484,225
98,皇家比薩,z9qt,2,"['披薩', '歐美']",False,29.0,79.0,25.0,5.0,2.0998525386087743,6262
99,爭鮮迴轉壽司 (石牌店),r7py,2,['日式'],False,29.0,79.0,20.0,5.0,0.38847119031778105,1147
