,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (景美外送店),jzvz,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.5680639759812324,658
1,珍香豆花,a9xr,2,['甜點'],False,29.0,79.0,45.0,20.0,0.7775770103920193,1708
2,燈籠滷味 (台北景美店),y2ra,2,['小吃'],False,29.0,79.0,30.0,5.0,1.0471574405643818,5382
3,肯德基KFC炸雞漢堡店 (文山興隆店),z5nj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,30.0,5.0,0.8664897735835331,3555
4,廚客飯麵小館,rozn,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,0.8869103899616405,486
5,RICO小廚 (文山辛亥店),y5uq,2,"['披薩', '歐美']",False,29.0,79.0,30.0,5.0,0.7097110398837989,2481
6,禎記滷味,a7kk,2,['小吃'],False,29.0,79.0,30.0,5.0,0.9141464974003506,2296
7,四海遊龍 (台北景美店),z8aw,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,0.7652023121243792,3300
8,鬍鬚張魯肉飯 (台北萬芳店),y9lu,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.9535294625717008,6737
9,麥當勞 (S139 台北興隆店),g0nt,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.9373872707781752,7187
10,湯包店,oabh,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,0.6997462844505492,1624
11,鹹酥李 (台北景美店),rfep,2,['小吃'],False,29.0,79.0,30.0,5.0,0.07518915110176137,80
12,13大腸麵線 (台北景興店),mtmg,2,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.4771748601782485,2421
13,麻丹辣麻辣滷味 (台北景美店),t55g,2,['小吃'],False,29.0,79.0,30.0,5.0,0.8477738864271919,414
14,谷家四神湯,z8ff,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.2130630938454544,1787
15,I'm Pasta (台北文山店),y0er,2,"['歐美', '麵食']",False,29.0,79.0,30.0,5.0,1.0271259600853386,3121
16,美術系 (台北景美店),b7cy,2,['日式'],False,29.0,79.0,30.0,5.0,0.9477552855276591,2451
17,八方雲集 (萬芳店),a6ml,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,1.0474589182727587,2649
18,常嗑雞排,vzo6,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,10.0,0.21969230562884037,27
19,八方雲集 (台北景興店),d4sv,2,"['台式', '餃子']",False,29.0,79.0,30.0,10.0,0.5549889740680913,981
