,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南崇明店),z0oo,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,1.4229042671939554,2121
1,肯德基KFC炸雞漢堡店 (台南民族店),uf3q,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,25.0,15.0,0.960612244935572,362
2,胖老爹美式炸雞 (台南東寧店),m8pq,2,"['歐美', '炸雞']",True,19.0,79.0,30.0,15.0,2.3103071624221263,1807
3,京享鐵板燒 (台南忠義店),jb6h,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.9670775065670533,2105
4,臭灶脚-東寧店 台北深坑清蒸麻辣臭豆腐,z7ho,2,['台式'],False,19.0,79.0,20.0,5.0,1.8438320779923698,4248
5,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,20.0,5.0,2.121727320441463,113
6,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.533968780918071,2642
7,叮哥茶飲 (台南民族店),l27v,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0697698666288546,84
8,樂法 (台南府城店),mlkd,2,['飲料'],False,19.0,79.0,20.0,10.0,0.8165589745276367,11
9,Burger King 漢堡王 (台南西門店),hfho,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,1.188463005151211,458
10,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,20.0,10.0,1.5094220006461592,19
11,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,25.0,5.0,3.7766751834865575,5843
12,有豐鐵板燒,kt9p,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,1.9725737845034117,16
13,洵鍋物。尋鍋物,s27d,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,3.2024587056639904,1
14,235巷義大利麵 (台南站前店),y2gu,2,"['歐美', '麵食']",False,19.0,79.0,25.0,15.0,0.78951067558176,7232
15,一九九九茶水灘小吃店,v861,2,['中式'],False,19.0,79.0,20.0,5.0,1.0956359582882627,65
16,劉家粽子 (西門總店),d6is,1,['台式'],False,19.0,79.0,20.0,5.0,1.7326763227091275,4972
17,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.734912772801852,255
18,東洲黑糖奶鋪 (台南總店),b4jb,2,['飲料'],False,19.0,79.0,20.0,5.0,1.468432902731335,2645
19,板塊牛排 (台南文賢店),okjm,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.224583351193685,66
20,東大門韓國烤肉料理,lal1,2,"['韓式', '湯品']",False,19.0,79.0,30.0,15.0,2.574753037776017,282
