,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S274 斗南延平店),yfse,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.2606754223443812,1086
1,大埔鐵板燒 (雲林斗南店),e9fh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.2227865034731424,1422
2,50嵐 (斗南中山店),kyy7,2,['飲料'],True,19.0,79.0,20.0,5.0,3.6769539736282773,1786
3,白巷子 (雲林斗南店),h6ti,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6640312051271593,1883
4,無尾熊飲料炸雞,nzxv,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.4524913104008865,242
5,Pizza Hut必勝客 (雲林斗南店),e2fx,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.1780799202537118,1122
6,可不可熟成紅茶 (雲林斗南店),jkb0,1,['飲料'],False,19.0,79.0,20.0,5.0,3.690320146785652,631
7,鮮茶道 (斗南車站店),f6eh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.723796757171833,1193
8,Tea’s原味 (斗南中山店),e4zk,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7426561994032386,1453
9,辛鮮串串 (雲林斗南店),m9hx,2,['小吃'],False,19.0,79.0,20.0,5.0,3.5508895187780913,654
10,清原芋圓 (斗南總店),f8ee,2,['甜點'],False,19.0,79.0,25.0,10.0,3.7559887491831767,1189
11,斗南土地公雞肉飯,m6vy,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,3.8737383412076443,350
12,2派克脆皮雞排 (雲林斗南店),e7qi,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.65179456088466,1259
13,胖老爹美式炸雞 (雲林斗南店),f3sb,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.714938149342405,2314
14,鮮味町海產粥各式川燙,f9yq,2,"['麵食', '粥', '台式']",False,19.0,79.0,20.0,5.0,3.6874624897888397,381
15,茶湯會 (斗南中山店),e7eu,2,['飲料'],False,19.0,79.0,20.0,5.0,3.655216870479677,670
16,元堂手搖飲料,e2ox,2,['飲料'],False,19.0,79.0,20.0,5.0,3.761244654980303,1552
17,吳家紅茶冰 (斗南文元店),rgvg,1,['飲料'],False,19.0,79.0,20.0,5.0,3.6077136298015655,298
18,誠石火鍋,f3yu,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,3.6352166571686837,1028
19,波波家平價鍋物,e7jt,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,3.290144480475302,429
20,小吃貨鍋燒,k8ch,1,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,3.4083234260248343,36
21,一品拉麵 ．乾拌麵,coq0,1,"['麵食', '台式']",False,19.0,79.0,25.0,10.0,3.6797238277397026,407
22,九香滷味,r3u1,2,['小吃'],False,19.0,79.0,20.0,5.0,3.6818469286860083,52
23,野崎關東煮,f4xm,2,['日式'],False,19.0,79.0,20.0,10.0,2.130864003288929,382
24,清爽涼麵,stk6,1,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,3.12209594025295,31
25,永貞新村 (斗南建國店),ayte,1,['甜點'],False,19.0,79.0,25.0,10.0,3.6467578245680774,60
26,亞晴排骨酥,sni7,2,['台式'],False,19.0,79.0,30.0,15.0,3.112402776925347,19
27,屋簷下的幸福甜品,wcie,1,['甜點'],False,19.0,79.0,25.0,10.0,3.735877746025735,1
28,清心福全 (斗南文元店),e9pk,1,['飲料'],False,19.0,79.0,20.0,5.0,3.1790870636517017,948
29,黑古早味紅茶冰,hxg9,1,['飲料'],False,19.0,79.0,20.0,5.0,3.677070226455593,769
30,茶太陽 (斗南中山店),e6xp,1,['飲料'],False,19.0,79.0,20.0,5.0,3.809730136033154,1056
