,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S274 斗南延平店),yfse,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.9450821019406646,1086
1,50嵐 (斗南中山店),kyy7,2,['飲料'],True,19.0,79.0,20.0,5.0,3.8026083080473088,1786
2,大埔鐵板燒 (雲林斗南店),e9fh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.953099243867102,1422
3,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,5.53592456754034,5177
4,白巷子 (雲林斗南店),h6ti,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7750733626248376,1883
5,鮮茶道 (斗南車站店),f6eh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.8406014501765005,1193
6,Tea’s原味 (斗南中山店),e4zk,2,['飲料'],False,19.0,79.0,20.0,5.0,3.8796945900949433,1453
7,可不可熟成紅茶 (雲林斗南店),jkb0,1,['飲料'],False,19.0,79.0,20.0,5.0,3.8998627049056687,631
8,辛鮮串串 (雲林斗南店),m9hx,2,['小吃'],False,19.0,79.0,20.0,5.0,3.6684380232891183,654
9,清原芋圓 (斗南總店),f8ee,2,['甜點'],False,19.0,79.0,25.0,10.0,3.8372944558436397,1189
10,斗南土地公雞肉飯,m6vy,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,3.877622489117423,350
11,胖老爹美式炸雞 (雲林斗南店),f3sb,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.8189400796218793,2314
12,無尾熊飲料炸雞,nzxv,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,4.230896168165818,242
13,2派克脆皮雞排 (雲林斗南店),e7qi,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.943634254704612,1259
14,Pizza Hut必勝客 (雲林斗南店),e2fx,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.9324529584031738,1122
15,迷客夏 Milksha (雲林斗南店),p4kf,2,['飲料'],False,19.0,79.0,20.0,5.0,4.004556422226738,882
16,茶湯會 (斗南中山店),e7eu,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7574260053219906,670
17,元堂手搖飲料,e2ox,2,['飲料'],False,19.0,79.0,20.0,5.0,3.9319320718409183,1552
18,小吃貨鍋燒,k8ch,1,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,3.8655537159444795,36
19,吳家紅茶冰 (斗南文元店),rgvg,1,['飲料'],False,19.0,79.0,20.0,5.0,3.9657539251622413,298
20,誠石火鍋,f3yu,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,4.161417187463948,1028
21,九香滷味,r3u1,2,['小吃'],False,19.0,79.0,20.0,5.0,4.021454791868277,52
22,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,6.703942882095687,5583
23,斑鳩的窩 (斗南西岐店),lqn7,2,['日式'],False,19.0,79.0,30.0,10.0,4.39572048154713,409
24,波波家平價鍋物,e7jt,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.190430417443368,429
25,清爽涼麵,stk6,1,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,3.5382791023091813,31
26,鍋道2號 (雲林斗南總店),ki03,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,3.699969443839058,116
27,IHCA餐酒館,vrap,2,['歐美'],False,19.0,79.0,25.0,10.0,3.2174730761459363,1
28,達美樂 (斗南延平店),q4se,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,4.051066845692016,360
29,屋簷下的幸福甜品,wcie,1,['甜點'],False,19.0,79.0,25.0,10.0,4.288937994959223,1
30,清心福全 (斗南文元店),e9pk,1,['飲料'],False,19.0,79.0,20.0,5.0,3.932588800014347,948
31,茶太陽 (斗南中山店),e6xp,1,['飲料'],False,19.0,79.0,20.0,5.0,4.002509526091943,1056
32,紅茶洋行 (雲林府文店),a4sr,1,['飲料'],False,19.0,79.0,20.0,5.0,4.266714879903288,862
33,城市漢堡 (斗南南昌店),xt5f,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.8655537159444795,324
34,弘爺漢堡 (斗南建國店),hpsw,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.427716325467268,108
35,呷尚寶 (雲林斗南店),qey7,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.8881917241028736,1034
36,A-bao阿寶早午餐 (斗南延平店),e0vo,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.000739147609063,3017
37,晨間廚房 (斗六龍潭店),b8or,2,"['早餐', '歐美']",False,19.0,79.0,40.0,10.0,4.173035311272922,991
38,A-bao阿寶早午餐 (斗南順安店),e8tk,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.7193808892587525,2717
39,汶香米屋,e9pr,1,['小吃'],False,19.0,79.0,40.0,10.0,3.9965576244311953,204
40,弄五泉早午餐,fbie,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.935645734029752,57
41,蕃茄村早午餐 (斗南文元店),e1av,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.9217342576629206,1380
42,找上早午餐,u7xu,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.680139909688696,1107
43,歐斯嘉早午餐,xyqo,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.80780022502303,4
44,美而美 (斗南延平店),e9yc,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.1270509841282825,1554
45,��茶坊複合餐飲,i60e,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.9156340321031116,376
46,大林天橋下火雞肉飯 (雲林斗南店),e8bd,2,"['便當', '台式']",False,19.0,79.0,40.0,10.0,4.020486841557381,1122
47,建丞生炒鴨肉羹,e4cr,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,10.0,4.1729269646542235,1783
48,50嵐 (斗南中山店),kyy7,2,['飲料'],True,19.0,79.0,20.0,5.0,3.8026083080473088,1786
49,大埔鐵板燒 (雲林斗南店),e9fh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.953099243867102,1422
50,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,5.53592456754034,5177
51,白巷子 (雲林斗南店),h6ti,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7750733626248376,1883
52,鮮茶道 (斗南車站店),f6eh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.8406014501765005,1193
53,Tea’s原味 (斗南中山店),e4zk,2,['飲料'],False,19.0,79.0,20.0,5.0,3.8796945900949433,1453
54,可不可熟成紅茶 (雲林斗南店),jkb0,1,['飲料'],False,19.0,79.0,20.0,5.0,3.8998627049056687,631
55,辛鮮串串 (雲林斗南店),m9hx,2,['小吃'],False,19.0,79.0,20.0,5.0,3.6684380232891183,654
56,清原芋圓 (斗南總店),f8ee,2,['甜點'],False,19.0,79.0,25.0,10.0,3.8372944558436397,1189
57,斗南土地公雞肉飯,m6vy,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,3.877622489117423,350
