,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南中華西店),z7bc,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,20.0,5.0,2.3909916129822792,3130
1,胖老爹美式炸雞 (台南郡平店),jkk0,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,0.5915294344036123,773
2,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,20.0,5.0,3.2043179293595774,113
3,Pizza Hut必勝客 (台南安平店),z4og,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.9747358345005029,2688
4,Burger King 漢堡王 (台南西門店),hfho,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,3.534411776376705,458
5,珍煮丹 (台南國華店),r5ck,2,['飲料'],False,19.0,79.0,35.0,20.0,3.4836788582515212,1105
6,百年老店鍋燒意麵 (台南民族店),m8wo,2,"['麵食', '台式']",True,19.0,79.0,35.0,20.0,3.385363415895298,952
7,小東門咖哩 (台南安平店),qvvz,2,"['咖哩', '日式']",False,19.0,79.0,15.0,5.0,0.3397707427096751,218
8,滿茶montea (台南安平店),x3fy,1,['飲料'],False,19.0,79.0,15.0,5.0,0.48138531709592974,629
9,hito喜多鐵板燒,dlwc,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.7529994185909271,225
10,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,3.2191664447567567,19
11,洵鍋物。尋鍋物,s27d,2,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,1.4542624912461621,1
12,東大門韓國烤肉料理,lal1,2,"['韓式', '湯品']",False,19.0,79.0,30.0,15.0,2.0887889289917734,282
13,靚咖哩,pk83,3,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,1.8982836700041943,182
14,板塊牛排 (台南文賢店),okjm,2,"['歐美', '牛排']",False,19.0,79.0,25.0,5.0,3.9082576601057704,66
15,家鄉的八寶冰,vbla,2,['台式'],False,19.0,79.0,20.0,5.0,3.2595617150937453,101
16,Toka東加和漢創作料理(中日式料理),hw8d,2,['日式'],False,19.0,79.0,30.0,15.0,2.202998003773273,21
17,三國饌鴛鴦麻辣鍋 (台南府前店),b0qq,3,"['中式', '火鍋']",True,19.0,79.0,20.0,5.0,2.7022606941828973,269
18,哞熹哞熹 (台南總店),b8zj,2,['甜點'],False,19.0,79.0,25.0,5.0,3.5328091108054323,213
19,周氏蝦捲,a7zy,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,1.4533829806552896,1751
20,牛園火鍋 (台南安平店),f4ub,3,"['火鍋', '台式']",True,19.0,79.0,30.0,20.0,0.4852403964252593,531
21,寓永恆 (義大利麵/燉飯),i7ap,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.202998003773273,75
22,水仙宮粽葉米糕,rxb4,2,['台式'],False,19.0,79.0,40.0,20.0,3.630311144795477,234
23,全豐蛋餅,fmcn,2,['台式'],False,19.0,79.0,25.0,10.0,3.2216901504804003,66
24,饕公麻辣燙 (台南府前店),k4cy,2,['小吃'],False,19.0,79.0,25.0,5.0,3.5758387333555617,1472
25,億品鍋 (台南頂美店),g81f,2,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,2.2675559995554133,331
26,炸雞洋行 (台南海安店),kixi,2,['小吃'],False,19.0,79.0,25.0,10.0,3.274733340853453,49
27,泰椰 TAI YA 泰式料理,ls4f,3,['東南亞'],False,19.0,79.0,25.0,10.0,3.8015610172646896,141
28,清吉水果,uyw4,2,['健康餐'],False,19.0,79.0,25.0,5.0,3.632589179290181,112
29,Caffebene (台南海安店),j2xy,2,"['咖啡', '韓式']",True,19.0,79.0,30.0,10.0,3.4304362920521236,409
30,麥當勞 (S292 台南中華二店),a0ok,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.399160948836008,11283
31,食在讚虱目魚專賣,z2xq,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.5817301243479487,2740
32,鴨董當歸鴨 (安平華平店),bbfz,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.2206080406288966,133
