,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,永貞新村 (斗南建國店),ayte,1,['甜點'],False,19.0,79.0,20.0,10.0,1.032435584385214,60
1,麥當勞 (S274 斗南延平店),yfse,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,0.9411037059235842,1086
2,50嵐 (斗南中山店),kyy7,2,['飲料'],True,19.0,79.0,15.0,5.0,0.586663582050267,1786
3,大埔鐵板燒 (雲林斗南店),e9fh,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.9777737711143797,1422
4,白巷子 (雲林斗南店),h6ti,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6125820686817874,1883
5,Tea’s原味 (斗南中山店),e4zk,2,['飲料'],False,19.0,79.0,15.0,5.0,0.49146685584561606,1453
6,斗南土地公雞肉飯,m6vy,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.3805998067863611,350
7,2派克脆皮雞排 (雲林斗南店),e7qi,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.5545078421831857,1259
8,鮮茶道 (斗南車站店),f6eh,2,['飲料'],False,19.0,79.0,15.0,5.0,0.5264290517948381,1193
9,可不可熟成紅茶 (雲林斗南店),jkb0,1,['飲料'],False,19.0,79.0,15.0,5.0,0.5314121926669894,631
10,迷客夏 Milksha (雲林斗南店),p4kf,2,['飲料'],False,19.0,79.0,15.0,5.0,0.13371616206102274,882
11,清原芋圓 (斗南總店),f8ee,2,['甜點'],False,19.0,79.0,20.0,10.0,0.5002281471052973,1189
12,無尾熊飲料炸雞,nzxv,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,0.7591055117346336,242
13,胖老爹美式炸雞 (雲林斗南店),f3sb,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,0.5451285947513842,2314
14,辛鮮串串 (雲林斗南店),m9hx,2,['小吃'],False,19.0,79.0,15.0,5.0,0.7721045270291252,654
15,斑鳩的窩 (斗南西岐店),lqn7,2,['日式'],False,19.0,79.0,20.0,10.0,0.2885408619523028,409
16,鮮味町海產粥各式川燙,f9yq,2,"['麵食', '粥', '台式']",False,19.0,79.0,15.0,5.0,0.5087648467331894,381
17,元堂手搖飲料,e2ox,2,['飲料'],False,19.0,79.0,15.0,5.0,0.45388885751371216,1552
18,Pizza Hut必勝客 (雲林斗南店),e2fx,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.0265479805635571,1122
19,茶湯會 (斗南中山店),e7eu,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6300008834442242,670
20,吳家紅茶冰 (斗南文元店),rgvg,1,['飲料'],False,19.0,79.0,15.0,5.0,0.5924440320142697,298
