,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S157 斗六民生店),d2bv,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,5.308996144457199,13032
1,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,20.0,5.0,5.28251013119299,5177
2,台灣第一家鹽酥雞 (斗六成功店),m0gm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.217496924312095,906
3,小張食堂 牛肉麵,soy7,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.148693552569488,385
4,蔡記 炒飯 炒麵,th2x,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,4.073613812397912,192
5,餃太郎手工水餃 (雲林斗六店),c1o8,2,['台式'],False,19.0,79.0,25.0,10.0,3.3045475862216667,154
6,50嵐 (斗六中華店),bmcn,1,['飲料'],False,19.0,79.0,20.0,5.0,4.630267074373773,1113
7,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,5.288417546878817,5583
8,新篇章咖啡 Next Chapter,k3rc,2,"['咖啡', '歐美']",False,19.0,79.0,20.0,5.0,3.7654508963147455,540
9,老東家重慶麻辣鍋,hj49,2,"['中式', '火鍋']",False,19.0,79.0,30.0,15.0,4.363448857333541,145
10,吳家紅茶冰(斗六成功店),a9id,1,['飲料'],False,19.0,79.0,20.0,5.0,3.981644156972106,853
11,品賀手作滷 (雲林斗六店),ku8g,2,['小吃'],False,19.0,79.0,25.0,10.0,3.302782497771705,71
12,慕田御,kmsd,2,"['麵食', '火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.3012256286584054,56
13,熱海精緻火鍋,ypxd,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,3.511138316085351,21
14,小喜猴頭菇 (雲林斗六店),fjfe,2,"['小吃', '台式']",False,19.0,79.0,25.0,15.0,3.298766932078967,22
15,STARBUCKS 星巴克 (斗六中正門市),f7qt,2,"['歐美', '飲料']",False,19.0,79.0,20.0,5.0,4.468073549226443,1298
16,橘子先生早午餐,h5bc,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.685425998722677,2821
17,呷尚寶 (雲林成功店),fjxs,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.7009265469120685,329
18,元帥早餐店,d30z,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.717876755274109,196
19,晨間廚房 (斗六工業店),xw0u,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.967620188341535,158
20,早安美芝城 (斗六活力鎮東店),d0ij,2,"['早餐', '台式']",True,19.0,79.0,40.0,10.0,4.141513497104357,1259
21,小蘋果早餐店,d0oz,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.4778851197476905,1088
22,麥味登 (斗六文化店),w0w7,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.356235825637738,93
23,弘爺漢堡 (斗六大同店),f7md,2,"['早餐', '漢堡', '台式']",False,19.0,79.0,40.0,15.0,4.441079354974004,794
24,嘉義竹崎火雞肉飯,a6lv,1,"['便當', '台式']",False,19.0,79.0,40.0,10.0,3.9811963643742763,1444
25,圓滿火雞肉飯 (雲林斗六店),t26a,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.771137344855778,660
26,芋圓家 (雲林斗工店),lomv,1,['甜點'],False,19.0,79.0,40.0,15.0,2.967606150471109,7
