,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,豪客居酒屋（窯烤雞）,s90q,3,['日式'],False,19.0,79.0,20.0,10.0,2.135237029447566,132
1,宮本武丼 (雲林斗六店),nsrt,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,0.6973746926179665,204
2,亞都鐵板燒,a0vh,2,"['鐵板燒', '台式']",False,19.0,79.0,10.0,5.0,0.22664440994812796,2634
3,菁囍Double Like (雲林斗六店),gooe,2,['飲料'],False,19.0,79.0,15.0,10.0,0.9257936571378224,308
4,萬波島嶼紅茶 (斗六民生店),uile,2,['飲料'],False,19.0,79.0,15.0,5.0,0.9364071399992636,522
5,紅茶幫 (斗六鎮北店),d4ox,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8682410946851252,1749
6,紅茶幫 (斗六中華店),d6be,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4496991623490808,774
7,冬瓜幫 (雲林斗六店),ujx5,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7849165559708381,536
8,紅茶幫 (斗六中山店),d2go,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4421062263760621,1733
9,联亭泡菜鍋 (雲林斗六店),o1ct,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.27945296400990244,867
10,醬子美食餐廳,b4ps,2,"['麵食', '台式']",True,19.0,79.0,30.0,20.0,1.0693452099317688,709
11,麥當勞 (S157 斗六民生店),d2bv,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.487562818934615,13032
12,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,15.0,5.0,0.7628844726816787,5177
13,五花馬水餃館 (雲林斗六門市),cz5g,2,"['湯品', '台式', '餃子']",False,19.0,79.0,15.0,10.0,0.2764967857633184,801
14,狀元廣東粥,e0ll,1,"['中式', '粥']",False,19.0,79.0,15.0,5.0,0.6201421667650107,2530
15,Pizza Hut必勝客 (雲林斗六店),b1mu,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.08041445125854438,4857
16,八米澤鐵板燒 (斗六店),a9ea,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.8660814300483964,2166
17,九湯屋日式拉麵 (雲林斗六店),b6df,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.21455566915522706,1173
18,格寧貳貳 (斗六店),h1bq,2,['台式'],False,19.0,79.0,20.0,10.0,1.1304713469585033,4278
19,李記燒肉,b1ng,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,0.5045759635249925,2616
20,陳家魯肉飯,x9yz,1,"['湯品', '便當', '台式']",False,19.0,79.0,10.0,5.0,0.21041888261287497,809
21,職人雙饗丼 (雲林斗六店),h8qn,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,0.6538264765356564,1934
22,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,0.4190414674748392,5583
23,紅磚輕食,q8oy,2,['台式'],False,19.0,79.0,25.0,20.0,0.39473458876730405,2370
24,巧之脆中美式炸雞 (斗六總店),nh39,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.26481939020716455,196
25,慶鴻小籠包,e2wu,2,"['中式', '湯品', '餃子']",False,19.0,79.0,15.0,10.0,0.3931137785681454,2230
26,紅麥田炸雞 (斗六鎮南店),oz1x,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.32319935636511954,1421
27,菲比棧複合式餐飲,efn2,2,['台式'],False,19.0,79.0,15.0,10.0,0.29090690816624604,292
28,斗六東市碳烤,pqnd,2,['小吃'],False,19.0,79.0,15.0,10.0,0.5300692302553677,136
