,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S157 斗六民生店),d2bv,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,6.708485026000037,13032
1,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,7.338879018965675,5177
2,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,6.750171413636081,5583
3,弘爺漢堡 (斗六大同店),f7md,2,"['早餐', '漢堡', '台式']",False,19.0,79.0,40.0,15.0,7.47714617370669,794
4,吳家紅茶冰 (虎尾惠來店),eudg,1,['飲料'],False,19.0,79.0,40.0,15.0,3.3388636782130923,26
5,熱血焦糖 (雲林大美店),ktz7,2,['飲料'],False,19.0,79.0,40.0,15.0,2.6748349192636693,47
6,董茲董茲,sfhv,2,['小吃'],False,19.0,79.0,40.0,15.0,0.14397520172394984,4
7,Woody | 伍迪,usms,3,"['漢堡', '歐美', '麵食']",False,19.0,79.0,40.0,15.0,7.4535242821275824,64
8,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,7.338879018965675,5177
9,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,6.750171413636081,5583
10,弘爺漢堡 (斗六大同店),f7md,2,"['早餐', '漢堡', '台式']",False,19.0,79.0,40.0,15.0,7.47714617370669,794
11,吳家紅茶冰 (虎尾惠來店),eudg,1,['飲料'],False,19.0,79.0,40.0,15.0,3.3388636782130923,26
12,熱血焦糖 (雲林大美店),ktz7,2,['飲料'],False,19.0,79.0,40.0,15.0,2.6748349192636693,47
13,董茲董茲,sfhv,2,['小吃'],False,19.0,79.0,40.0,15.0,0.14397520172394984,4
14,Woody | 伍迪,usms,3,"['漢堡', '歐美', '麵食']",False,19.0,79.0,40.0,15.0,7.4535242821275824,64
