,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (雲林虎尾店),b8ns,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.4066625064106817,2373
1,清心福全 (雲林虎尾中正店),a2pt,1,['飲料'],False,19.0,79.0,15.0,5.0,2.200269404078661,1452
2,蔗一攤 (虎尾中正店),jwso,1,['飲料'],False,19.0,79.0,15.0,5.0,1.658135512931238,21
3,清心福全 (虎尾光復店),b9np,1,['飲料'],False,19.0,79.0,15.0,5.0,1.3602113471891832,1099
4,清心福全 (虎尾仁愛店),b8jk,1,['飲料'],False,19.0,79.0,15.0,5.0,1.7097286924500532,455
5,三國饌鴛鴦麻辣鍋 (雲林虎尾店),a1rb,3,"['中式', '火鍋']",True,19.0,79.0,25.0,15.0,2.0459295051752244,150
6,麥當勞 (S204 虎尾新興店),d6sz,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.7249104975541405,17700
7,肯德基KFC炸雞漢堡店 (雲林虎尾店),b7nd,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.522597945710029,3343
8,大埔鐵板燒 (雲林虎尾店),a5lf,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,1.5092695391681092,4263
9,阿秋藥燉排骨,mxnm,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,1.508958625989002,63
10,味粥道 (雲林虎尾店),d6ua,1,"['粥', '台式']",False,19.0,79.0,15.0,5.0,2.3322197872599286,3187
11,2派克脆皮雞排 (雲林虎尾店),a2zz,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.8693717259802067,3137
12,五花馬水餃館 (雲林虎尾門市),cxrm,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,10.0,2.2984411135119345,699
13,釜山崔炸雞 (雲林虎尾店),n0z7,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,5.0,1.8885143994290896,165
14,初八拉麵 (雲林虎尾店),a4ja,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,2.3127482438330476,1562
15,員湘園鴨肉飯 (雲林虎尾店),tmvv,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.9418513691137782,1414
16,龍鹽酥雞 (雲林虎尾店),xlvf,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.585698466675525,808
17,味味牛肉麵店,d0ag,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,1.4310347741109692,958
18,蘭雞腳翅,g61w,2,['小吃'],False,19.0,79.0,15.0,5.0,1.6026108247081576,32
19,台灣第一家鹽酥雞 (雲林虎尾店),xie4,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.645362551169351,171
20,米福壽司 (雲林虎尾店),x1s1,2,['日式'],False,19.0,79.0,15.0,5.0,1.6091339139974066,88
21,50嵐 (虎尾光復店),s5wh,2,['飲料'],False,19.0,79.0,15.0,5.0,1.2396619309463979,962
