,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,宮本武丼 (雲林斗六店),nsrt,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,3.083435733943393,204
1,菁囍Double Like (雲林斗六店),gooe,2,['飲料'],False,19.0,79.0,20.0,10.0,2.8266512930417433,308
2,联亭泡菜鍋 (雲林斗六店),o1ct,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.5937408583680033,867
3,醬子美食餐廳,b4ps,2,"['麵食', '台式']",True,19.0,79.0,35.0,20.0,2.704420746674855,709
4,格寧貳貳 (斗六店),h1bq,2,['台式'],False,19.0,79.0,20.0,10.0,2.6240315998414174,4278
5,皇嘉水餃&涼食,i4k5,2,"['小吃', '餃子']",False,19.0,79.0,15.0,10.0,0.6564082714220855,26
6,麥當勞 (S235 斗六雲林店),d5ur,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.2792611941686434,13987
7,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,20.0,5.0,3.020764122534409,5177
8,八米澤鐵板燒 (斗六店),a9ea,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.936959569414102,2166
9,韓式厚片煎餅,unj1,2,"['韓式', '湯品', '麵食']",False,19.0,79.0,20.0,10.0,0.6569051124260421,14
10,甘乃滴冷泡飲 (雲林斗六店),ed11,1,['飲料'],False,19.0,79.0,15.0,5.0,0.7653548190154585,39
11,狀元廣東粥,e0ll,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.4489721267703892,2530
12,職人雙饗丼 (雲林斗六店),h8qn,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,3.0987681031822,1934
13,李記燒肉,b1ng,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.2456982243569006,2616
14,高師傅蛋餅,f5ab,1,['台式'],False,19.0,79.0,20.0,5.0,2.8764225474767353,2047
15,50嵐 (斗六中山店),dfbr,2,['飲料'],False,19.0,79.0,20.0,5.0,3.0600972897209426,1906
16,海富海南雞飯 無刺虱目魚,b9la,2,"['湯品', '便當', '台式']",False,19.0,79.0,15.0,5.0,2.260576653887976,906
17,五花馬水餃館 (雲林斗六門市),cz5g,2,"['湯品', '台式', '餃子']",False,19.0,79.0,25.0,10.0,3.605746017077369,801
18,劉妹鍋燒意麵 (雲林斗六店),ykz1,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,2.6889176358579676,53
19,南投詹意麵,i9xi,1,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,2.1641987126509155,251
20,慶鴻小籠包,e2wu,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,3.357130392151018,2230
21,台灣第一家鹽酥雞 (斗六成功店),m0gm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.753297970729276,906
22,亞都鐵板燒,a0vh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.5607824683547995,2634
23,順風雞排 ( 雲林斗六店 ),a3cw,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.960223827407757,2681
24,Pizza Hut必勝客 (雲林斗六店),b1mu,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.6826412397969457,4857
25,迷客夏 Milksha (雲林斗六店),smnh,2,['飲料'],False,19.0,79.0,20.0,5.0,2.761328617753449,340
