,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南崇明店),z7eh,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,15.0,5.0,0.41527099358532615,2250
1,Pizza Hut必勝客 (台南崇明店),z0oo,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.4055771504612479,2121
2,小東門咖喱 (台南東興店),wbee,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,1.6503832086523433,242
3,胖老爹美式炸雞 (台南東寧店),m8pq,2,"['歐美', '炸雞']",True,19.0,79.0,25.0,15.0,1.320109290843606,1807
4,京享鐵板燒 (台南忠義店),jb6h,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.5519283066348466,2105
5,大苑子 (台南崇德店),z9vv,2,['飲料'],False,19.0,79.0,15.0,5.0,0.5655632724194039,2025
6,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,20.0,5.0,3.3122748569044744,113
7,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.245795102885703,2642
8,叮哥茶飲 (台南民族店),l27v,2,['飲料'],False,19.0,79.0,20.0,5.0,2.445326623942527,84
9,樂法 (台南府城店),mlkd,2,['飲料'],False,19.0,79.0,20.0,10.0,1.6142555140167318,11
10,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,25.0,5.0,3.8424714169992344,5843
11,有豐鐵板燒,kt9p,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,1.3109762568546979,16
12,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,3.1385896684663073,19
13,一九九九茶水灘小吃店,v861,2,['中式'],False,19.0,79.0,20.0,5.0,1.0407433360618545,65
14,東洲黑糖奶鋪 (台南總店),b4jb,2,['飲料'],False,19.0,79.0,20.0,5.0,1.3858783149189018,2645
15,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.8103076448246886,255
16,秘密義大利麵,azcu,2,['歐美'],False,19.0,79.0,20.0,10.0,1.5497063259716743,54
17,夢東籬餐廳,tcxg,2,['台式'],False,19.0,79.0,20.0,5.0,1.4812881608023085,66
18,永林綜合料理,qx90,3,['台式'],False,19.0,79.0,20.0,5.0,2.5562484793659914,36
19,黑丸嫩仙草 (台南健康店),z7fk,2,['甜點'],True,19.0,79.0,25.0,10.0,2.5304182910223822,646
20,家鄉的八寶冰,vbla,2,['台式'],False,19.0,79.0,25.0,5.0,3.7538718236837485,101
21,哞熹哞熹 (台南總店),b8zj,2,['甜點'],False,19.0,79.0,25.0,5.0,3.1152682574362176,213
22,三國饌鴛鴦麻辣鍋 (台南府前店),b0qq,3,"['中式', '火鍋']",True,19.0,79.0,25.0,5.0,3.684985804282587,269
23,再睡5分鐘 (台南南紡店),xodm,2,['飲料'],False,19.0,79.0,20.0,5.0,1.5816934715488076,441
24,家家牛排屋,vozu,2,"['台式', '牛排']",False,19.0,79.0,25.0,15.0,0.5647541379596376,571
25,國榮肉燥飯,m45v,1,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,1.3601134133338195,1455
26,NO Q PIZZA (台南大同店),dp7l,2,"['披薩', '歐美']",False,19.0,79.0,30.0,15.0,1.2095772603203134,378
27,炙丼家,wq5k,2,['日式'],False,19.0,79.0,25.0,10.0,1.3637091457900332,87
28,饕公麻辣燙 (台南府前店),k4cy,2,['小吃'],False,19.0,79.0,20.0,5.0,2.8001240350234915,1472
29,泰椰 TAI YA 泰式料理,ls4f,3,['東南亞'],False,19.0,79.0,20.0,10.0,2.441995594685859,141
30,庫肯花園餐廳,uf8a,3,"['歐美', '麵食']",False,19.0,79.0,20.0,10.0,1.8022381916449368,30
31,水仙宮粽葉米糕,rxb4,2,['台式'],False,19.0,79.0,40.0,20.0,3.1696063597011475,234
32,清吉水果,uyw4,2,['健康餐'],False,19.0,79.0,20.0,5.0,2.743594758880776,112
33,全豐蛋餅,fmcn,2,['台式'],False,19.0,79.0,25.0,10.0,3.8116657301991443,66
34,炸雞洋行 (台南海安店),kixi,2,['小吃'],False,19.0,79.0,25.0,10.0,3.183116279908002,49
35,廚房有雞,z4fb,3,"['火鍋', '台式']",True,19.0,79.0,35.0,30.0,0.4003231037221146,125
36,Caffebene (台南海安店),j2xy,2,"['咖啡', '韓式']",True,19.0,79.0,25.0,10.0,3.283413259386197,409
