,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,曲肯叔叔美式炸雞 (台南永康店),hu1r,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.4806332398368895,7
1,肯德基KFC炸雞漢堡店 (台南西門二店),z8ui,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.023077314829433,3255
2,京享鐵板燒（安中店）,b7wa,2,"['鐵板燒', '台式']",False,9.0,79.0,20.0,5.0,2.8018474449128727,1819
3,京享鐵板燒 (台南忠義店),jb6h,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.5570105207310045,2105
4,惡魔沙威瑪 (台南海佃店),i044,1,['異國'],False,19.0,79.0,15.0,5.0,1.1897507009671644,41
5,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.740100323333595,2642
6,樂法 (台南府城店),mlkd,2,['飲料'],False,19.0,79.0,25.0,10.0,3.036600324783299,11
7,Pizza Hut必勝客 (台南西門店),z4ps,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.3027934716419698,2907
8,鴨董當歸鴨 (永康中正店),ywjl,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,4.805040930496102,3326
9,Burger King 漢堡王 (台南成功店),nko5,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.170098131159583,3518
10,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,25.0,5.0,3.151861584608671,5843
11,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,2.786728606465407,19
12,洵鍋物。尋鍋物,s27d,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,3.765746886258861,1
13,板塊牛排 (台南文賢店),okjm,2,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,0.7499866220324225,66
14,235巷義大利麵 (台南站前店),y2gu,2,"['歐美', '麵食']",False,19.0,79.0,30.0,15.0,2.7674194522190634,7232
15,劉家粽子 (西門總店),d6is,1,['台式'],False,19.0,79.0,20.0,5.0,1.7377823942674482,4972
16,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.11827412898983,255
17,豐源上好吃牛肉麵,ypij,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,1.2395630473228854,68
18,惠比壽一町,d8wx,2,['日式'],True,19.0,79.0,20.0,10.0,1.5860560974788682,1121
19,家鄉的八寶冰,vbla,2,['台式'],False,19.0,79.0,20.0,5.0,1.8623973724268177,101
20,東大門韓國烤肉料理,lal1,2,"['韓式', '湯品']",False,19.0,79.0,35.0,15.0,3.3081315796401203,282
21,哞熹哞熹 (台南總店),b8zj,2,['甜點'],False,19.0,79.0,20.0,5.0,2.2913735146395826,213
22,靚咖哩,pk83,3,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.6305526121335507,182
23,永林綜合料理,qx90,3,['台式'],False,19.0,79.0,25.0,5.0,3.0654789181923094,36
24,Toka東加和漢創作料理(中日式料理),hw8d,2,['日式'],False,19.0,79.0,30.0,15.0,3.2733746765638285,21
25,夢東籬餐廳,tcxg,2,['台式'],False,19.0,79.0,25.0,5.0,3.3530078450234937,66
26,8818比薩屋 (台南永康店),y8xj,3,"['披薩', '歐美']",False,19.0,79.0,25.0,5.0,3.056667208542949,935
27,三國饌鴛鴦麻辣鍋 (台南府前店),b0qq,3,"['中式', '火鍋']",True,19.0,79.0,20.0,5.0,2.7776557654877623,269
28,水仙宮粽葉米糕,rxb4,2,['台式'],False,19.0,79.0,35.0,20.0,2.0976115710481174,234
29,全豐蛋餅,fmcn,2,['台式'],False,19.0,79.0,20.0,10.0,1.8529621271852226,66
30,饕公麻辣燙 (台南府前店),k4cy,2,['小吃'],False,19.0,79.0,20.0,5.0,2.7777906806825947,1472
31,清吉水果,uyw4,2,['健康餐'],False,19.0,79.0,20.0,5.0,2.787782767998578,112
32,國榮肉燥飯,m45v,1,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.624583921293437,1455
33,周氏蝦捲,a7zy,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.2048369470168794,1751
34,Caffebene (台南海安店),j2xy,2,"['咖啡', '韓式']",True,19.0,79.0,25.0,10.0,2.1907178637475524,409
35,炸雞洋行 (台南海安店),kixi,2,['小吃'],False,19.0,79.0,25.0,10.0,2.5809171429508084,49
36,寓永恆 (義大利麵/燉飯),i7ap,2,"['歐美', '麵食']",False,19.0,79.0,25.0,5.0,3.2733746765638285,75
37,泰椰 TAI YA 泰式料理,ls4f,3,['東南亞'],False,19.0,79.0,25.0,10.0,3.229756606784536,141
38,庫肯花園餐廳,uf8a,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,3.091096478365434,30
39,NO Q PIZZA (台南大同店),dp7l,2,"['披薩', '歐美']",False,19.0,79.0,35.0,15.0,3.927483120882831,378
40,XM麻辣火鍋 (台南永康店),edrk,3,"['中式', '火鍋']",False,19.0,79.0,20.0,5.0,3.070424181049208,25
41,饌味亭現炒,r7xu,2,['台式'],False,19.0,79.0,15.0,5.0,1.1796624679970042,2171
42,麥當勞 (S164 台南西門二店),b0gu,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.1225731552470213,8961
43,和偉麵館,e6ba,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.5463809751071492,1246
44,邵師傅上海湯包 (台南文賢店),f4at,2,"['中式', '湯品']",False,19.0,79.0,15.0,5.0,0.6476724023563137,1274
45,老夫子牛肉麵 (台南成功店),t9mk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.6715130125006616,2938
46,大碗公冰·甜品 (小北育德店),t96j,2,['甜點'],False,19.0,79.0,20.0,10.0,0.6847706417918251,1593
47,京享鐵板燒（北安店）,nw4v,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.8235700558600838,2019
48,肯德基KFC炸雞漢堡店 (台南西門二店),z8ui,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.023077314829433,3255
49,京享鐵板燒（安中店）,b7wa,2,"['鐵板燒', '台式']",False,9.0,79.0,20.0,5.0,2.8018474449128727,1819
50,京享鐵板燒 (台南忠義店),jb6h,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.5570105207310045,2105
51,惡魔沙威瑪 (台南海佃店),i044,1,['異國'],False,19.0,79.0,15.0,5.0,1.1897507009671644,41
52,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.740100323333595,2642
53,樂法 (台南府城店),mlkd,2,['飲料'],False,19.0,79.0,25.0,10.0,3.036600324783299,11
54,Pizza Hut必勝客 (台南西門店),z4ps,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.3027934716419698,2907
55,鴨董當歸鴨 (永康中正店),ywjl,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,4.805040930496102,3326
56,Burger King 漢堡王 (台南成功店),nko5,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.170098131159583,3518
57,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,25.0,5.0,3.151861584608671,5843
58,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,2.786728606465407,19
59,洵鍋物。尋鍋物,s27d,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,3.765746886258861,1
60,板塊牛排 (台南文賢店),okjm,2,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,0.7499866220324225,66
61,235巷義大利麵 (台南站前店),y2gu,2,"['歐美', '麵食']",False,19.0,79.0,30.0,15.0,2.7674194522190634,7232
62,劉家粽子 (西門總店),d6is,1,['台式'],False,19.0,79.0,20.0,5.0,1.7377823942674482,4972
63,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.11827412898983,255
64,豐源上好吃牛肉麵,ypij,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,1.2395630473228854,68
65,惠比壽一町,d8wx,2,['日式'],True,19.0,79.0,20.0,10.0,1.5860560974788682,1121
66,家鄉的八寶冰,vbla,2,['台式'],False,19.0,79.0,20.0,5.0,1.8623973724268177,101
67,東大門韓國烤肉料理,lal1,2,"['韓式', '湯品']",False,19.0,79.0,35.0,15.0,3.3081315796401203,282
68,哞熹哞熹 (台南總店),b8zj,2,['甜點'],False,19.0,79.0,20.0,5.0,2.2913735146395826,213
69,靚咖哩,pk83,3,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.6305526121335507,182
70,永林綜合料理,qx90,3,['台式'],False,19.0,79.0,25.0,5.0,3.0654789181923094,36
71,Toka東加和漢創作料理(中日式料理),hw8d,2,['日式'],False,19.0,79.0,30.0,15.0,3.2733746765638285,21
72,夢東籬餐廳,tcxg,2,['台式'],False,19.0,79.0,25.0,5.0,3.3530078450234937,66
73,8818比薩屋 (台南永康店),y8xj,3,"['披薩', '歐美']",False,19.0,79.0,25.0,5.0,3.056667208542949,935
74,三國饌鴛鴦麻辣鍋 (台南府前店),b0qq,3,"['中式', '火鍋']",True,19.0,79.0,20.0,5.0,2.7776557654877623,269
75,水仙宮粽葉米糕,rxb4,2,['台式'],False,19.0,79.0,35.0,20.0,2.0976115710481174,234
76,全豐蛋餅,fmcn,2,['台式'],False,19.0,79.0,20.0,10.0,1.8529621271852226,66
77,饕公麻辣燙 (台南府前店),k4cy,2,['小吃'],False,19.0,79.0,20.0,5.0,2.7777906806825947,1472
78,清吉水果,uyw4,2,['健康餐'],False,19.0,79.0,20.0,5.0,2.787782767998578,112
79,國榮肉燥飯,m45v,1,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.624583921293437,1455
80,周氏蝦捲,a7zy,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.2048369470168794,1751
81,Caffebene (台南海安店),j2xy,2,"['咖啡', '韓式']",True,19.0,79.0,25.0,10.0,2.1907178637475524,409
82,炸雞洋行 (台南海安店),kixi,2,['小吃'],False,19.0,79.0,25.0,10.0,2.5809171429508084,49
83,寓永恆 (義大利麵/燉飯),i7ap,2,"['歐美', '麵食']",False,19.0,79.0,25.0,5.0,3.2733746765638285,75
84,泰椰 TAI YA 泰式料理,ls4f,3,['東南亞'],False,19.0,79.0,25.0,10.0,3.229756606784536,141
85,庫肯花園餐廳,uf8a,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,3.091096478365434,30
86,NO Q PIZZA (台南大同店),dp7l,2,"['披薩', '歐美']",False,19.0,79.0,35.0,15.0,3.927483120882831,378
87,XM麻辣火鍋 (台南永康店),edrk,3,"['中式', '火鍋']",False,19.0,79.0,20.0,5.0,3.070424181049208,25
88,饌味亭現炒,r7xu,2,['台式'],False,19.0,79.0,15.0,5.0,1.1796624679970042,2171
89,麥當勞 (S164 台南西門二店),b0gu,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.1225731552470213,8961
90,和偉麵館,e6ba,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.5463809751071492,1246
91,邵師傅上海湯包 (台南文賢店),f4at,2,"['中式', '湯品']",False,19.0,79.0,15.0,5.0,0.6476724023563137,1274
92,老夫子牛肉麵 (台南成功店),t9mk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.6715130125006616,2938
93,大碗公冰·甜品 (小北育德店),t96j,2,['甜點'],False,19.0,79.0,20.0,10.0,0.6847706417918251,1593
94,京享鐵板燒（北安店）,nw4v,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.8235700558600838,2019
95,叮哥茶飲 (台南和緯店),zh6d,2,['飲料'],False,19.0,79.0,15.0,5.0,0.7218387348124565,403
96,天天有魚虱目魚專賣店,vanq,2,['台式'],False,19.0,79.0,15.0,5.0,0.9663401468324085,1402
97,3鼎紅麻辣鴨血臭豆腐 (台南民德店),nr4d,2,"['小吃', '台式']",False,19.0,79.0,15.0,5.0,1.1414559962824005,330
98,紅鼻子豬腳 (台南公園店),glyf,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,1.936885515820553,764
99,魔王狂爆雞排 (台南開元店),a3bs,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.0755639096570215,6170
