,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S204 虎尾新興店),d6sz,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,5.240637503173381,17700
1,肯德基KFC炸雞漢堡店 (雲林虎尾店),b7nd,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,5.122776182020747,3343
2,摩斯漢堡Mos Burger (高鐵雲林店),z4t2,2,"['漢堡', '日式']",False,19.0,79.0,30.0,15.0,5.014583427564807,1095
3,巨林美而美 (西螺吳厝店),m1w2,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.276572043576446,157
4,A-bao阿寶早午餐 (虎尾博愛店),c2u5,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.6864508837570575,1538
5,麥味登 (虎尾台大店),hu8t,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.9554973054125804,85
6,吳家紅茶冰 (虎尾惠來店),eudg,1,['飲料'],False,19.0,79.0,40.0,15.0,3.3185799173074497,26
7,黑丸嫩仙草,s25q,2,['飲料'],False,19.0,79.0,40.0,15.0,2.4530054205318286,48
8,廣興便當,yw40,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,2.662578357896887,55
9,董茲董茲,sfhv,2,['小吃'],False,19.0,79.0,40.0,15.0,3.695572048290244,4
10,Woody | 伍迪,usms,3,"['漢堡', '歐美', '麵食']",False,19.0,79.0,40.0,15.0,4.6149594690891185,64
11,肯德基KFC炸雞漢堡店 (雲林虎尾店),b7nd,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,5.122776182020747,3343
12,摩斯漢堡Mos Burger (高鐵雲林店),z4t2,2,"['漢堡', '日式']",False,19.0,79.0,30.0,15.0,5.014583427564807,1095
13,巨林美而美 (西螺吳厝店),m1w2,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.276572043576446,157
14,A-bao阿寶早午餐 (虎尾博愛店),c2u5,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.6864508837570575,1538
15,麥味登 (虎尾台大店),hu8t,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.9554973054125804,85
16,吳家紅茶冰 (虎尾惠來店),eudg,1,['飲料'],False,19.0,79.0,40.0,15.0,3.3185799173074497,26
17,黑丸嫩仙草,s25q,2,['飲料'],False,19.0,79.0,40.0,15.0,2.4530054205318286,48
18,廣興便當,yw40,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,2.662578357896887,55
19,董茲董茲,sfhv,2,['小吃'],False,19.0,79.0,40.0,15.0,3.695572048290244,4
20,Woody | 伍迪,usms,3,"['漢堡', '歐美', '麵食']",False,19.0,79.0,40.0,15.0,4.6149594690891185,64
