,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南金華店),z7tm,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,1.9100393039439607,1977
1,胖老爹美式炸雞 (台南郡平店),jkk0,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.2755605584249166,773
2,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,20.0,5.0,1.3915763917915065,113
3,胖老爹美式炸雞 (台南府前店),z5va,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,10.0,3.096981229414385,3481
4,Burger King 漢堡王 (台南西門店),hfho,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.4351061182443297,458
5,滿茶montea (台南安平店),x3fy,1,['飲料'],False,19.0,79.0,25.0,5.0,3.400952920535555,629
6,hito喜多鐵板燒,dlwc,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.257202126709345,225
7,四海遊龍 (台南西門店),z9fg,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,2.5253837456766113,3488
8,京享鐵板燒（金華店）,f8jx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,10.0,3.0089285470528253,2467
9,柚豆 (台南府前店),f6fh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.099447038475217,3493
10,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,3.0517239128369598,19
11,洵鍋物。尋鍋物,s27d,2,"['火鍋', '台式']",False,19.0,79.0,40.0,25.0,2.8299260909084913,1
12,東大門韓國烤肉料理,lal1,2,"['韓式', '湯品']",False,19.0,79.0,30.0,15.0,2.808661947871829,282
13,一九九九茶水灘小吃店,v861,2,['中式'],False,19.0,79.0,25.0,5.0,3.068370646809832,65
14,靚咖哩,pk83,3,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,2.5955238275825505,182
