,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,京享鐵板燒（安中店）,b7wa,2,"['鐵板燒', '台式']",False,9.0,79.0,20.0,5.0,2.747995478593761,1819
1,惡魔沙威瑪 (台南海佃店),i044,1,['異國'],False,19.0,79.0,20.0,5.0,3.3768140777026106,41
2,享加美食土托魚羹,d0sv,2,"['麵食', '台式']",True,15.0,79.0,30.0,15.0,3.245321277011937,1017
3,加依軒 (台南安中一店),s8oe,2,"['港式', '餃子']",False,9.0,79.0,20.0,10.0,2.112415755412645,768
4,識好茶-文賢店,vqtc,1,['飲料'],False,19.0,79.0,25.0,5.0,4.266560672824586,101
5,惠比壽一町,d8wx,2,['日式'],True,19.0,79.0,20.0,10.0,2.9569752636495026,1121
6,九湯屋日式拉麵 (台南安中二代店),d5xj,2,"['麵食', '日式']",False,9.0,79.0,15.0,5.0,0.7755039533105504,1839
7,BOSS炸雞工坊 (台南本淵店),fyat,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,10.0,0.12562743905416884,758
8,金茶伍手作茶飲 (台南本原店),c5tj,2,['飲料'],False,9.0,79.0,15.0,5.0,0.3142079408852243,1455
9,開源社香雞排 (台南安中店),f1nd,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.2576590276329348,1016
10,老二鹽水雞 (台南本淵店),lp8j,2,['小吃'],False,19.0,79.0,15.0,5.0,0.24010883491041857,54
11,Pizza Hut必勝客 (台南安三外送店),kghl,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.6140889402590385,250
12,鮮茶道 (台南科工店),d3em,2,['飲料'],False,9.0,79.0,15.0,5.0,0.26521747891152453,1560
13,嘟賀燒烤,c5cd,2,['小吃'],False,9.0,79.0,20.0,10.0,0.6020461975420783,378
14,噢辣OHOT麻辣燙,i44i,2,['小吃'],False,9.0,79.0,15.0,5.0,0.3798819452493725,122
15,八方雲集 (台南台江店),zf2s,2,"['台式', '餃子']",False,9.0,79.0,20.0,10.0,1.2598459840138574,814
16,麥當勞 (S498 台南北安店),r8pp,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.0180868239350076,9911
17,佳鼎鴨肉庄,m5qj,2,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,0.25415841011441914,687
18,清原芋圓 (台南本原店),toer,2,['甜點'],False,9.0,79.0,15.0,10.0,0.6442252527075082,281
19,昌平炸雞王 (台南海佃店),e3ja,2,"['歐美', '炸雞']",False,9.0,79.0,20.0,10.0,0.6042995347492872,1032
20,伙鍋殿 (台南海佃店),hs3l,2,"['火鍋', '台式']",False,9.0,79.0,30.0,20.0,0.7770270363500027,285
21,芒蕃樂水果切盤,cr7t,1,['甜點'],False,9.0,79.0,15.0,5.0,0.21493986002411236,425
22,甲嘴王肉圓 (台南海佃店),o9zp,2,['小吃'],False,9.0,79.0,15.0,5.0,0.6227651957780159,617
23,21PLUS、21風味館 (台南北安門市),nwwi,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.01389474232748,265
24,魔力牛牛排 (台南安中店),znjy,2,"['台式', '牛排']",False,9.0,79.0,20.0,5.0,2.9853510941005665,1167
25,麻辣天后炒香鍋 (台南安中店),ri47,2,['台式'],False,9.0,79.0,20.0,5.0,2.1165946794835873,131
26,來碗拉麵 (台南安中店),d1qh,1,"['湯品', '麵食', '日式']",False,9.0,79.0,20.0,5.0,2.1693255347233213,2298
27,餓勢力手作熱壓吐司 (台南安南店),p9d9,2,"['歐美', '三明治 / 吐司']",False,9.0,79.0,20.0,10.0,1.8282499919777166,451
28,叔炸甜不辣媽 (台南安南店),gz1j,2,['小吃'],False,9.0,79.0,15.0,10.0,0.028071958082223965,104
29,自在軒 (台南同安店),b7hi,1,['台式'],False,19.0,79.0,20.0,10.0,1.9981193237879191,2283
30,棛守膳房,ihot,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.40431242547927027,55
31,小東門咖哩 (台南海佃店),o95j,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,2.9927670003040783,91
32,現泡茶冷飲店,yyjb,1,['飲料'],False,9.0,79.0,15.0,5.0,0.9615429645225776,173
33,鮮果汁,mhfu,2,['健康餐'],False,19.0,79.0,20.0,5.0,1.831116166203085,66
34,榮昌甘記 (台南安中店),d6sm,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.8005554080256094,1587
35,小方鱔魚花枝意麵,bee9,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,1.9344573283242743,60
36,生炒鱔魚 (台南海佃店),qjdw,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.11957290705711,168
37,沈媽媽平價美食小館,wqm3,2,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,1.5032763133083948,442
38,爭鮮迴轉壽司 (海佃店),v9mo,2,['日式'],False,15.0,79.0,20.0,5.0,3.1962124634739295,1478
39,拿坡里 (安南店8427),ckn4,3,"['披薩', '歐美', '炸雞']",False,9.0,79.0,25.0,10.0,2.573749895338976,1242
40,邵師傅上海湯包 (台南文賢店),f4at,2,"['中式', '湯品']",False,19.0,79.0,25.0,5.0,4.155202375648253,1274
41,郭家幫紅茶冰,k6ka,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,0.8479037922311774,675
42,麻古茶坊 (台南北安店),nr47,1,['飲料'],False,9.0,79.0,20.0,5.0,3.0262644340461704,904
43,福來鱔魚意麵 (台南海佃店),jiry,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.0057830368175282,504
44,大宅院鍋物,pkko,2,"['火鍋', '台式']",False,19.0,79.0,20.0,5.0,1.8205866953292598,104
45,洁夏光年,f101,1,['台式'],False,19.0,79.0,15.0,5.0,0.2307837908750797,23
46,吉豈亭私藏料理,vfqt,2,['中式'],False,19.0,79.0,20.0,10.0,2.546193989641352,55
47,胖老爹美式炸雞 (安南店),d4hj,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,2.966291625569829,1842
48,惡魔沙威瑪 (台南海佃店),i044,1,['異國'],False,19.0,79.0,20.0,5.0,3.3768140777026106,41
49,享加美食土托魚羹,d0sv,2,"['麵食', '台式']",True,15.0,79.0,30.0,15.0,3.245321277011937,1017
50,加依軒 (台南安中一店),s8oe,2,"['港式', '餃子']",False,9.0,79.0,20.0,10.0,2.112415755412645,768
