,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (雲林虎尾店),b8ns,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.58249071711919,2373
1,清心福全 (雲林虎尾中正店),a2pt,1,['飲料'],False,19.0,79.0,15.0,5.0,0.4236593281561668,1452
2,蔗一攤 (虎尾中正店),jwso,1,['飲料'],False,19.0,79.0,15.0,5.0,0.6022229086884998,21
3,清心福全 (虎尾仁愛店),b8jk,1,['飲料'],False,19.0,79.0,15.0,5.0,0.597741247395913,455
4,三國饌鴛鴦麻辣鍋 (雲林虎尾店),a1rb,3,"['中式', '火鍋']",True,19.0,79.0,25.0,15.0,0.40231538261135885,150
5,麥當勞 (S204 虎尾新興店),d6sz,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.6902396131235542,17700
6,五花馬水餃館 (雲林虎尾門市),cxrm,2,"['湯品', '台式', '餃子']",False,19.0,79.0,15.0,10.0,0.5221474112212798,699
7,味粥道 (雲林虎尾店),d6ua,1,"['粥', '台式']",False,19.0,79.0,15.0,5.0,0.5387993262544672,3187
8,肯德基KFC炸雞漢堡店 (雲林虎尾店),b7nd,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,0.743547488668906,3343
9,大埔鐵板燒 (雲林虎尾店),a5lf,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.7208108500282843,4263
10,2派克脆皮雞排 (雲林虎尾店),a2zz,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6159617105834644,3137
11,格寧貳貳,ye4x,2,['歐美'],False,19.0,79.0,20.0,15.0,0.41627492011415884,295
12,小草然早點 (雲林虎尾店),a4vs,1,"['早餐', '台式']",False,19.0,79.0,15.0,5.0,0.5835903385968628,3059
13,龍鹽酥雞 (雲林虎尾店),xlvf,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.26698851129642026,808
14,大塊先生美式炸雞 (雲林虎尾店),q4tx,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,10.0,0.5208182026512588,1594
15,釜山崔炸雞 (雲林虎尾店),n0z7,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,5.0,0.3872102086717268,165
16,天綠麻油雞,r6wq,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.4296925389235352,71
17,員湘園鴨肉飯 (雲林虎尾店),tmvv,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.48148469185639153,1414
18,狀元廣東粥 (雲林虎尾店),qtrl,1,"['中式', '麵食', '粥']",False,19.0,79.0,15.0,5.0,0.6145607745634265,101
19,初八拉麵 (雲林虎尾店),a4ja,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.0412294589964566,1562
20,台灣第一家鹽酥雞 (雲林虎尾店),xie4,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6345419435695469,171
21,食神滷味 (雲林虎尾店),e8hi,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6859774428185037,1419
22,阿秋藥燉排骨,mxnm,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,1.324659465860716,63
23,成功牛排 (雲林虎尾店),nkcc,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.40414494752442154,108
24,鹿島和居,a4xh,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.7686341959106898,620
25,濃喵芋圓冰品,q4zr,1,['甜點'],False,19.0,79.0,15.0,10.0,0.7033845582734163,945
26,巧之脆中美式炸雞 (雲林虎尾店),f9p1,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,10.0,0.4369103976232345,90
