,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,黑丸嫩仙草 (雲林西螺店),p5oo,1,['甜點'],False,19.0,79.0,25.0,5.0,4.490318961962744,971
1,弘爺漢堡 (雲林老大媽店),p2bb,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.644916374804313,792
2,拉亞漢堡 (西螺光復店),o6fk,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,4.761784730520104,1399
3,吳家紅茶冰 (西螺中山店),l5vd,1,['飲料'],False,19.0,79.0,40.0,15.0,3.396185591340902,115
4,甲一飯包 (雲林西螺店),u6jf,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.170561490047677,1134
5,傳家炒飯,nft0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.561418585301487,443
6,五花馬水餃館 (雲林西螺店),o3dx,2,"['湯品', '台式', '餃子']",False,19.0,79.0,40.0,15.0,4.746089214403313,928
7,弘爺漢堡 (雲林老大媽店),p2bb,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.644916374804313,792
8,拉亞漢堡 (西螺光復店),o6fk,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,4.761784730520104,1399
9,吳家紅茶冰 (西螺中山店),l5vd,1,['飲料'],False,19.0,79.0,40.0,15.0,3.396185591340902,115
10,甲一飯包 (雲林西螺店),u6jf,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,3.170561490047677,1134
11,傳家炒飯,nft0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.561418585301487,443
12,五花馬水餃館 (雲林西螺店),o3dx,2,"['湯品', '台式', '餃子']",False,19.0,79.0,40.0,15.0,4.746089214403313,928
