,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S339 北港華勝店),o2vt,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,2.1970986782733073,4282
1,東記永和豆漿,g2pw,1,['小吃'],False,19.0,79.0,25.0,10.0,2.4107942316039614,1887
2,北港雞車,l0my,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.4250956201358624,1531
3,肯德基KFC炸雞漢堡店 (雲林北港店),mquu,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,25.0,5.0,2.3183250045137136,331
4,大碗炒飯麵專賣店,tt4s,2,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,2.4187732999030054,525
5,造里居酒屋,lect,2,['日式'],False,19.0,79.0,35.0,15.0,2.2721388656547736,72
6,鱻味小館,ygic,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,5.0,2.1274552671662463,31
7,Tea's原味 (北港文化店),q2ef,1,['飲料'],False,19.0,79.0,25.0,5.0,2.2176761680072548,563
8,圓環牛排,l4gx,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,2.148607921306139,494
9,紅茶洋行 (雲林北港店),u9ht,1,['飲料'],False,19.0,79.0,25.0,5.0,2.2836318460288765,503
10,好食家廚料理,n4hc,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,2.2834358795182546,689
11,六扇門 (北港大同店),fujq,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,2.3773240173324792,445
12,金元寶蔥抓餅,r6wx,1,['小吃'],False,19.0,79.0,30.0,10.0,2.6017618935455546,71
13,吃烤串燒烤,ik3r,2,['小吃'],False,19.0,79.0,35.0,15.0,2.2439928839391885,2
14,STARBUCKS 星巴克 (北港門市),lgmu,2,"['歐美', '飲料']",False,19.0,79.0,25.0,5.0,2.304973603202001,731
15,清心福全 (北港大同店),fb39,1,['飲料'],False,19.0,79.0,25.0,5.0,2.331557971102959,246
16,便便屋手調茶飲,gf1u,1,['飲料'],False,19.0,79.0,25.0,5.0,2.447546608104043,446
17,甘乃滴冷泡飲 (雲林北港總店),p9tc,2,['飲料'],False,19.0,79.0,40.0,15.0,2.2516642171620687,220
18,那一家,s1zj,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.4365796273087423,1684
19,早安美芝城 (北港活力大同店),b34r,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.2640864943423695,302
20,弘爺漢堡 (雲林北港店),ci7d,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.2642681518493286,125
21,蕃茄村 (北港民享店),ek8f,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.690832964737527,66
22,晨間廚房 (北港華勝店),m0zc,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.9218011648993163,78
