,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S157 斗六民生店),d2bv,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,6.98742047835471,13032
1,烏龍苑-讚岐烏龍麵館 (斗六中南店),ncz3,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.525461883117274,68
2,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,8.214806546419112,5177
3,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,7.055897554750354,5583
4,美人煲湯(創意粉條料理) 斗六中南店,v0np,2,"['中式', '湯品']",False,19.0,79.0,25.0,15.0,3.525376084012164,0
5,弘爺漢堡 (斗六大同店),f7md,2,"['早餐', '漢堡', '台式']",False,19.0,79.0,40.0,15.0,6.750842342175139,794
6,烏龍苑-讚岐烏龍麵館 (斗六中南店),ncz3,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.525461883117274,68
7,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,8.214806546419112,5177
8,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,7.055897554750354,5583
9,美人煲湯(創意粉條料理) 斗六中南店,v0np,2,"['中式', '湯品']",False,19.0,79.0,25.0,15.0,3.525376084012164,0
10,弘爺漢堡 (斗六大同店),f7md,2,"['早餐', '漢堡', '台式']",False,19.0,79.0,40.0,15.0,6.750842342175139,794
