,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南金華店),z7tm,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.126505253274358,1977
1,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,20.0,5.0,2.761012111997296,113
2,清心福全 (台南金華總店),cm7v,1,['飲料'],False,19.0,79.0,20.0,5.0,2.644814598602844,48
3,麥當勞 (S305 台南金華店),z9xm,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.6237852172871254,7164
4,喆發樂樂鍋 (台南金華店),b3wm,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.026045934694195,2241
5,大上海香酥雞/飲料(鹽埕北極殿),edq3,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.095133521280406,147
6,丸勝蛋包飯牛肉拉麵店,u446,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.7328027679125575,598
7,樂花田鍋燒麵,t9jw,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,2.0318170728241323,570
8,21PLUS、21風味館 (台南健康門市),evcm,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.0874114275627798,350
9,二姐的鴨肉飯,z0sn,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,2.088766419220692,1332
10,牛丁次郎坊 (台南新都店),lt9x,2,['日式'],False,19.0,79.0,20.0,5.0,2.421925478055317,580
11,Pizza Hut必勝客 (台南金華店),z5pi,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.7381947223328424,1911
12,三媽臭臭鍋 (台南大成店),b1ut,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.915955000168492,2499
13,金茶伍手作茶飲 (台南新孝店),i4ks,2,['飲料'],False,19.0,79.0,20.0,5.0,2.794846942454031,839
14,双十八木 (台南新興門市),daj1,1,['飲料'],False,19.0,79.0,20.0,5.0,2.353289392067147,404
15,百年鍋燒 (台南文南店),z9pm,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,3.61644077701569,2123
16,五桐號 WooTea (台南金華店),pu1k,2,['飲料'],False,19.0,79.0,20.0,5.0,3.003249893400539,29
17,阿珍羊肉,i2rx,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,2.6007301259239717,1306
18,中瀛飯食燒烤,b0mi,2,['小吃'],False,19.0,79.0,25.0,10.0,2.6634236488098586,1722
19,魁記麻辣燙,a5nw,2,['台式'],False,19.0,79.0,20.0,5.0,2.2348167530458705,974
20,大苑子 (台南金華店),z3sa,2,['飲料'],False,19.0,79.0,20.0,5.0,3.0937925763195913,1384
21,可不可熟成紅茶 (台南新興店),xytu,1,['飲料'],False,19.0,79.0,20.0,5.0,2.6997384618527547,574
22,八方雲集 (台南文南店),d3og,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,3.2893432312783744,827
23,清原芋圓 (台南金華店),p8wr,2,['甜點'],False,19.0,79.0,25.0,10.0,3.149671763241108,1334
24,孫家牛肉麵館,d8an,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.552706040600314,725
25,麻古茶坊 (台南金華店),n5gr,2,['飲料'],False,19.0,79.0,25.0,5.0,3.163827694700271,120
26,三商巧福 (4413南特店),j5yq,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,3.475273916475484,1269
27,雞仔店鹹水雞 (台南金華總店),s1ns,2,['小吃'],False,19.0,79.0,20.0,5.0,2.713131555438091,505
28,Wow waffles 美味鬆餅の專門店,z8tw,1,['甜點'],False,19.0,79.0,25.0,10.0,2.6544567678254847,1162
29,億品鍋 (台南中華南店),io7h,2,"['火鍋', '台式']",False,19.0,79.0,25.0,10.0,2.3284651402023355,56
30,孫東寶 (台南金華店),gkw6,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,2.6061173886164997,331
31,老二鹽水雞 (台南新興店),s90u,2,['小吃'],False,19.0,79.0,20.0,5.0,2.649545392917766,6
32,六扇門 (台南金華店),e3nz,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,2.6237852172871254,941
