,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,小上海香酥雞 (岡山前鋒店),mh21,1,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.6910565651611289,456
1,老賴茶棧 (高雄岡山店),jgzt,2,['飲料'],False,15.0,79.0,20.0,5.0,0.8759278023039095,224
2,康青龍 (岡山民有店),b1hy,2,['飲料'],False,15.0,79.0,20.0,5.0,0.895095402975641,1792
3,回憶小時候 (岡山嘉新店),fuhm,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1399449261679526,71
4,軍茶 (岡山岡燕店),f34q,2,['飲料'],False,15.0,79.0,20.0,5.0,1.4987173744511713,155
5,麥當勞 (S481 岡山壽天店),r8z3,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.5036163151828467,4475
6,宵YA點心,moe1,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,0.3136803976667732,1378
7,肯德基KFC炸雞漢堡店 (高雄岡山店),b9ku,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,0.6463593192972975,4556
8,漁市場黑輪,t5dg,2,"['湯品', '小吃']",False,15.0,79.0,20.0,5.0,0.25782893642332205,1260
9,三商巧福 (4410岡山店),h3yi,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.5098340935087374,2302
10,3Q脆皮雞排 (高雄後紅店),a7hf,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.1149832318921413,5919
11,八方雲集 (岡山維仁店),d9bn,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,0.5394147807684069,1989
12,大埔鐵板燒 (高雄岡山店),a5ry,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.6724572573089822,2116
13,馬祖瘋炸雞 (岡山大仁店),bo07,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.1088779777577078,1786
14,萬波島嶼紅茶 (高雄岡山店),p2iz,2,['飲料'],False,15.0,79.0,20.0,5.0,0.42412353773977896,2216
15,搖滾鮮奶茶 (岡山平和店),enak,2,['飲料'],False,15.0,79.0,20.0,5.0,0.400529837573321,478
16,可不可熟成紅茶 (岡山維仁店),eoxs,1,['飲料'],False,15.0,79.0,20.0,5.0,0.5569117278658892,1344
17,傳香鹹酥雞,f3zx,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.7986397220263173,1647
18,爭鮮迴轉壽司 (岡山店),r1bm,2,['日式'],False,15.0,79.0,20.0,5.0,0.48942734378610503,1439
19,豆坊 (岡山店),a6qg,2,['甜點'],False,15.0,79.0,20.0,5.0,0.652480108814649,1810
20,在地人鹽水雞 (岡山平和店),cmzc,2,['小吃'],False,15.0,79.0,20.0,10.0,0.4792460189973663,124
21,巧味鹹酥雞大王 (高雄岡山店),ftvg,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.5453199285384004,75
22,野村日式燒肉 (岡山店),qvw9,2,['日式'],False,15.0,79.0,20.0,5.0,0.8648529745234647,219
23,赤麵廠 (高雄岡山店),d0ul,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,0.5439054805955416,1125
24,搶鍋王 (岡山公園東店),asys,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,0.1980081899298369,793
25,御榀軒 (高雄岡山店),mfyc,2,['日式'],False,15.0,79.0,25.0,10.0,1.0417032652583937,81
26,三鮮蒸餃 (高雄岡山店),chzp,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,10.0,0.4332215002519226,30
27,阿帕碳烤吐司 (高雄岡山店),qc3d,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,20.0,10.0,0.6023498679585194,632
28,龜記茗品 (岡山維仁店),i81k,2,['飲料'],False,15.0,79.0,20.0,5.0,0.5547088440527541,127
29,極品鹽水雞,b4cq,2,['小吃'],False,15.0,79.0,20.0,5.0,0.6145899821229001,2006
30,麻古茶坊 (岡山大仁北店),czos,2,['飲料'],False,15.0,79.0,20.0,5.0,0.9677768203170523,816
31,李家肉粽 (高雄岡山店),bue6,2,"['湯品', '小吃']",False,15.0,79.0,20.0,5.0,0.28528402519295987,151
32,李桑香菇肉燥飯 (高雄岡山店),b5ag,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,0.494439395246999,938
33,拿坡里 (岡山店8410),wlky,3,"['披薩', '歐美', '炸雞']",False,15.0,79.0,25.0,10.0,0.5291547151311529,1095
34,Pizza Hut必勝客 (高雄岡山店),b1zb,2,"['披薩', '歐美']",False,15.0,79.0,20.0,5.0,0.8635906782658235,3146
35,手作功夫茶 (岡山壽天店),b2se,2,['飲料'],False,15.0,79.0,20.0,5.0,0.4366389452829833,2146
36,京典鮮魚湯,m0nr,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.1575303502154719,1249
37,珍煮丹 (高雄岡山店),u4tf,2,['飲料'],False,15.0,79.0,20.0,5.0,0.8480781991173421,982
38,大苑子 (高雄岡山站前店),a8io,2,['飲料'],False,15.0,79.0,20.0,5.0,0.9361373677769349,2052
39,小鍋爸涮涮鍋,d1fm,2,"['火鍋', '日式']",False,15.0,79.0,20.0,10.0,0.1993108644600336,1219
40,冬暖夏涼·冷暖飲,t2fw,1,['甜點'],False,15.0,79.0,20.0,5.0,0.15617857834641546,416
41,茗茶園 (高雄維仁店),b7ad,1,['飲料'],False,15.0,79.0,20.0,5.0,0.5579105727312772,635
42,迷客夏 Milksha (岡山仁壽店),r1qm,1,['飲料'],False,15.0,79.0,20.0,5.0,0.7465769734603779,28
43,布嚕布嚕可麗餅 (高雄岡山店),x2hi,1,['甜點'],False,15.0,79.0,20.0,5.0,0.5745069156865432,377
44,大饌章魚燒 (岡山壽天店),c2wh,1,['日式'],False,15.0,79.0,20.0,10.0,0.07695942103703632,677
