,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,邱記平價碳烤 (屏東民族夜市店),vm3v,2,['小吃'],False,9.0,79.0,10.0,5.0,0.7946198555490267,38
1,胖老爹美式炸雞 (屏東民生店),b2gq,2,"['歐美', '炸雞']",False,9.0,79.0,20.0,15.0,1.170343394626617,2327
2,Pizza Hut必勝客 (屏東外送店),b4kg,2,"['披薩', '歐美']",False,9.0,79.0,15.0,10.0,0.5484205803937926,3426
3,21金臭臭鍋小火鍋 (屏東廣東店),a5lk,2,"['火鍋', '台式']",False,9.0,79.0,25.0,15.0,1.4382257502344173,4814
4,回憶小時候紅茶冰 (屏東武成店),ypli,1,['飲料'],False,9.0,79.0,15.0,5.0,2.8756530932364206,28
5,鮮茶道 (屏東大武店),b5gw,2,['飲料'],True,9.0,79.0,15.0,5.0,2.6509653837334666,1713
6,軍茶  (屏東廣東店),ltuk,2,['飲料'],False,9.0,79.0,15.0,5.0,2.8362211517468654,165
7,回憶小時候 (屏東民族店),imlc,1,['飲料'],False,9.0,79.0,15.0,5.0,1.1285083345923024,403
8,珍煮丹 (屏東中正店),z15h,2,['飲料'],False,9.0,79.0,15.0,5.0,1.2093188945287068,1834
9,鶴茶樓 (屏東廣東店),gtue,2,['飲料'],False,9.0,79.0,15.0,5.0,1.5577066792996757,167
10,御品一番炸,b9sb,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,10.0,0.44747011441251344,2541
11,和堂丼飯專賣店,m2dq,2,"['咖哩', '日式']",True,9.0,79.0,10.0,5.0,0.9303504845485284,1067
12,阿狗切仔攤,f2yi,2,['台式'],False,9.0,79.0,15.0,5.0,0.8866334300373189,1506
13,皇家馬德里,jvju,2,"['便當', '歐美']",False,9.0,79.0,35.0,25.0,1.1271716428371519,374
14,進來涼冰菓室,k4mr,1,['甜點'],False,9.0,79.0,10.0,5.0,0.7931447081128762,834
