,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,蒸小點料理館,k3fc,2,"['湯品', '麵食', '粥', '台式']",False,9.0,79.0,20.0,5.0,2.7038699153573518,1487
1,鼎昌號 (屏東萬丹店),p1pv,2,['甜點'],False,9.0,79.0,20.0,5.0,2.905626444542354,2155
2,反轉厚奶酥 (屏東萬丹店),oz80,2,['甜點'],False,9.0,79.0,25.0,15.0,2.9148796027094583,665
3,食光歲月,z6jd,2,"['早餐', '台式']",False,9.0,79.0,20.0,5.0,2.8339485191872895,3286
4,三分春色 (屏東萬丹店),zg0e,2,['飲料'],False,9.0,79.0,20.0,5.0,3.139010710502959,349
5,鮮茶道 (屏東萬丹店),v6ue,2,['飲料'],False,9.0,79.0,20.0,5.0,3.240022424011926,1431
6,小麟牛排 (屏東萬丹店),ij5v,2,"['台式', '牛排']",False,9.0,79.0,20.0,5.0,3.206918447282879,238
7,可不可熟成紅茶 (屏東萬丹店),mzg2,1,['飲料'],False,9.0,79.0,20.0,5.0,2.9479464435613267,470
8,胖老爹美式炸雞 (屏東萬丹店),v2rr,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,2.875359151299643,1115
9,台灣牛 (屏東萬丹店),u1tg,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.1309432779891178,324
10,吉利臭臭鍋,q0vu,2,"['火鍋', '台式']",False,9.0,79.0,40.0,20.0,3.4498811036195542,1143
11,雙獅鴨霸東山鴨頭 (屏東萬丹店),uhym,2,['小吃'],False,9.0,79.0,25.0,10.0,3.3040899515490554,270
12,象網廚房,bgpq,2,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,3.573699015903591,183
13,老先覺麻辣窯燒鍋 (屏東萬丹店),p3jg,2,"['火鍋', '台式']",False,9.0,79.0,35.0,20.0,2.8641133188252654,655
14,雞隊友鹹酥雞,rssu,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,4.32205182235888,226
15,米米炸雞 (屏東新園店),pz9q,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.887511877530523,11
16,85度C (屏東萬丹店),pv9v,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,20.0,5.0,3.2578290195728155,152
17,水巷茶弄 (屏東新園店),bzwy,1,['飲料'],True,9.0,79.0,20.0,5.0,3.2148836530454172,136
18,甘蔗の媽媽 (屏東萬丹店),q5ep,2,['飲料'],False,9.0,79.0,20.0,5.0,3.212521902215742,341
19,大地甘草芭樂 (屏東萬丹店),s1w5,1,['甜點'],False,9.0,79.0,20.0,5.0,3.0197864280521216,8
20,558花草茶普洱茶,n4vp,2,['飲料'],False,9.0,79.0,20.0,5.0,2.884402256394713,132
21,達美樂 (潮州店),s8zu,3,"['披薩', '歐美']",False,30.0,199.0,45.0,25.0,6.1459048328287675,547
22,軍茶 (屏東萬丹店),ev3w,2,['飲料'],False,9.0,79.0,20.0,5.0,3.1743029699530605,66
23,全紅紅茶 (屏東萬丹店),guae,1,['飲料'],False,9.0,79.0,20.0,5.0,3.1951186029315957,88
24,松本鮮奶茶 (屏東萬丹店),cd3c,1,['飲料'],False,9.0,79.0,20.0,5.0,3.2578419171898134,589
25,蕃茄村 (屏東萬隆店),gktq,2,['台式'],False,9.0,79.0,40.0,15.0,3.3125533454538045,683
26,萬丹晨光廚房,m5bm,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.249438369492325,1673
27,呷尚寶 (萬丹成功店),eflb,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.6132611523211247,150
28,阿信美食,u1os,1,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.038870815455088,685
29,早安美芝城 (萬丹活力萬壽店),koek,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.8672705940271017,481
30,吳家紅茶冰 (屏東萬丹店),g5nr,1,['飲料'],False,9.0,79.0,40.0,15.0,3.0303439740159255,739
31,吳家大腸麵線鍋燒意麵,exik,1,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.1566530960169024,55
32,Soul Juice 靈魂果汁,bdsz,1,['飲料'],False,9.0,79.0,40.0,15.0,2.7932741304773274,129
33,水泉鮪魚飯湯,h1dv,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,1.8254563006109361,257
34,福氣佳土魠魚羹,j1aa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.72218697380255,1160
35,八方雲集 (屏東萬丹店),swa2,2,"['台式', '餃子']",True,9.0,79.0,40.0,15.0,3.3111937805555045,1178
36,味屬吾麵飯食館,m4lz,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,0.45735732966350284,350
37,賴闆老娘私廚美味,tj0y,2,['台式'],False,9.0,79.0,40.0,15.0,3.2755825808359043,50
38,萬丹臭臭鍋,iw82,2,"['麵食', '火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.837802330221572,2
39,迪拉姆咖啡、飲品輕食,tc38,2,"['甜點', '咖啡']",False,9.0,79.0,40.0,15.0,3.441197456397208,13
40,元藝坊鐵板燒,wnwn,2,"['鐵板燒', '台式']",False,9.0,79.0,40.0,15.0,2.862365966142042,567
41,日式福井丼飯,u8oj,2,"['咖哩', '日式']",False,9.0,79.0,40.0,15.0,3.122910016404539,1071
42,NU PASTA (屏東萬丹店),tl0i,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,3.0660437165226875,596
43,藏寶丼 (屏東萬丹店),btzx,2,['日式'],False,9.0,79.0,40.0,15.0,3.1494212826626584,186
44,香榭小廚(法式焗烤),x948,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,3.2577502088605637,74
45,小櫥子火鍋,k3yc,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.8955248565861815,379
46,潮州牛肉牛雜,i9ek,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.474217133088024,269
47,好食臭臭鍋 (屏東萬丹店),fuxj,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.6177125457309582,274
48,鼎昌號 (屏東萬丹店),p1pv,2,['甜點'],False,9.0,79.0,20.0,5.0,2.905626444542354,2155
49,反轉厚奶酥 (屏東萬丹店),oz80,2,['甜點'],False,9.0,79.0,25.0,15.0,2.9148796027094583,665
50,食光歲月,z6jd,2,"['早餐', '台式']",False,9.0,79.0,20.0,5.0,2.8339485191872895,3286
51,三分春色 (屏東萬丹店),zg0e,2,['飲料'],False,9.0,79.0,20.0,5.0,3.139010710502959,349
52,鮮茶道 (屏東萬丹店),v6ue,2,['飲料'],False,9.0,79.0,20.0,5.0,3.240022424011926,1431
53,小麟牛排 (屏東萬丹店),ij5v,2,"['台式', '牛排']",False,9.0,79.0,20.0,5.0,3.206918447282879,238
54,可不可熟成紅茶 (屏東萬丹店),mzg2,1,['飲料'],False,9.0,79.0,20.0,5.0,2.9479464435613267,470
55,胖老爹美式炸雞 (屏東萬丹店),v2rr,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,2.875359151299643,1115
56,台灣牛 (屏東萬丹店),u1tg,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.1309432779891178,324
57,吉利臭臭鍋,q0vu,2,"['火鍋', '台式']",False,9.0,79.0,40.0,20.0,3.4498811036195542,1143
58,雙獅鴨霸東山鴨頭 (屏東萬丹店),uhym,2,['小吃'],False,9.0,79.0,25.0,10.0,3.3040899515490554,270
59,象網廚房,bgpq,2,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,3.573699015903591,183
60,老先覺麻辣窯燒鍋 (屏東萬丹店),p3jg,2,"['火鍋', '台式']",False,9.0,79.0,35.0,20.0,2.8641133188252654,655
61,雞隊友鹹酥雞,rssu,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,4.32205182235888,226
62,米米炸雞 (屏東新園店),pz9q,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,2.887511877530523,11
63,85度C (屏東萬丹店),pv9v,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,20.0,5.0,3.2578290195728155,152
64,水巷茶弄 (屏東新園店),bzwy,1,['飲料'],True,9.0,79.0,20.0,5.0,3.2148836530454172,136
65,甘蔗の媽媽 (屏東萬丹店),q5ep,2,['飲料'],False,9.0,79.0,20.0,5.0,3.212521902215742,341
66,大地甘草芭樂 (屏東萬丹店),s1w5,1,['甜點'],False,9.0,79.0,20.0,5.0,3.0197864280521216,8
67,558花草茶普洱茶,n4vp,2,['飲料'],False,9.0,79.0,20.0,5.0,2.884402256394713,132
68,達美樂 (潮州店),s8zu,3,"['披薩', '歐美']",False,30.0,199.0,45.0,25.0,6.1459048328287675,547
69,軍茶 (屏東萬丹店),ev3w,2,['飲料'],False,9.0,79.0,20.0,5.0,3.1743029699530605,66
70,全紅紅茶 (屏東萬丹店),guae,1,['飲料'],False,9.0,79.0,20.0,5.0,3.1951186029315957,88
71,松本鮮奶茶 (屏東萬丹店),cd3c,1,['飲料'],False,9.0,79.0,20.0,5.0,3.2578419171898134,589
72,蕃茄村 (屏東萬隆店),gktq,2,['台式'],False,9.0,79.0,40.0,15.0,3.3125533454538045,683
73,萬丹晨光廚房,m5bm,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.249438369492325,1673
74,呷尚寶 (萬丹成功店),eflb,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.6132611523211247,150
75,阿信美食,u1os,1,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.038870815455088,685
76,早安美芝城 (萬丹活力萬壽店),koek,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.8672705940271017,481
77,吳家紅茶冰 (屏東萬丹店),g5nr,1,['飲料'],False,9.0,79.0,40.0,15.0,3.0303439740159255,739
78,吳家大腸麵線鍋燒意麵,exik,1,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.1566530960169024,55
79,Soul Juice 靈魂果汁,bdsz,1,['飲料'],False,9.0,79.0,40.0,15.0,2.7932741304773274,129
80,水泉鮪魚飯湯,h1dv,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,1.8254563006109361,257
81,福氣佳土魠魚羹,j1aa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.72218697380255,1160
82,八方雲集 (屏東萬丹店),swa2,2,"['台式', '餃子']",True,9.0,79.0,40.0,15.0,3.3111937805555045,1178
83,味屬吾麵飯食館,m4lz,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,0.45735732966350284,350
84,賴闆老娘私廚美味,tj0y,2,['台式'],False,9.0,79.0,40.0,15.0,3.2755825808359043,50
85,萬丹臭臭鍋,iw82,2,"['麵食', '火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.837802330221572,2
86,迪拉姆咖啡、飲品輕食,tc38,2,"['甜點', '咖啡']",False,9.0,79.0,40.0,15.0,3.441197456397208,13
87,元藝坊鐵板燒,wnwn,2,"['鐵板燒', '台式']",False,9.0,79.0,40.0,15.0,2.862365966142042,567
88,日式福井丼飯,u8oj,2,"['咖哩', '日式']",False,9.0,79.0,40.0,15.0,3.122910016404539,1071
89,NU PASTA (屏東萬丹店),tl0i,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,3.0660437165226875,596
90,藏寶丼 (屏東萬丹店),btzx,2,['日式'],False,9.0,79.0,40.0,15.0,3.1494212826626584,186
91,香榭小廚(法式焗烤),x948,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,3.2577502088605637,74
92,小櫥子火鍋,k3yc,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,2.8955248565861815,379
93,潮州牛肉牛雜,i9ek,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.474217133088024,269
94,好食臭臭鍋 (屏東萬丹店),fuxj,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.6177125457309582,274
95,咕咕雞炸雞 (屏東萬丹店),h7ho,2,"['歐美', '炸雞']",False,9.0,79.0,40.0,15.0,2.870239347234784,215
96,火匠複合式餐飲,v6aj,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.1708156802586394,874
97,阿基伯六十年冰店,c4wh,1,['甜點'],False,9.0,79.0,40.0,15.0,2.8748887795550235,425
98,柑仔鍋燒麵,cxup,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.946469569630717,120
99,饗食創意鍋燒,mmi3,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.618031808532125,5
100,牛肉瑞,iwdj,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.72732430308366,221
101,逗陣熱炒,p1jq,3,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.8727844580934865,344
102,吾皇冰沙飲品店,pje2,1,['飲料'],False,9.0,79.0,40.0,15.0,3.1612264562880856,37
103,昌平炸雞王 (屏東萬丹店),x8sv,2,"['歐美', '炸雞']",False,9.0,79.0,40.0,15.0,3.0319661604457466,1097
104,萬丹香炸雞,vojl,1,"['小吃', '炸雞']",False,9.0,79.0,40.0,15.0,3.1482096079694997,136
105,豆廚子紅豆餅,v2ox,2,['甜點'],False,9.0,79.0,40.0,15.0,2.215434661574919,24
106,廟口勝鹽水雞 (屏東萬丹店),k3yv,2,['小吃'],False,9.0,79.0,40.0,15.0,3.2603480287409603,351
107,萬丹滷夫滷味,p5da,2,['小吃'],False,9.0,79.0,40.0,15.0,2.8888709902203087,698
108,一等好滷味,j8zn,2,['小吃'],False,9.0,79.0,40.0,15.0,3.080999542628086,491
109,夜貓食堂,fg67,1,"['麵食', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.232862556433829,0
