,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鼎昌號 (屏東萬丹店),p1pv,2,['甜點'],False,9.0,79.0,20.0,5.0,3.7114630613373056,2155
1,蒸小點料理館,k3fc,2,"['湯品', '麵食', '粥', '台式']",False,9.0,79.0,25.0,5.0,3.5069679236143108,1487
2,反轉厚奶酥 (屏東萬丹店),oz80,2,['甜點'],False,9.0,79.0,30.0,15.0,3.7638310356753464,665
3,三分春色 (屏東萬丹店),zg0e,2,['飲料'],False,9.0,79.0,20.0,5.0,3.766724828925701,349
4,食光歲月,z6jd,2,"['早餐', '台式']",False,9.0,79.0,25.0,5.0,3.611737344405939,3286
5,鮮茶道 (屏東萬丹店),v6ue,2,['飲料'],False,9.0,79.0,25.0,5.0,3.7986889665036347,1431
6,雞隊友鹹酥雞,rssu,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,3.2694498106124463,226
7,胖老爹美式炸雞 (屏東萬丹店),v2rr,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,3.513800975937124,1115
8,可不可熟成紅茶 (屏東萬丹店),mzg2,1,['飲料'],False,9.0,79.0,20.0,5.0,3.689379174566333,470
9,台灣牛 (屏東萬丹店),u1tg,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.616444564347818,324
10,小麟牛排 (屏東萬丹店),ij5v,2,"['台式', '牛排']",False,9.0,79.0,25.0,5.0,3.7920379324475864,238
11,吉利臭臭鍋,q0vu,2,"['火鍋', '台式']",False,9.0,79.0,40.0,20.0,3.967037312677542,1143
12,雙獅鴨霸東山鴨頭 (屏東萬丹店),uhym,2,['小吃'],False,9.0,79.0,25.0,10.0,3.836624527244622,270
13,老先覺麻辣窯燒鍋 (屏東萬丹店),p3jg,2,"['火鍋', '台式']",False,9.0,79.0,35.0,20.0,3.5405146789369684,655
14,米米炸雞 (屏東新園店),pz9q,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,3.0466155063566305,11
15,象網廚房,bgpq,2,"['麵食', '台式']",False,9.0,79.0,35.0,15.0,4.07693888799344,183
16,水巷茶弄 (屏東新園店),bzwy,1,['飲料'],True,9.0,79.0,20.0,5.0,3.4057527576855327,136
17,佳玲鍋燒麵,m2dh,2,"['麵食', '台式']",False,9.0,79.0,35.0,15.0,5.154452877787558,624
18,85度C (屏東萬丹店),pv9v,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,25.0,5.0,3.8052177258929656,152
19,來來鹹酥雞,r4yk,2,"['小吃', '炸雞']",False,9.0,79.0,30.0,10.0,5.133713143483372,618
20,558花草茶普洱茶,n4vp,2,['飲料'],False,9.0,79.0,25.0,5.0,3.5905878284485926,132
21,金柱視聽歌唱,wmmf,2,"['便當', '台式']",False,9.0,79.0,30.0,5.0,5.74382483692572,243
22,萬丹臭臭鍋,iw82,2,"['麵食', '火鍋', '台式']",False,9.0,79.0,30.0,15.0,3.657461484015418,2
23,軍茶 (屏東萬丹店),ev3w,2,['飲料'],False,9.0,79.0,20.0,5.0,3.7718676385182683,66
24,全紅紅茶 (屏東萬丹店),guae,1,['飲料'],False,9.0,79.0,25.0,5.0,3.7904808387148616,88
25,松本鮮奶茶 (屏東萬丹店),cd3c,1,['飲料'],False,9.0,79.0,25.0,5.0,3.802730215474374,589
26,Apple203早午餐 (萬丹社皮店),n7fj,2,"['早餐', '台式']",True,9.0,79.0,40.0,15.0,5.213189687294448,870
27,蕃茄村 (屏東萬隆店),gktq,2,['台式'],False,9.0,79.0,40.0,15.0,3.835634611104357,683
28,萬丹晨光廚房,m5bm,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.3362757636083646,1673
29,呷尚寶 (萬丹成功店),eflb,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.137079904079413,150
30,阿信美食,u1os,1,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.7025265549299946,685
31,早安美芝城 (萬丹活力萬壽店),koek,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.5489008324905935,481
32,吳家紅茶冰 (屏東萬丹店),g5nr,1,['飲料'],False,9.0,79.0,40.0,15.0,3.7467601639264183,739
33,甘蔗の媽媽 (屏東社皮店),pfdr,1,['飲料'],False,9.0,79.0,40.0,15.0,5.1948610865091736,73
34,吳家大腸麵線鍋燒意麵,exik,1,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.9265695169499235,55
35,Soul Juice 靈魂果汁,bdsz,1,['飲料'],False,9.0,79.0,40.0,15.0,3.5716461617273243,129
36,古早味小食堂,g45q,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,5.158889272550701,542
37,水泉鮪魚飯湯,h1dv,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,3.017550738053946,257
38,福氣佳土魠魚羹,j1aa,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,3.5065388842743896,1160
39,錦記溫州大餛飩麵食館,r6fw,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,5.1272394067638105,858
40,八方雲集 (屏東萬丹店),swa2,2,"['台式', '餃子']",True,9.0,79.0,40.0,15.0,3.845406819911717,1178
41,賴闆老娘私廚美味,tj0y,2,['台式'],False,9.0,79.0,40.0,15.0,4.79968837338257,50
42,元藝坊鐵板燒,wnwn,2,"['鐵板燒', '台式']",False,9.0,79.0,40.0,15.0,3.5200696471108377,567
43,日式福井丼飯,u8oj,2,"['咖哩', '日式']",False,9.0,79.0,40.0,15.0,3.8806887156080028,1071
44,味屬吾麵飯食館,m4lz,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,2.854742227322668,350
45,NU PASTA (屏東萬丹店),tl0i,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,3.7326880489889525,596
46,藏寶丼 (屏東萬丹店),btzx,2,['日式'],False,9.0,79.0,40.0,15.0,3.755747886847692,186
47,小櫥子火鍋,k3yc,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.4290594156275307,379
48,蒸小點料理館,k3fc,2,"['湯品', '麵食', '粥', '台式']",False,9.0,79.0,25.0,5.0,3.5069679236143108,1487
49,反轉厚奶酥 (屏東萬丹店),oz80,2,['甜點'],False,9.0,79.0,30.0,15.0,3.7638310356753464,665
50,三分春色 (屏東萬丹店),zg0e,2,['飲料'],False,9.0,79.0,20.0,5.0,3.766724828925701,349
51,食光歲月,z6jd,2,"['早餐', '台式']",False,9.0,79.0,25.0,5.0,3.611737344405939,3286
52,鮮茶道 (屏東萬丹店),v6ue,2,['飲料'],False,9.0,79.0,25.0,5.0,3.7986889665036347,1431
53,雞隊友鹹酥雞,rssu,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,3.2694498106124463,226
54,胖老爹美式炸雞 (屏東萬丹店),v2rr,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,3.513800975937124,1115
55,可不可熟成紅茶 (屏東萬丹店),mzg2,1,['飲料'],False,9.0,79.0,20.0,5.0,3.689379174566333,470
56,台灣牛 (屏東萬丹店),u1tg,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.616444564347818,324
57,小麟牛排 (屏東萬丹店),ij5v,2,"['台式', '牛排']",False,9.0,79.0,25.0,5.0,3.7920379324475864,238
58,吉利臭臭鍋,q0vu,2,"['火鍋', '台式']",False,9.0,79.0,40.0,20.0,3.967037312677542,1143
59,雙獅鴨霸東山鴨頭 (屏東萬丹店),uhym,2,['小吃'],False,9.0,79.0,25.0,10.0,3.836624527244622,270
60,老先覺麻辣窯燒鍋 (屏東萬丹店),p3jg,2,"['火鍋', '台式']",False,9.0,79.0,35.0,20.0,3.5405146789369684,655
61,米米炸雞 (屏東新園店),pz9q,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,3.0466155063566305,11
62,象網廚房,bgpq,2,"['麵食', '台式']",False,9.0,79.0,35.0,15.0,4.07693888799344,183
63,水巷茶弄 (屏東新園店),bzwy,1,['飲料'],True,9.0,79.0,20.0,5.0,3.4057527576855327,136
64,佳玲鍋燒麵,m2dh,2,"['麵食', '台式']",False,9.0,79.0,35.0,15.0,5.154452877787558,624
65,85度C (屏東萬丹店),pv9v,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,25.0,5.0,3.8052177258929656,152
