,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鮮茶道 (花蓮華西店),b0mp,2,['飲料'],True,19.0,79.0,15.0,5.0,2.6653900358306606,1125
1,叮哥茶飲 (花蓮北埔店),pykc,1,['飲料'],False,19.0,79.0,10.0,5.0,0.17682544851812426,59
2,梅坊小棧,x7uq,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.24543796865705847,762
3,戰鬥雞-油雞/醉雞 輕食 (花蓮新城光復店),a0y7,2,"['健康餐', '台式']",False,19.0,79.0,10.0,5.0,0.3000768565023711,398
4,吳家紅茶冰 (花蓮北埔店),b67i,1,['飲料'],False,19.0,79.0,10.0,5.0,0.23466287776576575,58
5,咕咕雞厚切雞排,ob1i,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.2890973810217071,82
6,北埔廟口甜品,ux0e,1,['甜點'],False,19.0,79.0,15.0,10.0,0.12068857092053148,145
7,絕世炸雞 (花蓮北埔店),tdan,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6889729310761076,53
8,灰熊呵價麵食館,t1vn,2,['台式'],False,19.0,79.0,15.0,5.0,0.7039338560785643,616
9,小豬很忙蔬果滷味 (花蓮北埔店),b95r,2,['小吃'],False,19.0,79.0,15.0,5.0,0.649030344137871,10
10,巴豆夭百元美味鍋物 (花蓮北埔店),elqe,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.2811441326198756,103
11,墨醬章魚燒 (花蓮二店),k0my,2,"['小吃', '日式']",False,19.0,79.0,20.0,15.0,0.2296105640445258,421
12,麥當勞 (S445 花蓮中山二店),b0qj,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,5.050300486318031,18500
13,北埔滷味&章魚燒&牛肉麵,owh8,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,0.33717709652679595,116
14,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,30.0,15.0,4.2518597652200185,3105
15,食速列車,rcu7,2,['台式'],False,19.0,79.0,30.0,20.0,4.213424012140102,609
16,85度C (花蓮北埔店),feko,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.46732707003102303,208
17,八方雲集 (花蓮後站店),e6yc,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,4.293954743236838,1952
18,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,20.0,5.0,4.319044164166892,1327
19,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.295175707743427,3379
20,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,20.0,5.0,4.688238273967791,975
21,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,5.112815480388959,3376
22,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,20.0,5.0,5.031695015748446,1801
23,阿潘熱炒,f7sy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,4.175328081930049,797
24,犇犇廚坊,do2u,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,0.8353698475647419,381
25,何食堂古早味小吃攤,i7zb,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,4.410122553123136,2679
26,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,25.0,5.0,5.197535801850849,3419
27,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,5.035154091901335,6694
28,628黑白切,hism,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.3547686838674147,275
29,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,20.0,5.0,4.7006465190190285,1472
30,北港蚵嗲·現炸雞排 (花蓮富國店),pmkd,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.6826813715123015,223
31,鮮茶道 (花蓮後站店),hglq,2,['飲料'],True,19.0,79.0,20.0,5.0,4.248098283472733,435
32,清心福全 (花蓮國連店),ovq6,2,['飲料'],False,19.0,79.0,25.0,5.0,4.741457316583528,123
33,永記牛排專門店,m077,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,4.192907107453506,482
34,水果西施 (果汁.現切水果.新鮮水果),bf73,2,['健康餐'],False,19.0,79.0,25.0,10.0,4.3593448861175865,809
35,波波刈包,zcyh,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,5.371171174979527,169
36,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,20.0,5.813421012062512,4330
37,食神滷味 (花蓮中山店),yw2r,2,"['麵食', '火鍋', '小吃']",False,19.0,79.0,20.0,5.0,4.360250893477335,21
38,軍茶 (花蓮富國店),mru4,2,['飲料'],False,19.0,79.0,20.0,5.0,4.7283146628213695,126
39,金饌中華料理,u8lz,2,"['中式', '湯品']",False,19.0,79.0,25.0,10.0,5.181468909096421,258
40,幸福小煮,jw61,2,['日式'],False,19.0,79.0,25.0,10.0,4.625370984957309,85
41,龜記茗品 (花蓮中山店),r8zh,2,['飲料'],False,19.0,79.0,25.0,5.0,5.5708394694931815,34
42,哞哞牛肉麵,b2vt,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,4.206219757609925,1333
43,阿紅魷魚羹(原太祖),m0di,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.571874301904477,845
44,辣匠精緻小火鍋 (花蓮店),q0rd,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,5.0264717568733355,567
45,黃金刈包,dbj4,1,['小吃'],False,19.0,79.0,25.0,10.0,4.256176072476805,101
46,清心福全 (花蓮中美店),qezc,1,['飲料'],False,19.0,79.0,20.0,5.0,4.787088764740166,77
47,CYC DOPO HILL Kitchen,lv4w,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,5.069740760069774,164
48,叮哥茶飲 (花蓮北埔店),pykc,1,['飲料'],False,19.0,79.0,10.0,5.0,0.17682544851812426,59
49,梅坊小棧,x7uq,2,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.24543796865705847,762
50,戰鬥雞-油雞/醉雞 輕食 (花蓮新城光復店),a0y7,2,"['健康餐', '台式']",False,19.0,79.0,10.0,5.0,0.3000768565023711,398
51,吳家紅茶冰 (花蓮北埔店),b67i,1,['飲料'],False,19.0,79.0,10.0,5.0,0.23466287776576575,58
52,咕咕雞厚切雞排,ob1i,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.2890973810217071,82
53,北埔廟口甜品,ux0e,1,['甜點'],False,19.0,79.0,15.0,10.0,0.12068857092053148,145
54,絕世炸雞 (花蓮北埔店),tdan,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.6889729310761076,53
55,灰熊呵價麵食館,t1vn,2,['台式'],False,19.0,79.0,15.0,5.0,0.7039338560785643,616
56,小豬很忙蔬果滷味 (花蓮北埔店),b95r,2,['小吃'],False,19.0,79.0,15.0,5.0,0.649030344137871,10
57,巴豆夭百元美味鍋物 (花蓮北埔店),elqe,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.2811441326198756,103
58,墨醬章魚燒 (花蓮二店),k0my,2,"['小吃', '日式']",False,19.0,79.0,20.0,15.0,0.2296105640445258,421
59,麥當勞 (S445 花蓮中山二店),b0qj,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,5.050300486318031,18500
60,北埔滷味&章魚燒&牛肉麵,owh8,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,0.33717709652679595,116
61,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,30.0,15.0,4.2518597652200185,3105
62,食速列車,rcu7,2,['台式'],False,19.0,79.0,30.0,20.0,4.213424012140102,609
63,85度C (花蓮北埔店),feko,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.46732707003102303,208
64,八方雲集 (花蓮後站店),e6yc,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,4.293954743236838,1952
65,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,20.0,5.0,4.319044164166892,1327
66,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.295175707743427,3379
67,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,20.0,5.0,4.688238273967791,975
68,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,5.112815480388959,3376
69,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,20.0,5.0,5.031695015748446,1801
70,阿潘熱炒,f7sy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,4.175328081930049,797
71,犇犇廚坊,do2u,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,0.8353698475647419,381
72,何食堂古早味小吃攤,i7zb,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,4.410122553123136,2679
73,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,25.0,5.0,5.197535801850849,3419
74,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,5.035154091901335,6694
75,628黑白切,hism,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.3547686838674147,275
76,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,20.0,5.0,4.7006465190190285,1472
77,北港蚵嗲·現炸雞排 (花蓮富國店),pmkd,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.6826813715123015,223
78,鮮茶道 (花蓮後站店),hglq,2,['飲料'],True,19.0,79.0,20.0,5.0,4.248098283472733,435
79,清心福全 (花蓮國連店),ovq6,2,['飲料'],False,19.0,79.0,25.0,5.0,4.741457316583528,123
80,永記牛排專門店,m077,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,4.192907107453506,482
81,水果西施 (果汁.現切水果.新鮮水果),bf73,2,['健康餐'],False,19.0,79.0,25.0,10.0,4.3593448861175865,809
82,波波刈包,zcyh,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,5.371171174979527,169
83,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,20.0,5.813421012062512,4330
84,食神滷味 (花蓮中山店),yw2r,2,"['麵食', '火鍋', '小吃']",False,19.0,79.0,20.0,5.0,4.360250893477335,21
85,軍茶 (花蓮富國店),mru4,2,['飲料'],False,19.0,79.0,20.0,5.0,4.7283146628213695,126
86,金饌中華料理,u8lz,2,"['中式', '湯品']",False,19.0,79.0,25.0,10.0,5.181468909096421,258
87,幸福小煮,jw61,2,['日式'],False,19.0,79.0,25.0,10.0,4.625370984957309,85
88,龜記茗品 (花蓮中山店),r8zh,2,['飲料'],False,19.0,79.0,25.0,5.0,5.5708394694931815,34
89,哞哞牛肉麵,b2vt,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,4.206219757609925,1333
90,阿紅魷魚羹(原太祖),m0di,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.571874301904477,845
91,辣匠精緻小火鍋 (花蓮店),q0rd,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,5.0264717568733355,567
92,黃金刈包,dbj4,1,['小吃'],False,19.0,79.0,25.0,10.0,4.256176072476805,101
93,清心福全 (花蓮中美店),qezc,1,['飲料'],False,19.0,79.0,20.0,5.0,4.787088764740166,77
94,CYC DOPO HILL Kitchen,lv4w,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,5.069740760069774,164
95,小歇茶鋪,d1jb,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.67815414518907,833
96,超美烘焙廚房,jg4j,1,['歐美'],False,19.0,79.0,25.0,10.0,5.111938321214961,262
97,一茴麵食專賣店,m6kd,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,4.541156154308916,358
98,饗窩牛肉麵&丼飯,t9f9,2,"['麵食', '台式']",False,19.0,79.0,25.0,10.0,4.564415238235538,380
99,士官長の烤香腸,l2ao,1,['小吃'],False,19.0,79.0,25.0,10.0,5.217349329368418,61
100,森活鹹酥雞,l6mp,1,['小吃'],False,19.0,79.0,25.0,15.0,2.6739342499319223,0
101,冰心茶王 (花蓮華西店),e1sp,1,['飲料'],False,19.0,79.0,15.0,5.0,2.6844755016106943,771
102,STARBUCKS 星巴克 (花蓮中央門市),c5wa,2,"['歐美', '飲料']",False,19.0,79.0,20.0,5.0,4.12795438541055,1557
103,紅茶小賣所 (花蓮國聯店),wvul,1,['飲料'],False,19.0,79.0,20.0,5.0,4.175919606313564,288
104,食速列車 (富強路店),b2em,2,['飲料'],False,19.0,79.0,20.0,5.0,4.2002561433123216,1266
105,COMEBUY (花蓮中山店),d8zn,1,['飲料'],True,19.0,79.0,20.0,5.0,4.2876853963045845,1147
106,冰心茶王 (慈濟中山店),b3yp,1,['飲料'],False,19.0,79.0,20.0,5.0,4.305665950245672,1373
107,蜂之鄉 (花蓮站前店),m5kk,1,['飲料'],False,19.0,79.0,20.0,5.0,4.456970967881321,142
108,紅茶洋行 (花蓮國聯二店),yxl4,1,['飲料'],False,19.0,79.0,20.0,5.0,4.534857860312043,226
109,寶島紅茶冰 (花蓮中山店),ovjy,1,['飲料'],False,19.0,79.0,20.0,5.0,4.5369663332688415,96
110,冰心茶王 (花蓮國聯店),r8j7,1,['飲料'],False,19.0,79.0,20.0,5.0,4.5434400304840645,165
111,老田庄楊桃汁&檸檬姐姐咖喱屋,pvqa,1,['飲料'],False,19.0,79.0,20.0,5.0,4.670779185399908,62
112,小餓茶舖&寶島紅茶冰(美崙中興店),f35i,2,['飲料'],False,19.0,79.0,25.0,10.0,4.271791822894934,68
113,茶舍 (花蓮富國店),d6ye,1,['飲料'],False,19.0,79.0,20.0,5.0,4.721085354699281,886
114,快樂中式早餐店,nr79,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.4830332379922067,310
115,頂呱呱TKK (花蓮國聯店),umiu,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,4.360528082085094,501
116,玉心早餐店,mhuz,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,1.1762430024300254,49
117,嘎嘎叫早餐店,e4d2,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.536489882974563,421
118,呷尚寶 (花蓮富吉店),f9jn,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.620452786809821,2691
119,標記早午餐,f7vl,2,"['早餐', '湯品', '台式']",False,19.0,79.0,40.0,15.0,3.2956451945618097,712
120,麥町吐司工房 (花蓮新城店),y982,2,"['早餐', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.697307377582356,259
121,早晨故事,e2lt,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.919095718383855,1599
122,萬佳鄉明欣店 (明禮路與民國路交叉口),b3ur,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,5.6304986306091624,581
123,萬佳鄉 (花蓮豐農店),d1sq,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,5.392336338226853,2895
124,萬佳鄉 (花蓮自強店),b2pe,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.583528156703638,3462
125,弘爺漢堡 (花蓮北昌店),b4ue,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.95989443312202,1128
126,萬佳鄉蓮晴店,x71n,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,5.055218286997335,133
127,弘爺漢堡 (花蓮太昌店),b1ru,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,5.310539564906423,2781
128,弘爺漢堡 (花蓮七星潭店),b6uo,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.687607964697508,1121
129,輕浪飲早午餐,fiod,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,1.2841099181048818,92
130,米先生廚房,xk58,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.937641152234876,99
131,樂活早午餐,e9wl,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,5.561477786678401,1312
132,米娜輕食早午餐,e1dr,2,['台式'],False,19.0,79.0,40.0,10.0,0.15596028537264278,2794
133,to me 找餐殿,t55k,2,['台式'],False,19.0,79.0,40.0,15.0,4.3783444056515375,113
134,Morni莫尼早餐 (花蓮吉安店),be3y,2,"['甜點', '早餐', '漢堡', '麵食', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,5.328151539501194,166
135,萬佳鄉早餐 (花蓮中化店),v0ck,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.23717695525658,1624
136,弘爺漢堡 (花蓮北埔店),d0vz,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,0.2473638354975259,3237
137,早安美芝城 (吉安建國概念店),s7je,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,5.31634021075082,87
138,呷上寶 (花蓮國富店),v7ng,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.615883733055507,1178
139,弘爺漢堡 (花蓮富吉店),b1ms,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.1850355524135185,1088
140,艾摩斯廚房花商店,b8yc,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,5.1759647013138,3763
141,薇薇安早餐坊,fnj5,1,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,4.320385401087192,537
142,米果早餐,e8ak,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.537428196715399,1405
143,弘爺漢堡 (花蓮國聯店),d6qf,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.781284013804814,1040
144,本米越式脆皮麵包,e9hx,2,['東南亞'],False,19.0,79.0,40.0,10.0,5.290157096166698,1675
145,弘爺漢堡 (花蓮合盛店),h05a,2,"['早餐', '台式']",True,19.0,79.0,40.0,15.0,4.2017273888653035,275
146,阿法洛黃金早餐,zyth,1,['台式'],False,19.0,79.0,40.0,15.0,4.915797414880245,523
147,張瑋烤肉蛋土司 (花蓮富國店),b0zl,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,4.856185240452657,3374
148,千香漢堡 (花蓮富祥店),h93s,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.316928785558478,23
149,KAMIKAMI BURGER (花蓮富安店),ikk1,2,"['漢堡', '歐美', '咖哩']",False,19.0,79.0,40.0,15.0,4.00391811028536,0
