,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,PPD Pasta,zavu,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,2.936580720858267,445
1,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.4247875108752082,1002
2,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,1.9164128779358989,2050
3,叮哥茶飲 東大門店,gwkw,1,['飲料'],False,19.0,79.0,15.0,5.0,2.2785435507294762,19
4,大呼過癮臭臭鍋 (花蓮中正店),f4fm,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.8070567244365794,2134
5,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,15.0,5.0,0.9654498803928393,1801
6,和敬清寂 (花蓮建國店),v3hs,1,['飲料'],False,19.0,79.0,15.0,10.0,0.41501562545076054,1307
7,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,15.0,5.0,1.7702661049299309,2135
8,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,1.9129289431507808,1278
9,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5733793394425815,3410
10,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,2.419481091990465,1076
11,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0830028995949663,3747
12,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,1.495367762903901,258
13,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,20.0,1.5142852882580067,1290
14,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.0395196040598735,5299
15,麥當勞 (S445 花蓮中山二店),b0qj,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.9613723564011991,18500
16,肯德基KFC炸雞漢堡店 (花蓮吉安店),ihq2,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,10.0,1.5235106405336047,1074
17,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.0240167931848778,3376
18,清心福全 (花蓮花濃店),l3ku,2,['飲料'],False,19.0,79.0,10.0,5.0,0.365728292589129,119
19,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,25.0,15.0,1.0547892926044529,3105
20,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,0.8718877351546401,3597
21,波波刈包,zcyh,2,"['湯品', '台式']",False,19.0,79.0,20.0,15.0,0.19544099622060068,169
22,食速列車,rcu7,2,['台式'],False,19.0,79.0,25.0,20.0,0.9817124303866307,609
23,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,1.1062827020376427,3419
24,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.9017730750785806,3379
25,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,0.9439089364109026,6694
26,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,1.0448794477896484,1429
27,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.4182318115589834,3763
28,八方雲集 (花蓮後站店),e6yc,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,0.9030987893198766,1952
29,Pizza Hut必勝客 (花蓮吉安店),b9pe,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.14378329452484176,2628
30,E炸G蔥香酥皮大雞排 (花蓮和平店),b4mc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.478752554471199,3027
31,北港蚵嗲·現炸雞排 (花蓮富國店),pmkd,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.5781963895066213,223
32,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,1.798573171566532,1069
33,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,15.0,5.0,0.8847240181495242,1327
34,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,1.927430572430547,295
35,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,1.5582736790905622,437
36,好食雞職人炸物 (花蓮建國店),ed7c,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.6582697012633276,44
37,初樂炸雞 (花蓮和平店),erj6,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.223725962038886,289
38,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,25.0,15.0,1.6329568950827786,5812
39,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,15.0,5.0,1.423778063549025,975
40,雞大叔,uqwm,2,['小吃'],False,19.0,79.0,10.0,5.0,0.3033259713670477,384
41,小月飲食 (花蓮建國店),d0fv,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.34781124176612493,2131
42,鮮茶道 (花蓮建國自立店),d3xf,2,['飲料'],True,19.0,79.0,10.0,5.0,0.4076252030578386,1077
43,味味鮮の極品壽司,awpe,2,['日式'],False,19.0,79.0,15.0,5.0,1.0205881723297736,262
44,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.8013220310317222,1329
45,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,2.0005999491879183,2615
46,茶湯會 (花蓮民國店),b4ye,2,['飲料'],True,19.0,79.0,15.0,5.0,1.6197759316372786,3271
47,炸鷄大獅 (花蓮中山店),t77y,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.4082828523843027,220
48,莊記生煎包,k8ml,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.4247875108752082,1002
49,一品香扁食 (花蓮中正店),e6xd,2,"['台式', '餃子']",True,19.0,79.0,15.0,5.0,1.9164128779358989,2050
50,叮哥茶飲 東大門店,gwkw,1,['飲料'],False,19.0,79.0,15.0,5.0,2.2785435507294762,19
51,大呼過癮臭臭鍋 (花蓮中正店),f4fm,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.8070567244365794,2134
52,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,15.0,5.0,0.9654498803928393,1801
53,和敬清寂 (花蓮建國店),v3hs,1,['飲料'],False,19.0,79.0,15.0,10.0,0.41501562545076054,1307
54,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,15.0,5.0,1.7702661049299309,2135
55,珍煮丹 (花蓮中正店),q6ma,2,['飲料'],False,19.0,79.0,15.0,5.0,1.9129289431507808,1278
56,手作功夫茶 (花蓮民國店),b7qg,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5733793394425815,3410
57,陳記狀元粥舖,f6qt,2,"['港式', '粥']",False,19.0,79.0,15.0,5.0,2.419481091990465,1076
58,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0830028995949663,3747
59,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,1.495367762903901,258
60,延壽亭 韓食,ofzy,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,20.0,1.5142852882580067,1290
61,公正包子,b0zi,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.0395196040598735,5299
62,麥當勞 (S445 花蓮中山二店),b0qj,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.9613723564011991,18500
63,肯德基KFC炸雞漢堡店 (花蓮吉安店),ihq2,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,10.0,1.5235106405336047,1074
64,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.0240167931848778,3376
65,清心福全 (花蓮花濃店),l3ku,2,['飲料'],False,19.0,79.0,10.0,5.0,0.365728292589129,119
66,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,25.0,15.0,1.0547892926044529,3105
67,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,15.0,10.0,0.8718877351546401,3597
68,波波刈包,zcyh,2,"['湯品', '台式']",False,19.0,79.0,20.0,15.0,0.19544099622060068,169
69,食速列車,rcu7,2,['台式'],False,19.0,79.0,25.0,20.0,0.9817124303866307,609
70,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,15.0,5.0,1.1062827020376427,3419
71,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.9017730750785806,3379
72,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,0.9439089364109026,6694
73,牛排先生 (花蓮花商店),h9if,2,"['麵食', '台式', '牛排']",False,19.0,79.0,15.0,5.0,1.0448794477896484,1429
74,牛匠太郎x直火炙燒丼飯,r7al,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.4182318115589834,3763
75,八方雲集 (花蓮後站店),e6yc,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,0.9030987893198766,1952
76,Pizza Hut必勝客 (花蓮吉安店),b9pe,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.14378329452484176,2628
77,E炸G蔥香酥皮大雞排 (花蓮和平店),b4mc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.478752554471199,3027
78,北港蚵嗲·現炸雞排 (花蓮富國店),pmkd,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.5781963895066213,223
79,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,1.798573171566532,1069
80,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,15.0,5.0,0.8847240181495242,1327
81,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,20.0,10.0,1.927430572430547,295
82,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,15.0,5.0,1.5582736790905622,437
83,好食雞職人炸物 (花蓮建國店),ed7c,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.6582697012633276,44
84,初樂炸雞 (花蓮和平店),erj6,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.223725962038886,289
85,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,25.0,15.0,1.6329568950827786,5812
86,滷大王麻辣燙 (花蓮國聯店),l5ar,2,['小吃'],False,19.0,79.0,15.0,5.0,1.423778063549025,975
87,雞大叔,uqwm,2,['小吃'],False,19.0,79.0,10.0,5.0,0.3033259713670477,384
88,小月飲食 (花蓮建國店),d0fv,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.34781124176612493,2131
89,鮮茶道 (花蓮建國自立店),d3xf,2,['飲料'],True,19.0,79.0,10.0,5.0,0.4076252030578386,1077
90,味味鮮の極品壽司,awpe,2,['日式'],False,19.0,79.0,15.0,5.0,1.0205881723297736,262
91,深夜食堂 (花蓮中華店),u8vp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.8013220310317222,1329
92,爭鮮迴轉壽司 (花蓮店),n3ze,2,['日式'],True,19.0,79.0,15.0,5.0,2.0005999491879183,2615
93,茶湯會 (花蓮民國店),b4ye,2,['飲料'],True,19.0,79.0,15.0,5.0,1.6197759316372786,3271
94,炸鷄大獅 (花蓮中山店),t77y,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.4082828523843027,220
95,彭湃餐車,m0yp,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,2.155072035999006,1480
96,水果撈,kwd5,2,['甜點'],False,19.0,79.0,10.0,5.0,0.1710640717380494,65
97,博愛街黑白切米粉湯,e8it,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,2.0061907128531695,4371
98,小豬很忙蔬果滷味 (花蓮博愛店),iyfl,2,['小吃'],False,19.0,79.0,15.0,5.0,1.6680700962933246,195
99,大苑子 (花蓮民國店),q6zq,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6459655992406839,2552
100,軍茶 (花蓮富國店),mru4,2,['飲料'],False,19.0,79.0,10.0,5.0,0.5171466616986076,126
101,麻辣天后炒香鍋 (花蓮中山店),g2n9,2,"['麵食', '台式']",False,19.0,79.0,25.0,20.0,1.3464579800926775,69
102,金饌中華料理,u8lz,2,"['中式', '湯品']",False,19.0,79.0,15.0,10.0,0.9025176373381841,258
103,鮮茶道 (吉安慈惠店),b1hh,2,['飲料'],True,19.0,79.0,15.0,5.0,1.4803301413667866,2201
104,巧達可麗餅,d1un,1,['小吃'],False,19.0,79.0,15.0,10.0,0.9666582568765932,1141
105,五路鍋聖 (花蓮中華店),kfwo,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.6898224925948173,1327
106,來來牛排 (花蓮中華店),d4mg,3,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,1.5957536559715841,2239
107,找餐店 (花蓮店),d4hg,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,30.0,20.0,1.913514392678444,4330
108,水果西施 (果汁.現切水果.新鮮水果),bf73,2,['健康餐'],False,19.0,79.0,15.0,10.0,0.8581922992248011,809
109,大土豆傳統豆花薏仁專賣店 (花蓮富國店),q1id,1,['甜點'],False,19.0,79.0,15.0,10.0,0.3817741608626955,1039
110,鶴茶樓 鶴頂紅茶商店 (花蓮商校店),o8q9,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8959215937557412,592
111,清心福全 (花蓮國連店),ovq6,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4096265294444148,123
112,宏品牛排館,d0lq,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,1.069336396048857,686
113,茶朵木 (花蓮國聯店),b4py,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4212736551400547,1472
114,森室豬腳•涼麵•沙茶麵•小菜,m9cl,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,1.2018915205924634,1092
115,正統鹽酥雞,i4rc,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.8893267624305339,2008
116,18號食堂,f4jf,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,10.0,1.1590926417364946,1188
117,鐵板平價牛排,d0rm,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,1.8009610806558911,1756
118,小螞蟻咖哩屋,b3uk,2,"['咖哩', '日式']",False,19.0,79.0,30.0,20.0,1.6459523783849062,3697
119,康青龍 (花蓮中山店),b0rk,2,['飲料'],False,19.0,79.0,15.0,5.0,0.963318515376221,2420
120,鮮茶道 (花蓮南埔店),d6ba,2,['飲料'],True,19.0,79.0,15.0,5.0,2.2316855867208347,2858
121,多福豆花,b1wm,1,['甜點'],False,19.0,79.0,20.0,10.0,2.011929701245342,2884
122,阿潘熱炒,f7sy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,10.0,1.6509876417293543,797
123,大碗公冰·甜品 (花蓮吉安店),cvhm,2,['甜點'],False,19.0,79.0,20.0,15.0,1.905729222301031,300
124,戰鬥雞-油雞/醉雞 輕食 (花蓮國聯店),a78t,2,"['健康餐', '台式']",True,19.0,79.0,15.0,5.0,1.4222794971514414,520
125,波波食堂 (花蓮中山店),eliw,2,['甜點'],False,19.0,79.0,15.0,5.0,1.4704935861455077,397
126,美味蚵仔煎,n1xu,2,['小吃'],False,19.0,79.0,15.0,5.0,2.043591791983446,835
127,老賴茶棧 (花蓮吉安店),u1gp,1,['飲料'],False,19.0,79.0,15.0,5.0,1.6888583435892672,593
128,岳澤坊,e7tw,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6130330930946928,2166
129,龜記茗品 (花蓮中山店),r8zh,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4830166640949192,34
130,鮮茶道 (花蓮後站店),hglq,2,['飲料'],True,19.0,79.0,15.0,5.0,1.1104866301166545,435
131,85度C (花蓮林森店),e7jr,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,1.4547654558422822,1841
132,三媽臭臭鍋 (花蓮商校店),mdnf,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.1162174852567541,463
133,孫東寶 (花蓮中山店),yeeh,2,"['台式', '牛排']",False,19.0,79.0,15.0,10.0,0.8968264308356425,986
134,叔叔家關東煮x下酒菜,rek4,2,"['麵食', '台式']",False,19.0,79.0,25.0,20.0,0.7337624384746424,269
135,宵夜人家廚房,wmqr,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,1.2058388171110328,272
136,青田壽司,o0vw,2,['日式'],False,19.0,79.0,15.0,5.0,2.5807613436509547,1371
137,甜在心糖水舖 (花蓮花商店),e8iw,1,['甜點'],False,19.0,79.0,15.0,5.0,1.1073928812576608,1634
138,安爺牛排,b1tm,2,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,1.9875219173632352,1750
139,九九碼頭小吃,mipo,2,['台式'],False,19.0,79.0,15.0,5.0,1.6743433438663178,172
140,御國香麻辣臭豆腐 (花蓮博愛店),zqrx,2,"['火鍋', '台式']",False,19.0,79.0,15.0,10.0,1.113080632629653,30
141,桶一天下 (花蓮吉安店),f8wv,2,['小吃'],False,19.0,79.0,25.0,15.0,1.8993780310146908,1394
142,白巷子 (花蓮建國店),g3kk,2,['飲料'],False,19.0,79.0,15.0,5.0,1.790077750241035,1998
143,歐桑海味職人,e5os,2,"['麵食', '台式']",False,19.0,79.0,35.0,25.0,2.0308564655734878,3084
144,Mr.Wish 鮮果茶玩家 (花蓮林森店),r0lw,2,['飲料'],True,19.0,79.0,15.0,5.0,1.4830995489140488,776
145,CYC DOPO HILL Kitchen,lv4w,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.6193935931684711,164
146,阿紅魷魚羹(原太祖),m0di,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7264035496197764,845
147,圈圈鬆餅,l3jx,1,['甜點'],False,19.0,79.0,20.0,10.0,1.2586352989155165,63
148,廣欽堂美食廚房,o6s5,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.273152845378566,188
149,勇記炸雞翅,sw90,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.918908880071817,446
150,瓦克茶飲 Walker tea shop,ko79,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6381135869855212,190
151,迷客夏 Milksha (花蓮中山店),qm81,2,['飲料'],False,19.0,79.0,20.0,10.0,1.9834662255815068,679
