,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,和敬清寂 (花蓮建國店),v3hs,1,['飲料'],False,19.0,79.0,25.0,10.0,4.419083275513502,1307
1,鮮茶道 (花蓮建國自立店),d3xf,2,['飲料'],True,19.0,79.0,20.0,5.0,4.41154056777753,1077
2,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,20.0,5.0,5.048266142936528,3747
3,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,5.502286819180607,258
4,達軒便當,yc2d,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.1847770059009428,627
5,PPD Pasta,zavu,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,2.358629874357405,445
6,鮮茶道 (花蓮太昌店),d8ps,2,['飲料'],True,19.0,79.0,15.0,5.0,2.2560643381692556,2135
7,麥當勞 (S159 花蓮吉安店),d5pb,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,4.503812094017479,21119
8,好客家常快炒,l2nm,2,['台式'],False,19.0,79.0,15.0,5.0,1.179605697321659,77
9,白巷子 (花蓮建國店),g3kk,2,['飲料'],False,19.0,79.0,15.0,5.0,2.2343714245176325,1998
10,198美式炸雞 (花蓮太昌店),t0hn,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,10.0,1.912191342838903,1228
11,食速列車,rcu7,2,['台式'],False,19.0,79.0,30.0,20.0,4.070423542677093,609
12,八方雲集 (花蓮慶豐店),t5oj,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,2.9030840155054527,1126
13,肯德基KFC炸雞漢堡店 (花蓮吉安店),ihq2,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,25.0,10.0,4.536513852212858,1074
14,午夜快車 (花蓮富吉店),l8yf,2,['台式'],False,19.0,79.0,30.0,15.0,4.376188922624977,3105
15,TOP烘焙房,b1zq,2,"['甜點', '蛋糕']",False,19.0,79.0,15.0,5.0,2.6243398225028822,772
16,花蓮鼎豐鴨肉羹,vsp0,2,"['湯品', '台式']",False,19.0,79.0,15.0,5.0,2.3698845606498553,76
17,圈圈鬆餅,l3jx,1,['甜點'],False,19.0,79.0,20.0,10.0,2.7619472553000946,63
18,波波刈包,zcyh,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,3.9998873671462944,169
19,宜蘭湯包 (花蓮中山店),i3ui,2,['中式'],False,19.0,79.0,20.0,5.0,4.101698028585491,1327
20,大呼過癮臭臭鍋 (花蓮慈濟店),u7rn,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.072668102490726,3379
21,大碗公冰·甜品 (花蓮吉安店),cvhm,2,['甜點'],False,19.0,79.0,25.0,15.0,4.081305193293018,300
22,五路鍋聖 (花蓮中山店),i9qg,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.975348745784571,3376
23,可不可熟成紅茶 (花蓮中山店),i3hp,1,['飲料'],False,19.0,79.0,20.0,5.0,4.893344047434356,1801
24,清心福全 (花蓮花濃店),l3ku,2,['飲料'],False,19.0,79.0,20.0,5.0,4.36717596350404,119
25,Pizza Hut必勝客 (花蓮吉安店),b9pe,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,4.039730742078271,2628
26,花蓮牛排,b7cr,2,"['歐美', '牛排']",False,19.0,79.0,25.0,10.0,4.860652722041067,3597
27,江記鹹水雞 (花蓮建國店),j4ik,2,['小吃'],False,19.0,79.0,15.0,5.0,2.1477027850059267,141
28,桶一天下 (花蓮吉安店),f8wv,2,['小吃'],False,19.0,79.0,30.0,15.0,4.100080914756598,1394
29,綠杉豆花·黑豆漿專賣店,ekx3,1,['甜點'],False,19.0,79.0,20.0,10.0,2.928994737831734,251
30,鮮茶道 (吉安慈惠店),b1hh,2,['飲料'],True,19.0,79.0,20.0,5.0,4.543807494099148,2201
31,潮味決．湯滷專門店 (花蓮中山分社),e4ca,2,['台式'],False,19.0,79.0,25.0,5.0,5.075260323292052,3419
32,摩斯漢堡Mos Burger (花蓮中山店),f1tq,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,4.87398380074979,6694
33,北港蚵嗲·現炸雞排 (花蓮富國店),pmkd,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.211723651838453,223
34,老賴茶棧 (花蓮吉安店),u1gp,1,['飲料'],False,19.0,79.0,20.0,5.0,4.284108721969799,593
35,甜在心糖水舖 (花蓮慶豐店),d5at,1,['甜點'],False,19.0,79.0,20.0,5.0,2.8431151048973007,1025
36,吳家紅茶冰 (花蓮慶豐店),u2gz,1,['飲料'],False,19.0,79.0,15.0,5.0,2.782867896904858,426
37,阿金東山鴨頭 (花蓮吉安店),qmrp,2,['小吃'],False,19.0,79.0,20.0,10.0,2.8077488726492668,64
38,九九碼頭小吃,mipo,2,['台式'],False,19.0,79.0,20.0,5.0,4.197880582620089,172
39,好食雞職人炸物 (花蓮建國店),ed7c,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.664714560121425,44
40,和平鵝肉担,faqe,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,5.68071711446965,1069
41,雞大叔,uqwm,2,['小吃'],False,19.0,79.0,20.0,5.0,3.7561899168081285,384
42,永利廣東粥 (花蓮民國店),b2ie,1,"['中式', '粥']",False,19.0,79.0,30.0,15.0,5.626109022753449,5812
43,紅茶洋行 (花蓮吉安慶豐店),ngoz,1,['飲料'],False,19.0,79.0,20.0,5.0,3.0885523865711457,37
44,味味鮮の極品壽司,awpe,2,['日式'],False,19.0,79.0,20.0,5.0,4.970507822198659,262
45,武記越南河粉,pakb,2,"['湯品', '東南亞']",False,19.0,79.0,25.0,5.0,5.49170158871234,437
46,陳記牛排,dzdh,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,3.999571635659031,92
47,五桐號 WooTea (花蓮中正店),pafx,2,['飲料'],False,19.0,79.0,30.0,10.0,5.928681414286804,295
48,鮮茶道 (花蓮建國自立店),d3xf,2,['飲料'],True,19.0,79.0,20.0,5.0,4.41154056777753,1077
49,白巷子 (花蓮中山店),e3yd,2,['飲料'],False,19.0,79.0,20.0,5.0,5.048266142936528,3747
50,鵝肉先生 (花蓮林森店),bnxt,3,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,5.502286819180607,258
