,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (竹北中華店),z7sa,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,0.8032447835250035,3350
1,宏味港式臭豆腐,d1ir,2,['小吃'],False,19.0,79.0,25.0,5.0,0.4519289985991221,1294
2,麵朝 (竹北博愛店),o6kb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6460181513600658,1434
3,四海遊龍 (竹北二店),l0xn,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.42970133116418324,2076
4,中正雞場鹽水雞 (竹北三民店),rvxx,2,['小吃'],False,19.0,79.0,25.0,5.0,0.41987183316449017,581
5,果霸茶 (竹北博愛店),xz4t,2,['飲料'],False,19.0,79.0,25.0,5.0,0.43189886441048564,104
6,鍋賣局 (竹北家樂福店),i9ly,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,1.0266354078237656,747
7,好吸HITS THE SPOT (新竹竹北店),nt7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.8040366895864121,48
8,御私藏 (竹北中正西店),i9tl,2,['飲料'],False,19.0,79.0,25.0,10.0,1.3074460837568422,2458
9,吳家紅茶冰 竹北中山店,n4pq,1,['飲料'],False,19.0,79.0,20.0,5.0,0.24088531603198352,272
10,顏記幽靈馬車(竹北高中對面),c8gx,2,['小吃'],True,19.0,79.0,25.0,5.0,0.8127528165728852,1607
11,涮肉亭麻辣鍋 (竹北光明店),smnk,3,"['中式', '火鍋']",False,19.0,79.0,50.0,35.0,0.5981015911336777,126
12,游麵館 (竹北光明三店),uivy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.835368642301224,1589
13,麥當勞 (S146 竹北中華店),y0au,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,0.7108570904929261,17202
14,(極)黃燜雞米飯 (竹北三民店),vc5p,2,['中式'],False,19.0,79.0,25.0,5.0,0.40508661407151064,566
15,大廟厚切牛排 (新竹竹北店),w02q,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.3771658538017439,1699
16,大埔鐵板燒 (竹北光明店),z4sx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,0.6425776075473664,3567
17,台北永和豆漿大王 (新竹竹北店),vtec,2,['小吃'],False,19.0,79.0,25.0,5.0,0.6226098166422962,3665
18,85度C (竹北博愛店),e5wc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,0.2773315301683662,1755
19,五桐號 (竹北三民店),ixzl,2,['飲料'],False,19.0,79.0,25.0,5.0,0.3702013834827056,175
20,八方雲集 (竹北博愛店),a5rw,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.4233439260347324,1858
21,誠記麵食館,v6lb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.406890966991655,1424
22,燒夜串燒 (新竹竹北店),p5u4,2,['小吃'],False,19.0,79.0,25.0,10.0,0.5528005654552914,197
23,大中華粥麵館 (新竹三民店),b0ng,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,5.0,0.38105371658188664,2089
24,一生懸雞 (竹北三民店),f3pc,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.4248627824664322,1352
25,台北麻將麻辣臭豆腐 (新竹竹北店),srgy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,10.0,0.4200798632047274,871
26,Burger King 漢堡王 (竹北店),y4hp,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,1.153494951824229,4957
27,柯家牛肉麵館,n3gj,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.45536359816651134,994
28,開源社香雞排 (新竹竹北三民店),a9np,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.3661416046814341,2221
29,八方雲集 (竹北中正東店),d1vq,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,0.20862228302763391,1564
30,五桐號 (竹北正西店),odpg,2,['飲料'],False,19.0,79.0,25.0,5.0,1.1146710766033208,204
31,NU PASTA (竹北文信店),z6ce,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,0.5147950377305865,2266
32,珍煮丹 (竹北三民店),gthn,2,['飲料'],False,19.0,79.0,25.0,5.0,0.3698532221059627,1401
33,粥大福 (竹北博愛店),lfcu,2,"['粥', '台式']",False,19.0,79.0,25.0,5.0,0.8500600653869074,193
34,麻丹辣麻辣滷味(竹北店),t2nl,2,['小吃'],False,19.0,79.0,25.0,5.0,0.48659496176581274,3309
35,川牛木石亭 (竹北博愛店),s4yc,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.6251873702318084,374
36,焗的飽平價義式焗烤 (新竹竹北店),wup8,2,['歐美'],False,19.0,79.0,25.0,10.0,0.6252088472654731,119
37,自由創炒,teny,2,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,0.36391846395553057,472
38,金茶伍 (竹北中正東),aig0,2,['飲料'],False,19.0,79.0,25.0,10.0,0.19242419428457605,665
39,鮮丼 (新竹竹北店),x7am,2,['日式'],False,19.0,79.0,25.0,5.0,0.9868408464042485,2162
40,羽之鍋 (竹北三民店),a2q6,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,0.36809388870129817,1248
41,馫雞排,q0ex,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,0.31421839880621594,158
42,萬波島嶼紅茶 (竹北三民店),zjp8,2,['飲料'],False,19.0,79.0,25.0,5.0,0.3741579780114768,149
43,燒胖 (竹北光明店),vlf6,2,['台式'],False,19.0,79.0,25.0,5.0,0.8488988083755442,146
44,九湯屋日式拉麵 (竹北三民店),y1qj,2,"['麵食', '日式']",False,19.0,79.0,30.0,10.0,0.3783230325393435,1697
45,茶棧 (竹北總店),n0ag,2,['飲料'],False,19.0,79.0,25.0,5.0,0.35367209836913194,2324
46,三顧茅廬 (竹北博愛店),jucx,2,['小吃'],False,19.0,79.0,25.0,10.0,0.4175068331273274,158
47,曾氏福建炒麵 (竹北中正東店),h479,2,['中式'],False,19.0,79.0,25.0,10.0,0.6054342126842079,157
48,宏味港式臭豆腐,d1ir,2,['小吃'],False,19.0,79.0,25.0,5.0,0.4519289985991221,1294
49,麵朝 (竹北博愛店),o6kb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6460181513600658,1434
50,四海遊龍 (竹北二店),l0xn,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.42970133116418324,2076
51,中正雞場鹽水雞 (竹北三民店),rvxx,2,['小吃'],False,19.0,79.0,25.0,5.0,0.41987183316449017,581
52,果霸茶 (竹北博愛店),xz4t,2,['飲料'],False,19.0,79.0,25.0,5.0,0.43189886441048564,104
53,鍋賣局 (竹北家樂福店),i9ly,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,1.0266354078237656,747
54,好吸HITS THE SPOT (新竹竹北店),nt7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.8040366895864121,48
55,御私藏 (竹北中正西店),i9tl,2,['飲料'],False,19.0,79.0,25.0,10.0,1.3074460837568422,2458
56,吳家紅茶冰 竹北中山店,n4pq,1,['飲料'],False,19.0,79.0,20.0,5.0,0.24088531603198352,272
57,顏記幽靈馬車(竹北高中對面),c8gx,2,['小吃'],True,19.0,79.0,25.0,5.0,0.8127528165728852,1607
58,涮肉亭麻辣鍋 (竹北光明店),smnk,3,"['中式', '火鍋']",False,19.0,79.0,50.0,35.0,0.5981015911336777,126
59,游麵館 (竹北光明三店),uivy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.835368642301224,1589
60,麥當勞 (S146 竹北中華店),y0au,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,0.7108570904929261,17202
61,(極)黃燜雞米飯 (竹北三民店),vc5p,2,['中式'],False,19.0,79.0,25.0,5.0,0.40508661407151064,566
62,大廟厚切牛排 (新竹竹北店),w02q,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.3771658538017439,1699
63,大埔鐵板燒 (竹北光明店),z4sx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,0.6425776075473664,3567
64,台北永和豆漿大王 (新竹竹北店),vtec,2,['小吃'],False,19.0,79.0,25.0,5.0,0.6226098166422962,3665
65,85度C (竹北博愛店),e5wc,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,0.2773315301683662,1755
66,五桐號 (竹北三民店),ixzl,2,['飲料'],False,19.0,79.0,25.0,5.0,0.3702013834827056,175
67,八方雲集 (竹北博愛店),a5rw,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.4233439260347324,1858
68,誠記麵食館,v6lb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.406890966991655,1424
69,燒夜串燒 (新竹竹北店),p5u4,2,['小吃'],False,19.0,79.0,25.0,10.0,0.5528005654552914,197
70,大中華粥麵館 (新竹三民店),b0ng,2,"['麵食', '粥', '台式']",False,19.0,79.0,25.0,5.0,0.38105371658188664,2089
71,一生懸雞 (竹北三民店),f3pc,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.4248627824664322,1352
72,台北麻將麻辣臭豆腐 (新竹竹北店),srgy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,10.0,0.4200798632047274,871
73,Burger King 漢堡王 (竹北店),y4hp,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,1.153494951824229,4957
74,柯家牛肉麵館,n3gj,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.45536359816651134,994
75,開源社香雞排 (新竹竹北三民店),a9np,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.3661416046814341,2221
76,八方雲集 (竹北中正東店),d1vq,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,0.20862228302763391,1564
77,五桐號 (竹北正西店),odpg,2,['飲料'],False,19.0,79.0,25.0,5.0,1.1146710766033208,204
78,NU PASTA (竹北文信店),z6ce,3,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,0.5147950377305865,2266
79,珍煮丹 (竹北三民店),gthn,2,['飲料'],False,19.0,79.0,25.0,5.0,0.3698532221059627,1401
80,粥大福 (竹北博愛店),lfcu,2,"['粥', '台式']",False,19.0,79.0,25.0,5.0,0.8500600653869074,193
81,麻丹辣麻辣滷味(竹北店),t2nl,2,['小吃'],False,19.0,79.0,25.0,5.0,0.48659496176581274,3309
82,川牛木石亭 (竹北博愛店),s4yc,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.6251873702318084,374
83,焗的飽平價義式焗烤 (新竹竹北店),wup8,2,['歐美'],False,19.0,79.0,25.0,10.0,0.6252088472654731,119
84,自由創炒,teny,2,"['湯品', '台式']",False,19.0,79.0,40.0,20.0,0.36391846395553057,472
