,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台中清水店),alib,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,3.0353666511139465,435
1,老賴茶棧 (台中清水店),k167,2,['飲料'],False,15.0,79.0,25.0,5.0,2.26970639438462,313
2,麥當勞 (S268 清水中華店),b9pf,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,3.0355118503927065,10232
3,三裕食堂,f0va,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.4347391476951197,3181
4,大埔鐵板燒 (清水店),d4uc,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,2.2584532848025165,2595
5,派克雞排 (台中清水店),b4xj,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,2.136353732092627,2219
6,店長鴨血 (台中清水店),secl,2,"['麵食', '火鍋', '台式']",False,15.0,79.0,25.0,5.0,2.967692189852135,90
7,MK義式廚坊 (台中清水店),ub3m,2,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,2.219297899593129,129
8,六扇門 (台中清水店),d7fb,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,2.356343780798709,3974
9,Pizza Hut必勝客 (台中清水店),s69y,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,2.279487230309141,1124
10,圓稼嚼感奶茶 (清水中山店),airw,2,['飲料'],False,15.0,79.0,25.0,5.0,2.265090818533072,44
11,三媽臭臭鍋 (台中清水店),c0zp,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,3.0397095392511115,3503
12,大苑子 (台中清水店),b6mx,2,['飲料'],False,15.0,79.0,25.0,5.0,2.297942138410312,2834
13,胖老爹美式炸雞 (清水文昌店),p5au,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,10.0,2.3908534740120135,811
14,八岐麵飯屋,njip,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,2.3501625324925834,480
15,NU PASTA (清水光復店),d3xz,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.3464638409837097,1279
16,三商巧福 (4305沙鹿店),v7ny,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,3.68510922688279,2561
17,TEATOP 第一味 (清水中山店),j5ca,2,['飲料'],False,15.0,79.0,25.0,5.0,2.273620885846956,747
18,清心福全 (清水中山店),w1w5,2,['飲料'],False,15.0,79.0,25.0,5.0,2.264858562507459,83
19,五花馬水餃館 (台中沙鹿門市),a28n,2,"['湯品', '台式', '餃子']",False,15.0,79.0,30.0,10.0,3.7113055188006623,260
20,老周鮮魚湯,nn3e,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.676810277258851,110
21,85度C (台中清水店),d1rs,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,25.0,5.0,2.2914414010652298,1241
22,爭鮮迴轉壽司 (台中清水店),zt6i,2,['日式'],False,15.0,79.0,25.0,5.0,3.0377928600874795,157
23,爆Q美式炸雞 (台中清水店),b4ze,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,2.3448393162003622,1935
24,煮好了滷味．餐盒,r1mp,2,['小吃'],False,15.0,79.0,25.0,5.0,2.697520433027183,116
25,馬克來豆腐鍋,adr2,2,"['中式', '火鍋']",False,15.0,79.0,40.0,20.0,2.727331607905231,31
26,蒸大尾湯包,zhac,1,['中式'],False,15.0,79.0,25.0,10.0,2.235813070711574,27
27,巷內私廚,zkaf,2,"['湯品', '台式']",False,15.0,79.0,45.0,25.0,2.8589869275856157,324
28,清水仙草 (台中清水總店),rrvi,2,['甜點'],False,15.0,79.0,25.0,5.0,2.243449094461339,24
