,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S326 苑裡介壽店),qte8,2,"['漢堡', '歐美']",False,9.0,79.0,30.0,10.0,2.245240111707942,4782
1,夯銳串燒,na4m,2,['小吃'],False,9.0,79.0,30.0,10.0,2.3903520861873537,920
2,清心福全 (苑裡站前店),rfo1,1,['飲料'],False,9.0,79.0,30.0,5.0,3.508332531988357,169
3,85度C (苑裡中山店),n7ow,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,30.0,5.0,3.3207115684762254,1481
4,來來豆花,x4b2,1,['甜點'],False,9.0,79.0,35.0,15.0,2.1006602288942,103
5,鴨霸鴨肉飯,j6ow,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,2.3928355953529747,921
6,梁社漢排骨 (苗栗苑裡店),q0sc,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.235122972532002,196
7,茶御品飲料．剉冰專賣,r4mf,1,['甜點'],False,9.0,79.0,40.0,15.0,2.3990238578686722,462
8,達美樂 (苗栗苑裡店),v2so,3,"['披薩', '歐美']",False,30.0,199.0,30.0,15.0,3.624200726766784,535
9,豪記衘鮮雞,fp9k,2,['小吃'],False,9.0,79.0,40.0,15.0,2.3710785580733487,182
10,大安休閒燒烤,aa8m,2,['小吃'],False,9.0,79.0,40.0,15.0,2.5121725818240828,89
11,永和黑豆漿 (苗栗苑裡店),x4zr,1,['小吃'],False,9.0,79.0,40.0,15.0,3.408244113690289,3451
12,苑裡永和豆漿 (苗栗天下店),v6dr,1,['小吃'],False,9.0,79.0,40.0,15.0,3.389639629970016,821
13,BOOM炸彈蔥油餅 (大甲青二店),qidh,1,['小吃'],False,9.0,79.0,40.0,15.0,2.3692805801421803,28
14,豬血大王,m2g2,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,4.41973257620471,1060
15,小籠湯包,pvnj,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,4.424935589251695,1096
16,晨吉司漢肉排蛋吐司 (苑裡新生店),v9x0,1,"['早餐', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.636311855354288,80
17,朝氣美濃 (苑裡中山店),wnan,2,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.4414812797645764,19
18,南風月手工蛋餅,fq9z,1,['台式'],False,9.0,79.0,40.0,15.0,3.0601833150942213,15
19,鄭記 (苑裡中正店),deoj,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.5662626754919606,121
20,幸福職人湯包,dxp6,1,['小吃'],False,9.0,79.0,40.0,15.0,4.1793020500810565,75
21,呂記鵝肉,mt67,2,['台式'],False,9.0,79.0,40.0,15.0,3.584855954590835,13
22,吉興自助餐,y428,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,4.842470863956994,129
23,橙果活力站,p2ys,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.1646106565887635,584
24,雨琪紅豆餅,bwhn,1,['甜點'],False,9.0,79.0,40.0,15.0,3.48118231051711,1
25,大苑子 (苑裡店),n6pk,2,['飲料'],False,9.0,79.0,40.0,15.0,3.489197534542743,2072
26,八方雲集 (苗栗苑裡店),n6lp,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,3.5774184794214023,1456
27,喫茶小舖 (苑裡中山店),f2dc,2,['飲料'],False,9.0,79.0,40.0,15.0,3.4457616185537665,1631
28,清水茶香 (苗栗苑裡店),wnzs,2,['飲料'],False,9.0,79.0,40.0,15.0,3.45075684224584,61
29,特食豐原排骨酥麵 (苗栗苑裡店),sgwx,2,['台式'],False,9.0,79.0,40.0,15.0,3.3040567162419663,358
30,紅茶媽媽,uwdg,1,['飲料'],False,9.0,79.0,40.0,15.0,3.6197897274460185,109
31,鄉又香餐館,n6cb,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,3.4308078526063546,1145
32,享So健康餐,sx6l,1,"['便當', '健康餐']",False,9.0,79.0,40.0,15.0,4.3319702389025645,80
33,蛋白盒子健康餐 (苗栗苑裡店),p4xt,2,['健康餐'],False,9.0,79.0,40.0,15.0,3.6382931550329545,290
34,時勝日式專門,zarg,2,['日式'],False,9.0,79.0,40.0,15.0,3.319680363969886,226
35,三媽臭臭鍋 (苑裡店),f2rv,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.919265571921158,1111
36,大萊三鮮蒸餃 (苗栗苑裡店),m8ee,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,3.372148002005521,1019
37,川牛木石亭 (苑裡店),k0cw,2,"['便當', '日式']",False,9.0,79.0,40.0,15.0,3.4059337088829125,1082
38,悟饕池上飯包 (苑裡站前店),t3yy,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.426810868510731,541
39,Mr.Wish 鮮果茶玩家 (苑裡天下店),dani,2,['飲料'],False,9.0,79.0,40.0,15.0,3.440754173643138,19
40,日嚐義式料理,bpi7,2,['歐美'],False,9.0,79.0,40.0,15.0,3.394686809604354,31
41,天香皇品風味鍋 (苗栗苑裡店),dc6h,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,3.337110566998155,410
42,九妹小吃店,x1bm,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.579207336895535,680
43,大叔の車輪餅,y69e,1,['甜點'],False,9.0,79.0,40.0,15.0,3.5206589615753447,63
44,元氣屋平價牛排,u8ql,2,"['台式', '牛排']",False,9.0,79.0,40.0,15.0,3.598244348827285,612
45,BooM炸蛋蔥油餅 (苑裡大同店),h2fk,1,['小吃'],False,9.0,79.0,40.0,15.0,3.3442919564335285,813
46,鐵馬仔雞蛋糕,ea94,1,['甜點'],False,9.0,79.0,40.0,15.0,3.506319511525133,66
47,馬祖奶茶 (苑裡中山店),s3ar,1,['飲料'],False,9.0,79.0,40.0,15.0,3.569023302958293,51
48,夯銳串燒,na4m,2,['小吃'],False,9.0,79.0,30.0,10.0,2.3903520861873537,920
49,清心福全 (苑裡站前店),rfo1,1,['飲料'],False,9.0,79.0,30.0,5.0,3.508332531988357,169
50,85度C (苑裡中山店),n7ow,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,30.0,5.0,3.3207115684762254,1481
51,來來豆花,x4b2,1,['甜點'],False,9.0,79.0,35.0,15.0,2.1006602288942,103
52,鴨霸鴨肉飯,j6ow,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,2.3928355953529747,921
53,梁社漢排骨 (苗栗苑裡店),q0sc,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.235122972532002,196
54,茶御品飲料．剉冰專賣,r4mf,1,['甜點'],False,9.0,79.0,40.0,15.0,2.3990238578686722,462
55,達美樂 (苗栗苑裡店),v2so,3,"['披薩', '歐美']",False,30.0,199.0,30.0,15.0,3.624200726766784,535
56,豪記衘鮮雞,fp9k,2,['小吃'],False,9.0,79.0,40.0,15.0,2.3710785580733487,182
57,大安休閒燒烤,aa8m,2,['小吃'],False,9.0,79.0,40.0,15.0,2.5121725818240828,89
58,永和黑豆漿 (苗栗苑裡店),x4zr,1,['小吃'],False,9.0,79.0,40.0,15.0,3.408244113690289,3451
59,苑裡永和豆漿 (苗栗天下店),v6dr,1,['小吃'],False,9.0,79.0,40.0,15.0,3.389639629970016,821
60,BOOM炸彈蔥油餅 (大甲青二店),qidh,1,['小吃'],False,9.0,79.0,40.0,15.0,2.3692805801421803,28
61,豬血大王,m2g2,2,"['湯品', '台式']",False,9.0,79.0,40.0,15.0,4.41973257620471,1060
62,小籠湯包,pvnj,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,4.424935589251695,1096
63,晨吉司漢肉排蛋吐司 (苑裡新生店),v9x0,1,"['早餐', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.636311855354288,80
64,朝氣美濃 (苑裡中山店),wnan,2,"['早餐', '麵食', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.4414812797645764,19
65,南風月手工蛋餅,fq9z,1,['台式'],False,9.0,79.0,40.0,15.0,3.0601833150942213,15
66,鄭記 (苑裡中正店),deoj,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,3.5662626754919606,121
67,幸福職人湯包,dxp6,1,['小吃'],False,9.0,79.0,40.0,15.0,4.1793020500810565,75
68,呂記鵝肉,mt67,2,['台式'],False,9.0,79.0,40.0,15.0,3.584855954590835,13
69,吉興自助餐,y428,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,4.842470863956994,129
70,橙果活力站,p2ys,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,4.1646106565887635,584
71,雨琪紅豆餅,bwhn,1,['甜點'],False,9.0,79.0,40.0,15.0,3.48118231051711,1
72,大苑子 (苑裡店),n6pk,2,['飲料'],False,9.0,79.0,40.0,15.0,3.489197534542743,2072
73,八方雲集 (苗栗苑裡店),n6lp,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,3.5774184794214023,1456
74,喫茶小舖 (苑裡中山店),f2dc,2,['飲料'],False,9.0,79.0,40.0,15.0,3.4457616185537665,1631
75,清水茶香 (苗栗苑裡店),wnzs,2,['飲料'],False,9.0,79.0,40.0,15.0,3.45075684224584,61
76,特食豐原排骨酥麵 (苗栗苑裡店),sgwx,2,['台式'],False,9.0,79.0,40.0,15.0,3.3040567162419663,358
