,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,食光杯 (台中東勢店),hoah,2,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,1.1615967586927116,109
1,Pizza Hut必勝客 (台中東勢店),j0re,2,"['披薩', '歐美']",False,15.0,79.0,15.0,10.0,0.6575655340336372,1478
2,50嵐 (台中豐勢店),c9qx,1,['飲料'],False,15.0,79.0,10.0,5.0,0.41257907779934644,2916
3,麥當勞 (S280 東勢中正店),hof2,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,1.3846744570447302,1344
4,六扇門 (台中東勢店),f0a7,2,"['火鍋', '台式']",True,15.0,79.0,25.0,15.0,0.885913254543992,1692
5,七嘴八舌滷味 (台中東勢店),hnev,2,['小吃'],False,15.0,79.0,15.0,5.0,0.8819361564800801,193
6,豚將日本拉麵 (台中東勢店),c5fg,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,1.0753487432842357,1009
7,胖老爹美式炸雞 (台中東勢店),j1td,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,1.0768654419826735,1370
8,晴客 (東勢店),i9pt,1,['飲料'],False,15.0,79.0,10.0,5.0,0.5620398698953657,1003
9,TEATOP 第一味 (台中東勢店),ma0l,1,['飲料'],False,15.0,79.0,15.0,5.0,0.6444118312321692,971
10,鬼匠拉麵x九條牛牛肉麵 (台中東勢店),gryv,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.8819361564800801,22
11,御青方麻辣臭豆腐 (台中東勢店),j5ux,2,"['火鍋', '台式']",False,15.0,79.0,10.0,5.0,0.3366409419592716,823
12,大碗公冰·甜品 (台中東勢店),cfnb,1,['甜點'],False,15.0,79.0,15.0,10.0,1.0078505138686196,610
13,玫瑰廚房,sfuq,2,"['湯品', '台式']",False,15.0,79.0,30.0,20.0,1.7644145881857123,126
14,白巷子 (台中東勢店),g543,2,['飲料'],False,15.0,79.0,20.0,10.0,0.8774135966593085,4
15,貴族世家 (台中東勢店),jzi4,2,"['歐美', '牛排']",False,15.0,79.0,20.0,15.0,1.2877190228725397,243
16,迷客夏 Milksha (台中東勢店),cait,2,['飲料'],False,15.0,79.0,20.0,10.0,0.9942506414303127,0
17,双久茶行sHUAN JU tea,rtyn,1,['飲料'],False,15.0,79.0,10.0,5.0,0.42510561948953857,141
18,茶聚 (東勢三民店),t6a7,1,['飲料'],True,15.0,79.0,10.0,5.0,0.5431972727605415,903
19,日出客棧-小農鮮奶 (東勢豐勢店),yjg1,1,['飲料'],False,15.0,79.0,15.0,5.0,0.7557733055279755,51
20,弘爺漢堡 (台中寵愛店),sad7,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.3865404924645929,952
21,拉亞漢堡 (東勢東崎店),kzmx,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,0.36429119368250207,1673
22,來點什麼 (台中東勢店),c8sk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.30585299478963346,1929
23,美味早餐 (台中東勢店),k2lw,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,2.12334271147909,1422
24,阿珍早餐,ijsb,1,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,0.7882388638420554,23
25,李記蔥抓餅,qm8l,1,['小吃'],False,15.0,79.0,40.0,15.0,0.4511796062477754,116
26,麥味登 (東勢新盛店),kjcv,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,0.39460607709149803,69
27,詹炒麵,al06,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,1.0725679895118978,146
