,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,熊棧日式鍋燒麵,b4ka,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.2740898457900969,878
1,Burger King 漢堡王 (台中沙鹿店),spgu,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,0.789292357976998,849
2,水巷茶弄 (沙鹿靜宜店),d5jj,1,['飲料'],False,15.0,79.0,25.0,5.0,1.7665895662940976,2294
3,老賴茶棧 (台中清水店),k167,2,['飲料'],False,15.0,79.0,30.0,5.0,4.10988552783085,313
4,SHARE TEA歇腳亭 (沙鹿中山店),kunm,2,['飲料'],False,15.0,79.0,20.0,5.0,0.28209456578561637,418
5,新井茶沙鹿店,b6ge,2,['飲料'],False,15.0,79.0,20.0,5.0,0.7956451452567874,1581
6,新井茶 (梧棲中央店),cm96,2,['飲料'],False,15.0,79.0,25.0,5.0,2.654829797026653,468
7,50嵐 (沙鹿中山店),e9qt,2,['飲料'],False,15.0,79.0,20.0,5.0,0.3291351344271849,2706
8,阿杜皇家泰式料理 (台中沙鹿店),xe41,2,"['便當', '東南亞']",False,15.0,79.0,25.0,10.0,0.7223883184265362,128
9,尚石苑石頭火鍋專賣,n1ca,3,"['火鍋', '台式']",True,15.0,79.0,35.0,20.0,0.1955781690766773,940
10,鍋賣局 (沙鹿店),f2vz,2,"['火鍋', '台式']",True,15.0,79.0,35.0,25.0,0.772076777595205,1373
11,十二段鍋物 (台中沙鹿店),ccby,3,"['火鍋', '日式']",False,15.0,79.0,30.0,15.0,0.6450786133946471,122
12,沐鍋物,iaj9,2,"['中式', '火鍋']",False,15.0,79.0,35.0,20.0,1.4908570586046217,29
13,麥當勞 (S301 沙鹿沙田店),b8ez,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.2769723201173883,13111
14,好翅雞 香酥雞,m9up,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.5640523871945649,701
15,豪傳說雞排 (台中沙鹿店),y25f,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.22493288028717912,528
16,漢林鐵板燒 (台中沙鹿店),a3ms,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.5436093044197049,3600
17,翅客雞排 (沙鹿沙田店),m6ou,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.3456314225856382,447
18,五路鍋聖 (台中沙鹿店),b6zi,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,0.3176992489942089,4375
19,50嵐 (沙鹿鎮南店),e4oj,2,['飲料'],False,15.0,79.0,20.0,5.0,0.1503458660733862,3197
