,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,食光杯 (台中東勢店),hoah,2,"['歐美', '麵食']",False,15.0,79.0,15.0,10.0,0.2369199215156935,109
1,Pizza Hut必勝客 (台中東勢店),j0re,2,"['披薩', '歐美']",False,15.0,79.0,15.0,10.0,0.45830213481705173,1478
2,麥當勞 (S280 東勢中正店),hof2,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.596190115057541,1344
3,六扇門 (台中東勢店),f0a7,2,"['火鍋', '台式']",True,15.0,79.0,20.0,15.0,0.2716113802264767,1692
4,豚將日本拉麵 (台中東勢店),c5fg,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.17584629182171282,1009
5,胖老爹美式炸雞 (台中東勢店),j1td,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,15.0,0.19219222766352814,1370
6,七嘴八舌滷味 (台中東勢店),hnev,2,['小吃'],False,15.0,79.0,10.0,5.0,0.26513930688037696,193
7,50嵐 (台中豐勢店),c9qx,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8056252256297789,2916
8,鬼匠拉麵x九條牛牛肉麵 (台中東勢店),gryv,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.26513930688037696,22
9,大碗公冰·甜品 (台中東勢店),cfnb,1,['甜點'],False,15.0,79.0,15.0,10.0,0.09196091821131311,610
10,TEATOP 第一味 (台中東勢店),ma0l,1,['飲料'],False,15.0,79.0,10.0,5.0,0.5399653650434583,971
11,晴客 (東勢店),i9pt,1,['飲料'],False,15.0,79.0,10.0,5.0,0.5662290616843569,1003
12,御青方麻辣臭豆腐 (台中東勢店),j5ux,2,"['火鍋', '台式']",False,15.0,79.0,15.0,5.0,0.8892547115844227,823
13,白巷子 (台中東勢店),g543,2,['飲料'],False,15.0,79.0,15.0,10.0,0.25399388706852166,4
14,貴族世家 (台中東勢店),jzi4,2,"['歐美', '牛排']",False,15.0,79.0,20.0,15.0,0.5664282742744415,243
15,玫瑰廚房,sfuq,2,"['湯品', '台式']",False,15.0,79.0,30.0,20.0,2.845693657042029,126
16,迷客夏 Milksha (台中東勢店),cait,2,['飲料'],False,15.0,79.0,15.0,10.0,0.21811508839241925,0
17,日出客棧-小農鮮奶 (東勢豐勢店),yjg1,1,['飲料'],False,15.0,79.0,10.0,5.0,0.41290568022916035,51
18,茶聚 (東勢三民店),t6a7,1,['飲料'],True,15.0,79.0,10.0,5.0,0.5846865096652251,903
19,双久茶行sHUAN JU tea,rtyn,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8083222869619826,141
20,弘爺漢堡 (台中寵愛店),sad7,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.7521740077409681,952
21,拉亞漢堡 (東勢東崎店),kzmx,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,0.7528110696268712,1673
22,來點什麼 (台中東勢店),c8sk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.7882688660421591,1929
23,美味早餐 (台中東勢店),k2lw,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.4544438845464303,1422
24,阿珍早餐,ijsb,1,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,1.3147650593648939,23
25,李記蔥抓餅,qm8l,1,['小吃'],False,15.0,79.0,40.0,15.0,0.7269923866018945,116
26,麥味登 (東勢新盛店),kjcv,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.346281726685979,69
27,詹炒麵,al06,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.18239187673784155,146
28,吳媽媽麵店,vr33,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.2440790775472773,16
29,成功牛排 (台中東勢店),x5qf,2,"['台式', '牛排']",False,15.0,79.0,40.0,15.0,0.707326730064734,102
30,清心福全 (石岡豐勢二店),l5vn,1,['飲料'],False,15.0,79.0,40.0,15.0,1.4049328322042125,573
31,萬波島嶼紅茶 (台中東勢店),fpso,2,['飲料'],False,15.0,79.0,40.0,15.0,0.49980819063261345,178
32,可不可熟成紅茶 (東勢豐勢店),hy7l,1,['飲料'],False,15.0,79.0,40.0,15.0,0.24395137357785288,576
33,東宮小吃,nx1y,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,15.0,0.45312759214626364,2773
34,瑞香小吃,ecf7,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,1.2555062974066196,948
35,食神廣東粥 (台中東勢店),roon,2,"['中式', '湯品', '粥']",False,15.0,79.0,40.0,15.0,0.7094660536914571,512
36,咖哩咖哩小屋,l5yk,1,"['咖哩', '日式']",False,15.0,79.0,40.0,15.0,0.506789727601287,46
37,八方雲集 (東勢三民店),wu98,2,"['台式', '餃子']",False,15.0,79.0,40.0,15.0,0.17337148282742199,864
38,小泉茶吧,z24d,1,['飲料'],False,15.0,79.0,40.0,15.0,0.369595277962626,233
39,拾山,ejpq,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.5295816171474255,37
40,米奧屋台式茶飲,l9dw,1,['飲料'],False,15.0,79.0,40.0,15.0,0.09114780823199344,516
41,松之富日式食堂,s09a,2,"['麵食', '日式']",False,15.0,79.0,40.0,15.0,0.8722694734125446,48
42,嵩香茶行,i7hj,2,['飲料'],False,15.0,79.0,40.0,15.0,0.5272432773097775,454
43,T4清茶達人 (台中東勢店),zsx8,2,['飲料'],False,15.0,79.0,40.0,15.0,0.5439191161312829,642
44,台西鵝肉快炒店,yz7i,3,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.6601972337286334,97
45,鳳檸茶飲料店,x4ap,1,['飲料'],False,15.0,79.0,40.0,15.0,1.2155549114376876,133
46,一福味麵食館,h8yd,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,0.22222256182940262,626
47,GABI咖啡,i7gd,1,"['咖啡', '飲料']",False,15.0,79.0,40.0,15.0,0.7561341816893066,70
48,Pizza Hut必勝客 (台中東勢店),j0re,2,"['披薩', '歐美']",False,15.0,79.0,15.0,10.0,0.45830213481705173,1478
49,麥當勞 (S280 東勢中正店),hof2,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.596190115057541,1344
50,六扇門 (台中東勢店),f0a7,2,"['火鍋', '台式']",True,15.0,79.0,20.0,15.0,0.2716113802264767,1692
51,豚將日本拉麵 (台中東勢店),c5fg,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.17584629182171282,1009
52,胖老爹美式炸雞 (台中東勢店),j1td,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,15.0,0.19219222766352814,1370
53,七嘴八舌滷味 (台中東勢店),hnev,2,['小吃'],False,15.0,79.0,10.0,5.0,0.26513930688037696,193
54,50嵐 (台中豐勢店),c9qx,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8056252256297789,2916
55,鬼匠拉麵x九條牛牛肉麵 (台中東勢店),gryv,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.26513930688037696,22
56,大碗公冰·甜品 (台中東勢店),cfnb,1,['甜點'],False,15.0,79.0,15.0,10.0,0.09196091821131311,610
57,TEATOP 第一味 (台中東勢店),ma0l,1,['飲料'],False,15.0,79.0,10.0,5.0,0.5399653650434583,971
58,晴客 (東勢店),i9pt,1,['飲料'],False,15.0,79.0,10.0,5.0,0.5662290616843569,1003
59,御青方麻辣臭豆腐 (台中東勢店),j5ux,2,"['火鍋', '台式']",False,15.0,79.0,15.0,5.0,0.8892547115844227,823
60,白巷子 (台中東勢店),g543,2,['飲料'],False,15.0,79.0,15.0,10.0,0.25399388706852166,4
61,貴族世家 (台中東勢店),jzi4,2,"['歐美', '牛排']",False,15.0,79.0,20.0,15.0,0.5664282742744415,243
62,玫瑰廚房,sfuq,2,"['湯品', '台式']",False,15.0,79.0,30.0,20.0,2.845693657042029,126
63,迷客夏 Milksha (台中東勢店),cait,2,['飲料'],False,15.0,79.0,15.0,10.0,0.21811508839241925,0
64,日出客棧-小農鮮奶 (東勢豐勢店),yjg1,1,['飲料'],False,15.0,79.0,10.0,5.0,0.41290568022916035,51
65,茶聚 (東勢三民店),t6a7,1,['飲料'],True,15.0,79.0,10.0,5.0,0.5846865096652251,903
66,双久茶行sHUAN JU tea,rtyn,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8083222869619826,141
67,弘爺漢堡 (台中寵愛店),sad7,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.7521740077409681,952
68,拉亞漢堡 (東勢東崎店),kzmx,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,0.7528110696268712,1673
69,來點什麼 (台中東勢店),c8sk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.7882688660421591,1929
70,美味早餐 (台中東勢店),k2lw,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.4544438845464303,1422
71,阿珍早餐,ijsb,1,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,1.3147650593648939,23
72,李記蔥抓餅,qm8l,1,['小吃'],False,15.0,79.0,40.0,15.0,0.7269923866018945,116
73,麥味登 (東勢新盛店),kjcv,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.346281726685979,69
74,詹炒麵,al06,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.18239187673784155,146
75,吳媽媽麵店,vr33,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.2440790775472773,16
76,成功牛排 (台中東勢店),x5qf,2,"['台式', '牛排']",False,15.0,79.0,40.0,15.0,0.707326730064734,102
77,清心福全 (石岡豐勢二店),l5vn,1,['飲料'],False,15.0,79.0,40.0,15.0,1.4049328322042125,573
78,萬波島嶼紅茶 (台中東勢店),fpso,2,['飲料'],False,15.0,79.0,40.0,15.0,0.49980819063261345,178
79,可不可熟成紅茶 (東勢豐勢店),hy7l,1,['飲料'],False,15.0,79.0,40.0,15.0,0.24395137357785288,576
80,東宮小吃,nx1y,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,15.0,0.45312759214626364,2773
81,瑞香小吃,ecf7,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,1.2555062974066196,948
82,食神廣東粥 (台中東勢店),roon,2,"['中式', '湯品', '粥']",False,15.0,79.0,40.0,15.0,0.7094660536914571,512
83,咖哩咖哩小屋,l5yk,1,"['咖哩', '日式']",False,15.0,79.0,40.0,15.0,0.506789727601287,46
84,八方雲集 (東勢三民店),wu98,2,"['台式', '餃子']",False,15.0,79.0,40.0,15.0,0.17337148282742199,864
85,小泉茶吧,z24d,1,['飲料'],False,15.0,79.0,40.0,15.0,0.369595277962626,233
86,拾山,ejpq,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.5295816171474255,37
87,米奧屋台式茶飲,l9dw,1,['飲料'],False,15.0,79.0,40.0,15.0,0.09114780823199344,516
88,松之富日式食堂,s09a,2,"['麵食', '日式']",False,15.0,79.0,40.0,15.0,0.8722694734125446,48
89,嵩香茶行,i7hj,2,['飲料'],False,15.0,79.0,40.0,15.0,0.5272432773097775,454
90,T4清茶達人 (台中東勢店),zsx8,2,['飲料'],False,15.0,79.0,40.0,15.0,0.5439191161312829,642
91,台西鵝肉快炒店,yz7i,3,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.6601972337286334,97
92,鳳檸茶飲料店,x4ap,1,['飲料'],False,15.0,79.0,40.0,15.0,1.2155549114376876,133
93,一福味麵食館,h8yd,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,0.22222256182940262,626
94,GABI咖啡,i7gd,1,"['咖啡', '飲料']",False,15.0,79.0,40.0,15.0,0.7561341816893066,70
95,八炸豆乳雞炸雞本舖,i3by,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,1.054991329628222,473
96,港茶茶飲專門店,kqov,1,['飲料'],False,15.0,79.0,40.0,15.0,0.5400349787862393,42
97,反轉厚奶酥 (台中東勢店),xdv7,1,['甜點'],False,15.0,79.0,40.0,15.0,0.5605918774024136,74
98,我家炸雞,x0pf,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,0.1042779775974354,585
99,威弟轟炸雞,r694,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,1.2758985198280022,121
100,炭火工坊,j6pq,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,0.27597176649519567,183
101,鐵人早午餐,d5j3,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.30136651623869526,178
102,三民早午餐,erfb,1,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,0.11068150649096314,268
103,巧味鮮飯麵館,w50o,1,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.40318086360930383,427
104,天天豆乳雞炸物,a7vt,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,10.0,0.49594874520343923,1110
