,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,早點見面,aed9,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,1.4621433232670968,6
1,說吧咖啡飲品輕食館,plnd,2,"['咖啡', '飲料']",False,19.0,79.0,40.0,15.0,1.7841227309704133,1
2,清燉牛肉湯、飯、麵,utt3,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.026897220654168,20
3,大排檔蒜香烤魚,q68k,2,['小吃'],False,19.0,79.0,40.0,15.0,3.2450043249739817,8
4,米咕家日式飯糰(竹北總店),d2gl,2,['日式'],False,19.0,79.0,40.0,10.0,4.314420842754425,904
5,早安美芝城 (新豐活力康樂店),t8bw,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.893970429079506,2527
6,百分百早餐屋,j4kc,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.240532695674705,1570
7,88早午餐 (新竹新豐店),iwfc,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.4412822649551025,27
8,踢鐵板-韓式早午餐,wffj,2,"['早餐', '韓式']",False,19.0,79.0,40.0,15.0,4.563062964066988,2532
9,無名小籠包,upfq,2,['中式'],False,19.0,79.0,40.0,15.0,2.8783331254868156,282
10,琦琦美而美,ijk4,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.036757011025161,156
11,台北大腸+蚵仔麵線 (竹北中正西店),i4ge,2,"['麵食', '小吃']",False,19.0,79.0,40.0,15.0,4.247528676022141,893
12,麥味登 (新豐明新店),xley,1,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.766092239289654,0
13,歐浮找餐 (新豐明新店),p163,1,"['早餐', '漢堡', '歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.733525127658606,0
14,德安便當,pp43,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,4.2674780486300135,943
15,灶燒食坊,z6az,1,"['便當', '台式']",False,19.0,79.0,40.0,10.0,3.9483041547398865,1342
16,抓飛機早安食堂,k8ya,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.442514605037973,601
17,甘泉魚麵 (竹北環北店),o1fc,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,4.2993795236146255,1615
18,47 pasta,gch8,2,"['歐美', '麵食']",False,19.0,79.0,40.0,15.0,3.7196721689669445,17
19,福泰林鐵板燒,b4hm,2,"['鐵板燒', '台式']",False,19.0,79.0,40.0,10.0,4.366144226093405,365
20,幽靈馬車 (新竹新豐店),x5ow,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.4584708485690117,1011
21,鳳麟粥飯麵食館 (中正西店),iaiv,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.648249855545776,1320
22,開源社香雞排 (新竹中正西店),f8sc,2,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,4.69067081458591,1215
23,川燒川味酒館,x3if,2,['中式'],False,19.0,79.0,40.0,15.0,3.9058275140370227,36
24,昕奇吉拿棒,z1e2,1,"['歐美', '麵食']",False,19.0,79.0,40.0,15.0,4.130808853073323,20
25,田園風味,nypg,2,"['小吃', '台式']",False,19.0,79.0,40.0,15.0,3.49751143359132,0
26,說吧咖啡飲品輕食館,plnd,2,"['咖啡', '飲料']",False,19.0,79.0,40.0,15.0,1.7841227309704133,1
27,清燉牛肉湯、飯、麵,utt3,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.026897220654168,20
28,大排檔蒜香烤魚,q68k,2,['小吃'],False,19.0,79.0,40.0,15.0,3.2450043249739817,8
29,米咕家日式飯糰(竹北總店),d2gl,2,['日式'],False,19.0,79.0,40.0,10.0,4.314420842754425,904
30,早安美芝城 (新豐活力康樂店),t8bw,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.893970429079506,2527
31,百分百早餐屋,j4kc,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.240532695674705,1570
32,88早午餐 (新竹新豐店),iwfc,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.4412822649551025,27
33,踢鐵板-韓式早午餐,wffj,2,"['早餐', '韓式']",False,19.0,79.0,40.0,15.0,4.563062964066988,2532
34,無名小籠包,upfq,2,['中式'],False,19.0,79.0,40.0,15.0,2.8783331254868156,282
35,琦琦美而美,ijk4,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.036757011025161,156
36,台北大腸+蚵仔麵線 (竹北中正西店),i4ge,2,"['麵食', '小吃']",False,19.0,79.0,40.0,15.0,4.247528676022141,893
37,麥味登 (新豐明新店),xley,1,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.766092239289654,0
