,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (竹北中華店),z7sa,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,0.3427415741709535,3350
1,宏味港式臭豆腐,d1ir,2,['小吃'],False,19.0,79.0,25.0,5.0,0.6923274446768297,1294
2,麵朝 (竹北博愛店),o6kb,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6785274111513544,1434
3,四海遊龍 (竹北二店),l0xn,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6694410316994381,2076
4,中正雞場鹽水雞 (竹北三民店),rvxx,2,['小吃'],False,19.0,79.0,25.0,5.0,0.7425363663620117,581
5,果霸茶 (竹北博愛店),xz4t,2,['飲料'],False,19.0,79.0,25.0,5.0,0.6647088223017524,104
6,鍋賣局 (竹北家樂福店),i9ly,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,1.2730662029760298,747
7,好吸HITS THE SPOT (新竹竹北店),nt7r,2,['飲料'],False,19.0,79.0,25.0,5.0,0.30110594516794037,48
8,御私藏 (竹北中正西店),i9tl,2,['飲料'],False,19.0,79.0,25.0,10.0,0.35314905575365735,2458
9,老賴茶棧 (竹北正西店),a9nc,2,['飲料'],True,19.0,79.0,20.0,5.0,0.24624674222377063,1865
10,顏記幽靈馬車(竹北高中對面),c8gx,2,['小吃'],True,19.0,79.0,20.0,5.0,0.27030823922142305,1607
11,涮肉亭麻辣鍋 (竹北光明店),smnk,3,"['中式', '火鍋']",False,19.0,79.0,50.0,35.0,1.0936550873766142,126
12,游麵館 (竹北光明三店),uivy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,1.1951270288717206,1589
13,麥當勞 (S146 竹北中華店),y0au,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,0.3775777185016351,17202
14,五桐號 (竹北正西店),odpg,2,['飲料'],False,19.0,79.0,20.0,5.0,0.24054013828813095,204
15,(極)黃燜雞米飯 (竹北三民店),vc5p,2,['中式'],False,19.0,79.0,25.0,5.0,1.1901351238487652,566
16,大埔鐵板燒 (竹北光明店),z4sx,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,0.8663348511109012,3567
17,大廟厚切牛排 (新竹竹北店),w02q,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.9937907742462282,1699
18,八方雲集 (竹北博愛店),a5rw,2,"['台式', '餃子']",False,19.0,79.0,25.0,5.0,0.6655450800619421,1858
19,燒夜串燒 (新竹竹北店),p5u4,2,['小吃'],False,19.0,79.0,25.0,10.0,0.6803013545817859,197
20,五桐號 (竹北三民店),ixzl,2,['飲料'],False,19.0,79.0,25.0,5.0,0.9426825136102868,175
21,一生懸雞 (竹北三民店),f3pc,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.7407672812072155,1352
22,粥大福 (竹北博愛店),lfcu,2,"['粥', '台式']",False,19.0,79.0,25.0,5.0,0.7234577891913013,193
23,愛麵子小吃,f6nd,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,10.0,0.6506789085994129,1925
24,台北永和豆漿大王 (新竹竹北店),vtec,2,['小吃'],False,19.0,79.0,25.0,5.0,1.6792494416343458,3665
25,台北麻將麻辣臭豆腐 (新竹竹北店),srgy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,10.0,0.7546816810637443,871
