,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,TEATOP 第一味 (豐原豐勢店),f5rq,1,['飲料'],False,15.0,79.0,20.0,5.0,2.3183413712809378,533
1,清心福全 (豐原豐勢店),p2uh,1,['飲料'],False,15.0,79.0,25.0,5.0,3.4790852314182517,754
2,台茶1号 (石岡豐勢店),o3xx,1,['飲料'],False,15.0,79.0,15.0,5.0,0.3517495740315179,203
3,淘淘冷熱飲料店,b4ob,1,['飲料'],False,15.0,79.0,20.0,5.0,3.1305476463352493,452
4,田園漢堡早餐店,p4za,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,3.9691595998841533,708
5,漢堡大師 (豐原翁子店),ydwr,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.657252803716549,150
6,糜啡咖啡小館,d5zb,1,"['甜點', '咖啡']",False,15.0,79.0,40.0,10.0,3.161386729651525,425
7,紅茶洋行 (台中水源店),wswa,1,['飲料'],False,15.0,79.0,40.0,15.0,3.978346092942952,216
8,SKF 早晚餐宵夜,nkou,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.4344074543170637,193
9,清心福全 (豐原豐勢店),p2uh,1,['飲料'],False,15.0,79.0,25.0,5.0,3.4790852314182517,754
10,台茶1号 (石岡豐勢店),o3xx,1,['飲料'],False,15.0,79.0,15.0,5.0,0.3517495740315179,203
11,淘淘冷熱飲料店,b4ob,1,['飲料'],False,15.0,79.0,20.0,5.0,3.1305476463352493,452
12,田園漢堡早餐店,p4za,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,3.9691595998841533,708
13,漢堡大師 (豐原翁子店),ydwr,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.657252803716549,150
14,糜啡咖啡小館,d5zb,1,"['甜點', '咖啡']",False,15.0,79.0,40.0,10.0,3.161386729651525,425
15,紅茶洋行 (台中水源店),wswa,1,['飲料'],False,15.0,79.0,40.0,15.0,3.978346092942952,216
16,SKF 早晚餐宵夜,nkou,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,0.4344074543170637,193
