,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Mr.Wish 鮮果茶玩家 (金門民權店),kodj,2,['飲料'],False,39.0,79.0,15.0,5.0,0.15872226440905365,60
1,食神滷味 (金門金城店),c2px,2,['小吃'],False,39.0,79.0,15.0,5.0,0.13052832998175784,751
2,吳記麻辣滷味,s4jc,2,['小吃'],False,39.0,79.0,20.0,10.0,0.2129901552116664,430
3,大仔炸雞,hb2s,2,"['小吃', '炸雞']",False,39.0,79.0,25.0,15.0,0.24689214712566288,199
4,可不可熟成紅茶 (金門金城店),cwg4,1,['飲料'],False,39.0,79.0,15.0,5.0,0.13348102629687436,909
5,摩斯漢堡Mos Burger (金門民權店),d0if,2,"['漢堡', '日式']",False,30.0,79.0,30.0,15.0,0.6311265929860538,3676
6,3Q脆皮雞排 (金門金城總店),q2ez,2,"['小吃', '炸雞']",False,30.0,79.0,30.0,15.0,0.5534317820001927,2891
7,潮味決-麻辣燙 燒滷味 (金門金城店),d3is,2,['台式'],True,39.0,79.0,30.0,20.0,0.157226832414393,2007
8,CoCo都可 (金門金城店),vcu6,2,['飲料'],False,39.0,79.0,25.0,15.0,0.25913520597506007,650
9,丁丁炸雞,hloo,2,['小吃'],False,39.0,79.0,20.0,10.0,0.5186409023628901,130
10,饗夜食堂 (金門金城店),c2fe,2,"['湯品', '麵食', '台式']",False,30.0,79.0,15.0,5.0,0.6414047369527942,903
11,鄉香滷味,d0kz,2,['小吃'],False,30.0,79.0,20.0,10.0,0.25320167379920616,899
12,金城小么雞,d4vn,2,['小吃'],False,30.0,79.0,15.0,5.0,0.23369218681558773,924
13,8°1小吃,x5la,1,"['湯品', '便當', '台式']",False,30.0,79.0,15.0,5.0,0.18191430364809463,521
14,1855X圓石 健康手搖飲,pexy,2,['飲料'],False,39.0,79.0,15.0,5.0,0.25055285436689195,123
15,豚將日本拉麵 (金門金城店),r2yb,2,"['麵食', '日式']",False,30.0,79.0,40.0,30.0,0.24954517137089197,1236
16,艋舺雞排 (金門金城店),xlpz,2,"['小吃', '炸雞']",False,30.0,79.0,20.0,10.0,0.2579604239242504,562
17,麻古茶坊 (金門金城店),hnx2,2,['飲料'],False,30.0,79.0,40.0,30.0,0.3018441161057425,403
18,隨憶SuiYi cafe 義式咖啡/茶飲/雞蛋仔/鬆餅,buvk,2,"['甜點', '咖啡']",False,30.0,79.0,20.0,10.0,0.26509894587961985,587
19,大呼過癮臭臭鍋 (金門金城店),fv1w,2,"['火鍋', '台式']",False,30.0,79.0,30.0,20.0,0.543222094548167,615
20,老先覺功夫窯燒鍋 (金門金城MiNi店),d8lu,2,"['火鍋', '台式']",True,39.0,79.0,30.0,20.0,0.5358177624689203,1373
21,歐老板火鍋炸物,i5ti,2,"['火鍋', '台式']",False,39.0,79.0,30.0,20.0,0.34930442529302486,1263
