,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,老先覺功夫窯燒鍋 (金門金湖MiNi店),jkej,2,"['火鍋', '台式']",False,39.0,79.0,20.0,10.0,0.17134742298052302,19
1,Homee Cafe (昇恆昌金湖廣場店),g3jh,3,"['歐美', '麵食']",False,39.0,79.0,40.0,15.0,0.47787950977895494,8
2,STARBUCKS 星巴克 (金門金湖門市),e4p8,2,"['歐美', '飲料']",False,39.0,79.0,40.0,15.0,0.4341148287569187,78
3,金湖飯店,p0fe,2,['台式'],False,30.0,79.0,40.0,15.0,0.5190777926815459,12
4,卡彿魯岸咖啡金門店,mppi,2,"['咖啡', '飲料']",False,39.0,79.0,40.0,15.0,0.5005899408042552,2
5,爸氣,d0ns,2,"['麵食', '小吃']",False,39.0,79.0,40.0,10.0,0.2360978547308052,121
6,Homee Cafe (昇恆昌金湖廣場店),g3jh,3,"['歐美', '麵食']",False,39.0,79.0,40.0,15.0,0.47787950977895494,8
7,STARBUCKS 星巴克 (金門金湖門市),e4p8,2,"['歐美', '飲料']",False,39.0,79.0,40.0,15.0,0.4341148287569187,78
8,金湖飯店,p0fe,2,['台式'],False,30.0,79.0,40.0,15.0,0.5190777926815459,12
9,卡彿魯岸咖啡金門店,mppi,2,"['咖啡', '飲料']",False,39.0,79.0,40.0,15.0,0.5005899408042552,2
10,爸氣,d0ns,2,"['麵食', '小吃']",False,39.0,79.0,40.0,10.0,0.2360978547308052,121
