,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,摩斯漢堡Mos Burger (金門民權店),d0if,2,"['漢堡', '日式']",False,30.0,79.0,30.0,15.0,1.9891025871789523,3676
1,吳記麻辣滷味,s4jc,2,['小吃'],False,39.0,79.0,25.0,10.0,2.3987828617629257,430
2,Mr.Wish 鮮果茶玩家 (金門民權店),kodj,2,['飲料'],False,39.0,79.0,20.0,5.0,2.4391949569336977,60
3,3Q脆皮雞排 (金門金城總店),q2ez,2,"['小吃', '炸雞']",False,30.0,79.0,30.0,15.0,2.762355442559962,2891
4,CoCo都可 (金門金城店),vcu6,2,['飲料'],False,39.0,79.0,25.0,15.0,2.356028443146195,650
5,閒霞之姨,t1mp,2,"['便當', '台式']",False,39.0,79.0,20.0,10.0,1.9068931649253138,66
6,可不可熟成紅茶 (金門金城店),cwg4,1,['飲料'],False,39.0,79.0,20.0,5.0,2.466808540312376,909
7,鄉香滷味,d0kz,2,['小吃'],False,30.0,79.0,20.0,10.0,2.4126574303119495,899
8,食神滷味 (金門金城店),c2px,2,['小吃'],False,39.0,79.0,20.0,5.0,2.6942875061804687,751
9,饗夜食堂 (金門金城店),c2fe,2,"['湯品', '麵食', '台式']",False,30.0,79.0,20.0,5.0,2.5246287732732102,903
10,大仔炸雞,hb2s,2,"['小吃', '炸雞']",False,39.0,79.0,30.0,15.0,2.800367313473342,199
11,潮味決-麻辣燙 燒滷味 (金門金城店),d3is,2,['台式'],True,39.0,79.0,35.0,20.0,2.4102366278405722,2007
12,燒烤福物處,oyki,2,"['麵食', '台式']",False,39.0,79.0,40.0,30.0,0.80943039088605,47
13,丁丁炸雞,hloo,2,['小吃'],False,39.0,79.0,25.0,10.0,3.038836441665783,130
14,1855X圓石 健康手搖飲,pexy,2,['飲料'],False,39.0,79.0,20.0,5.0,2.404317850296272,123
15,金城小么雞,d4vn,2,['小吃'],False,30.0,79.0,20.0,5.0,2.666630906571555,924
16,麻古茶坊 (金門金城店),hnx2,2,['飲料'],False,30.0,79.0,45.0,30.0,2.426811403049293,403
17,艋舺雞排 (金門金城店),xlpz,2,"['小吃', '炸雞']",False,30.0,79.0,25.0,10.0,2.444019795607904,562
18,8°1小吃,x5la,1,"['湯品', '便當', '台式']",False,30.0,79.0,20.0,5.0,2.745683887447275,521
19,雪屋,k2ae,1,['甜點'],False,39.0,79.0,20.0,5.0,2.6805463856433085,826
20,日式屋,knc7,2,['日式'],False,30.0,79.0,20.0,5.0,2.519652706502863,335
21,豚將日本拉麵 (金門金城店),r2yb,2,"['麵食', '日式']",False,30.0,79.0,45.0,30.0,2.7920773933680576,1236
22,隨憶SuiYi cafe 義式咖啡/茶飲/雞蛋仔/鬆餅,buvk,2,"['甜點', '咖啡']",False,30.0,79.0,25.0,10.0,2.821545700221429,587
23,鍋賣局 (金城民生店),d7oh,2,"['火鍋', '台式']",False,30.0,79.0,35.0,20.0,2.391542555697657,1647
24,大呼過癮臭臭鍋 (金門金城店),fv1w,2,"['火鍋', '台式']",False,30.0,79.0,35.0,20.0,2.9783174289286203,615
25,老先覺功夫窯燒鍋 (金門金城MiNi店),d8lu,2,"['火鍋', '台式']",True,39.0,79.0,35.0,20.0,2.9408563317228205,1373
26,喫鍋頂級平價小火鍋,ump7,2,"['火鍋', '台式']",False,39.0,79.0,35.0,20.0,2.2710476103705277,81
27,歐老板火鍋炸物,i5ti,2,"['火鍋', '台式']",False,39.0,79.0,35.0,20.0,2.905041858575069,1263
28,外婆的茶屋 (金門金城店),ah3z,2,['甜點'],False,39.0,79.0,25.0,10.0,2.813572150208396,79
29,阿家美食,gxrq,2,"['湯品', '麵食', '東南亞']",False,39.0,79.0,30.0,15.0,2.7131553818540546,23
30,立鼎鐵板燒,r76d,2,"['鐵板燒', '台式']",False,39.0,79.0,40.0,25.0,2.792807900758512,470
31,拓野家鬆餅 (金門金城店),emqi,1,['甜點'],False,39.0,79.0,30.0,15.0,2.8061456941670193,35
32,尚有味燒烤,k7dr,2,"['麵食', '台式']",False,39.0,79.0,45.0,30.0,3.015825138178347,622
33,總冰暑,gx85,2,"['火鍋', '台式']",False,39.0,79.0,20.0,10.0,2.532709097473772,63
34,火鍋世家,ewn7,2,"['火鍋', '台式']",False,39.0,79.0,35.0,20.0,2.6561371926829636,28
35,STARBUCKS 星巴克 (金門伯玉門市),gsal,2,"['歐美', '飲料']",False,30.0,79.0,15.0,5.0,0.8183973803665854,790
36,武厚茶 (金門金寧店),te15,1,['飲料'],False,30.0,79.0,20.0,5.0,2.24871555476975,314
37,朝食早餐店,cdw7,2,"['早餐', '台式']",False,39.0,79.0,40.0,15.0,2.978990241297727,1182
38,晨間廚房 (金門金城店),d0je,2,"['早餐', '歐美']",True,39.0,79.0,40.0,10.0,2.414657477521037,3681
39,AP203Bar (金門金城店),d8do,2,"['早餐', '台式']",False,39.0,79.0,40.0,10.0,2.1212818591128033,2718
40,早安山丘 (金門環北店),ognw,2,"['早餐', '台式']",False,39.0,79.0,40.0,15.0,1.4151896555384735,2830
41,艾瑪烤焦吐司早餐,rphj,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,39.0,79.0,40.0,15.0,2.61146036184337,73
42,黑嫂的灶腳,d7qw,1,"['早餐', '台式']",False,39.0,79.0,40.0,10.0,4.389958322841591,906
43,紅橘子精緻早午餐 (金門金城店),d4zh,2,"['早餐', '台式']",True,39.0,79.0,40.0,10.0,2.287265006476435,1440
44,小莓小吃店,yrpj,2,"['湯品', '台式']",False,30.0,79.0,40.0,15.0,2.6963776278628404,669
45,Louisa 路易莎 (金門金城店),gxfj,2,"['咖啡', '蛋糕', '歐美']",False,30.0,79.0,40.0,15.0,1.7421871488800424,1766
46,愛上蔥油餅,xced,1,['小吃'],False,39.0,79.0,40.0,15.0,2.6144511687310916,4
47,拉亞漢堡 (金門金城店),daf8,2,"['早餐', '歐美']",False,39.0,79.0,40.0,15.0,2.8447553689223586,155
48,吳記麻辣滷味,s4jc,2,['小吃'],False,39.0,79.0,25.0,10.0,2.3987828617629257,430
49,Mr.Wish 鮮果茶玩家 (金門民權店),kodj,2,['飲料'],False,39.0,79.0,20.0,5.0,2.4391949569336977,60
50,3Q脆皮雞排 (金門金城總店),q2ez,2,"['小吃', '炸雞']",False,30.0,79.0,30.0,15.0,2.762355442559962,2891
51,CoCo都可 (金門金城店),vcu6,2,['飲料'],False,39.0,79.0,25.0,15.0,2.356028443146195,650
52,閒霞之姨,t1mp,2,"['便當', '台式']",False,39.0,79.0,20.0,10.0,1.9068931649253138,66
53,可不可熟成紅茶 (金門金城店),cwg4,1,['飲料'],False,39.0,79.0,20.0,5.0,2.466808540312376,909
54,鄉香滷味,d0kz,2,['小吃'],False,30.0,79.0,20.0,10.0,2.4126574303119495,899
55,食神滷味 (金門金城店),c2px,2,['小吃'],False,39.0,79.0,20.0,5.0,2.6942875061804687,751
56,饗夜食堂 (金門金城店),c2fe,2,"['湯品', '麵食', '台式']",False,30.0,79.0,20.0,5.0,2.5246287732732102,903
57,大仔炸雞,hb2s,2,"['小吃', '炸雞']",False,39.0,79.0,30.0,15.0,2.800367313473342,199
58,潮味決-麻辣燙 燒滷味 (金門金城店),d3is,2,['台式'],True,39.0,79.0,35.0,20.0,2.4102366278405722,2007
59,燒烤福物處,oyki,2,"['麵食', '台式']",False,39.0,79.0,40.0,30.0,0.80943039088605,47
60,丁丁炸雞,hloo,2,['小吃'],False,39.0,79.0,25.0,10.0,3.038836441665783,130
61,1855X圓石 健康手搖飲,pexy,2,['飲料'],False,39.0,79.0,20.0,5.0,2.404317850296272,123
62,金城小么雞,d4vn,2,['小吃'],False,30.0,79.0,20.0,5.0,2.666630906571555,924
63,麻古茶坊 (金門金城店),hnx2,2,['飲料'],False,30.0,79.0,45.0,30.0,2.426811403049293,403
64,艋舺雞排 (金門金城店),xlpz,2,"['小吃', '炸雞']",False,30.0,79.0,25.0,10.0,2.444019795607904,562
65,8°1小吃,x5la,1,"['湯品', '便當', '台式']",False,30.0,79.0,20.0,5.0,2.745683887447275,521
66,雪屋,k2ae,1,['甜點'],False,39.0,79.0,20.0,5.0,2.6805463856433085,826
67,日式屋,knc7,2,['日式'],False,30.0,79.0,20.0,5.0,2.519652706502863,335
