,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,胖老爹美式炸雞 (南投草屯店),eyz0,2,"['歐美', '炸雞']",True,19.0,79.0,30.0,15.0,3.0785990709387705,692
1,Pizza Hut必勝客 (南投草屯店),d2ig,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.828584079945495,3658
2,阿牧家茶AMUSTEA 福山店,b9ca,2,['飲料'],False,9.0,79.0,20.0,5.0,2.5911594057939213,571
3,茶海 (草屯中山店),b2oo,2,['飲料'],False,19.0,79.0,25.0,5.0,3.0268650194781217,2530
4,喫茶小舖 (草屯虎山店),b9is,1,['飲料'],False,9.0,79.0,20.0,5.0,1.6917123365956728,1117
5,太空冰城&蔥抓餅,fqz2,1,['小吃'],False,9.0,79.0,20.0,5.0,2.786999667723577,523
6,根源包ㄚ粉圓,nfs0,1,['飲料'],False,9.0,79.0,20.0,5.0,2.687510158962307,178
7,联亭泡菜鍋 (南投草屯店),x8k3,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,2.440097984808127,319
8,麥當勞 (S211 草屯中正店),q4hh,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.017815852351479,15049
9,九湯屋日式拉麵 (南投草屯店),b6wk,2,"['麵食', '日式']",True,9.0,79.0,20.0,5.0,2.8764581795360433,2316
10,大漠蒙古麻辣燙,b6au,2,['小吃'],False,9.0,79.0,35.0,15.0,3.0347311438555873,4076
11,家鄉碳烤雞排&簡餐(草屯店),tixo,2,"['便當', '小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.4402850595002605,605
12,丼幻日式丼飯,b6sn,2,"['湯品', '日式']",False,9.0,79.0,25.0,5.0,3.030501225131652,6179
13,可不可熟成紅茶 (南投草屯店),gktp,1,['飲料'],False,19.0,79.0,20.0,5.0,2.7129475671776704,1162
14,韓金量新韓式炸雞 (南投草屯店),c93j,2,"['韓式', '炸雞']",False,19.0,79.0,20.0,5.0,1.3435182754690151,176
