,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,先喝道 (彰化社頭店),h6a9,2,['飲料'],False,19.0,79.0,15.0,5.0,2.3349866970696795,115
1,協力旺炸雞 (彰化山腳路店),w46f,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,10.0,0.07685496971468518,21
2,阿仁海鮮粥,l2ac,1,"['湯品', '粥', '台式']",False,19.0,79.0,15.0,5.0,2.353264332719463,856
3,50嵐 (彰化社頭店),x5fd,2,['飲料'],False,19.0,79.0,15.0,5.0,2.4460603456307273,3195
4,食神滷味 (彰化社頭店),g0ur,2,['小吃'],False,19.0,79.0,15.0,5.0,2.389335690932522,560
5,𩵚魠熱炒,fcd0,2,['台式'],False,19.0,79.0,15.0,5.0,2.5442136244533007,97
6,蕭記蚵仔煎,m6sy,2,['台式'],False,19.0,79.0,15.0,5.0,2.3783754159122656,948
7,麥當勞 (S236 田中中正店),m5on,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,4.315722289504158,5035
8,大回香鹹酥雞 (彰化社頭店),gsm4,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,2.4940523016034213,9
9,迷客夏 Milksha (彰化社頭店),sp2n,2,['飲料'],False,19.0,79.0,15.0,5.0,2.3721935979235815,221
10,大苑子 (社頭店),o2vj,2,['飲料'],False,19.0,79.0,15.0,5.0,2.5385379320286665,1796
11,上純炸雞店,m0oy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,4.008818788780216,1005
12,清原芋圓 (彰化社頭店),t0nz,1,['甜點'],False,19.0,79.0,15.0,5.0,2.5180412817283813,754
13,幹嘛辣麻辣燙,hrbs,2,['小吃'],False,19.0,79.0,15.0,5.0,2.7672256008606824,47
14,鄉間小辣,fkbp,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,2.4230075234890283,17
