,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,誠石火鍋 (彰化二林店),wupz,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.0827821269580897,179
1,麥當勞 (S347 二林斗苑店),jz50,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.818582591418114,680
2,炸鷄大獅 (彰化二林店),ey0l,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.0794373278249405,345
3,超好吃鹹酥雞cocky,eddx,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.0644605494710095,144
4,可不可熟成紅茶 (彰化二林店),ipys,1,['飲料'],False,19.0,79.0,20.0,5.0,3.0058142830448604,648
5,迷客夏 Milksha (彰化二林店),q0tv,2,['飲料'],False,19.0,79.0,20.0,5.0,2.84728077224681,860
6,成臭豆腐,l9qs,1,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.893551935321956,704
7,胖老爹美式炸雞 (彰化二林店),l1fo,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,2.856858252639868,770
8,爆Q美式炸雞 (彰化二林店),c4az,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,2.9671200253809964,1242
9,海之味傳統小吃,gzhn,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,2.8366536179832815,272
10,五路鍋聖 (彰化二林店),m7pi,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.263263934196583,1408
11,台灣塩酥雞,u1ot,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.037542524718661,549
12,三商巧福 (4336二林店),g9by,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.70092451237452,637
13,梅亭蜜汁燒烤 (彰化二林店),n7um,2,['小吃'],False,19.0,79.0,20.0,5.0,2.859449456006476,343
14,丐幫滷味 (二林分舵),zo07,2,['小吃'],False,19.0,79.0,20.0,5.0,3.2615173048954227,120
15,阿芊荼舍,iv9b,1,['飲料'],False,19.0,79.0,20.0,5.0,2.870737835105943,65
16,T4清茶達人 (彰化二林店),p4vr,1,['飲料'],False,19.0,79.0,25.0,10.0,2.815077052255043,712
17,好味香羊肉羹,x5gy,1,"['麵食', '台式']",False,19.0,79.0,30.0,10.0,3.066014938453187,522
18,杯樂 (彰化二林店),l0f0,1,['飲料'],False,19.0,79.0,20.0,5.0,2.8918201795314826,158
19,捕夢網 宵夜點心,kyow,2,['台式'],False,19.0,79.0,25.0,10.0,3.0548953076496455,61
20,讚不絕口小火鍋 (彰化二林店),rvtm,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,2.6989273895577566,274
21,輕之茶 (彰化二林店),aahk,1,['飲料'],False,19.0,79.0,20.0,5.0,3.0717866308420283,50
22,牛霸平價牛排 (彰化二林店),xbdq,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,3.118186555630776,32
23,吳家紅茶冰 (二林舊二店),sa1a,1,['飲料'],False,19.0,79.0,20.0,5.0,2.660237667724847,189
24,達美樂 (二林仁愛店),s8yp,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.29892530496435,421
25,更營養酥炸大魷魚.炭烤雞排,i9kz,2,['小吃'],False,19.0,79.0,20.0,5.0,2.863062842936221,11
26,洃熊雞蛋糕,obiv,1,['甜點'],False,19.0,79.0,25.0,10.0,2.744224129571004,102
27,食神滷味 (二林斗苑店),xyig,1,"['火鍋', '小吃']",False,19.0,79.0,30.0,15.0,2.781693988677703,0
28,陳記九龍城香港茶 (彰化二林店),c6yl,1,['飲料'],False,19.0,79.0,20.0,5.0,2.821189785310064,136
29,來易杯飲料 (彰化二林店),nr1g,1,['飲料'],False,19.0,79.0,20.0,5.0,2.8475997058646563,581
30,古早味米糕食堂,gecu,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,2.9793998280532072,948
31,早點鳴！ 精緻早午餐,qre0,1,['台式'],False,19.0,79.0,40.0,15.0,2.5291473670469706,1530
32,漢堡大師 (二林建國店),c7jz,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.747888102875733,1086
33,弘爺漢堡 (二林仁福店),r3ra,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.8661960174031536,1138
34,咕咕雞早餐店,veqb,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.585901424832251,20
35,簡約早午餐,x5lk,2,['台式'],False,19.0,79.0,40.0,15.0,2.9975064596089043,959
36,晨間廚房 (二林仁愛店),l0wk,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.2793575675123163,1051
37,早安美芝城 (二林活力中山店),onfv,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.9620882648369893,58
38,幸福稻飯丸早午餐,v8qe,1,['小吃'],False,19.0,79.0,40.0,15.0,2.8554407978161978,741
39,美麗早餐店,i7ut,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.804378812601492,339
40,傻師傅湯包 (彰化二林店),kf3j,1,"['中式', '餃子']",False,19.0,79.0,40.0,15.0,3.0698712789873985,334
41,肉肉鍋貼,u9jj,1,['台式'],False,19.0,79.0,40.0,15.0,3.283641088365405,8
