,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (彰化中山店),a8kf,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.7356250876926154,2901
1,老先覺功夫窯燒鍋 (彰化中山店),z7al,2,"['火鍋', '台式']",True,19.0,79.0,30.0,20.0,1.8294196226516648,2506
2,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,15.0,5.0,1.508664251796161,44
3,甲文青 (彰化成功店),p2fs,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1082631140024977,679
4,水巷茶弄 (彰化民族店),d9sf,2,['飲料'],False,19.0,79.0,15.0,5.0,1.760365114760364,1633
5,老賴茶棧 (彰化民族店),kh1r,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4339353006692495,706
6,鶴茶樓 (彰化民族店),jecz,2,['飲料'],False,19.0,79.0,15.0,5.0,1.597958296652501,1048
7,醋頭家 (彰化大埔店),wc6t,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5205103971204748,599
8,茶穀鐘 (彰化大埔店),a1di,1,"['咖啡', '飲料']",False,15.0,79.0,15.0,5.0,1.4804675392716986,1185
9,乙奉茶堂,a4wz,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7705059045296956,806
10,頂呱呱TKK (彰化站前店),qb5x,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,5.0,2.3802875906143357,381
11,彰化木瓜牛乳大王 (中正總店),k0rn,1,['甜點'],True,19.0,79.0,20.0,5.0,1.9679030841395215,1092
12,品八方 (彰化金馬店),q7es,3,['港式'],False,19.0,79.0,20.0,5.0,3.2382607252517523,12
13,員林南門四神湯 (彰化中正店),p7nr,2,"['湯品', '麵食', '台式']",True,19.0,79.0,15.0,5.0,1.5751835711123945,2012
14,鼎香無骨鹽酥雞,eq9k,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.5742575056621544,395
15,不時不食清鍋物,rczj,3,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,1.9391081433149946,419
16,燒瓶子。大肆の鍋 (彰化店),kmi8,3,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,0.8205951608343155,246
17,联亭泡菜鍋 (彰化永安店),g5fz,3,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.7287645384338535,1969
18,漢林鐵板燒 (彰化中央店),z8kq,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.7471027512956053,4977
19,麥當勞 (S459 彰化中山二店),d9dh,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.8327261888167421,7596
20,川牛木石亭 (彰化中華店),a8bh,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,0.67949486449811,2578
21,大彰化永和四海豆漿,btxg,2,"['漢堡', '小吃', '三明治 / 吐司']",False,15.0,79.0,15.0,5.0,0.7039432272143389,227
22,21PLUS、21風味館 (彰化中正門市),mctj,3,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,2.1035996027570283,260
23,肯德基KFC炸雞漢堡店 (彰化中山店),a5mx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.3474271276311516,2796
24,瘋雞鹽酥雞2.0,z1uq,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.5722772136872012,2462
25,鴨莊鴨魯飯,sq63,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,1.4807356341922597,519
26,福客來牛肉麵 (彰化大埔店),epfm,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,1.5994555009889595,1885
27,福記爌肉飯,a9lm,1,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.859686493653407,814
28,宮本武丼 (彰化中山店),yot5,2,['日式'],False,19.0,79.0,15.0,5.0,0.9874727297325151,415
29,台北江麻辣臭豆腐 (彰化曉陽店),shvt,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,1.642228056707219,1418
30,天香皇品 (彰化中央店),clv9,2,"['火鍋', '台式']",False,15.0,79.0,15.0,5.0,0.4922782831315814,105
31,阿忠鹹酥雞,p2g8,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.2354980278434504,562
32,犁田鹹酥雞 (彰化華山店),tlr0,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.8977448959155845,1188
33,方濟各牛排屋,z7cg,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,1.331332694785424,1843
34,爭鮮PLUS (彰化店),yc9h,2,['日式'],False,19.0,79.0,15.0,5.0,1.7085224663479017,1268
35,小豬很忙蔬果滷味 (彰化大埔店),a7ez,2,['小吃'],False,19.0,79.0,20.0,10.0,1.483826944180544,1610
36,成功牛排 (彰化大埔店),elpd,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,1.5555411828683132,919
37,釜山崔炸雞 (彰化曉陽店),hkej,2,"['韓式', '炸雞']",False,19.0,79.0,20.0,10.0,1.5910635909974222,372
38,燒等幾勒碳烤,z8ve,2,['小吃'],False,19.0,79.0,20.0,10.0,1.5345337680787074,1489
39,炸魂雞排專作 (彰化大埔店),z8wa,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.4564007464232462,1581
40,皇品牛肉麵 (彰化大埔店),z7pz,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,1.399834193936572,2638
41,可不可熟成紅茶 (彰化民族店),iz2b,1,['飲料'],False,19.0,79.0,15.0,5.0,1.5191112111719158,1150
42,紅嬌炸粿,t6dx,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.8126434487090768,857
43,Page6 義式廚房,z0jm,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.776852525040867,1443
44,Burger King 漢堡王 (彰化店),qvfh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,2.4131397992841803,2071
45,圓木嫩仙草 (彰化民族店),f5g0,1,['甜點'],False,19.0,79.0,15.0,5.0,1.6856956913034853,289
46,劉師傅雞腿大王,ejr1,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,1.9415877526599807,573
47,萬波島嶼紅茶 (彰化中華店),liaa,2,['飲料'],False,19.0,79.0,20.0,5.0,2.17649182730445,157
48,老先覺功夫窯燒鍋 (彰化中山店),z7al,2,"['火鍋', '台式']",True,19.0,79.0,30.0,20.0,1.8294196226516648,2506
49,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,15.0,5.0,1.508664251796161,44
50,甲文青 (彰化成功店),p2fs,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1082631140024977,679
51,水巷茶弄 (彰化民族店),d9sf,2,['飲料'],False,19.0,79.0,15.0,5.0,1.760365114760364,1633
52,老賴茶棧 (彰化民族店),kh1r,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4339353006692495,706
53,鶴茶樓 (彰化民族店),jecz,2,['飲料'],False,19.0,79.0,15.0,5.0,1.597958296652501,1048
54,醋頭家 (彰化大埔店),wc6t,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5205103971204748,599
55,茶穀鐘 (彰化大埔店),a1di,1,"['咖啡', '飲料']",False,15.0,79.0,15.0,5.0,1.4804675392716986,1185
