,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,小雞大雞排 (彰化溪州店),u1qh,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.242626612511852,1022
1,協力旺雞排 (埤頭路口厝店),hzhe,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,2.067497107603403,4
2,達美樂 (北斗文苑店),r1in,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,5.665770260650879,562
3,早安美芝城 (溪州活力中山店),yyhb,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.06807016616399,122
4,麥味登 (彰化溪州店),eeok,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.0674294356889447,213
5,弘爺漢堡 (南州店),nbei,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.6448192475218615,87
6,TEATOP 第一味 (彰化溪州店),n7vn,1,['飲料'],False,19.0,79.0,40.0,15.0,1.7810766038440147,477
7,軍茶 (彰化溪州店),bj7u,1,['飲料'],False,19.0,79.0,40.0,15.0,1.875998684107266,70
8,八方雲集 (彰化溪州店),dfzz,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,1.6760976675079697,202
9,清心福全 (溪州中山店),o7qe,1,['飲料'],False,19.0,79.0,40.0,15.0,1.7708921423228965,636
10,貞貞麻辣涼麵關東煮,u0w9,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,1.8101642932700523,0
11,二鍋頭東山鴨頭 (彰化溪州店),r4mk,2,['小吃'],False,19.0,79.0,40.0,15.0,1.8692626724039918,154
12,協力旺雞排 (埤頭路口厝店),hzhe,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,2.067497107603403,4
13,達美樂 (北斗文苑店),r1in,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,5.665770260650879,562
14,早安美芝城 (溪州活力中山店),yyhb,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.06807016616399,122
15,麥味登 (彰化溪州店),eeok,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.0674294356889447,213
16,弘爺漢堡 (南州店),nbei,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.6448192475218615,87
17,TEATOP 第一味 (彰化溪州店),n7vn,1,['飲料'],False,19.0,79.0,40.0,15.0,1.7810766038440147,477
18,軍茶 (彰化溪州店),bj7u,1,['飲料'],False,19.0,79.0,40.0,15.0,1.875998684107266,70
19,八方雲集 (彰化溪州店),dfzz,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,1.6760976675079697,202
20,清心福全 (溪州中山店),o7qe,1,['飲料'],False,19.0,79.0,40.0,15.0,1.7708921423228965,636
21,貞貞麻辣涼麵關東煮,u0w9,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,1.8101642932700523,0
22,二鍋頭東山鴨頭 (彰化溪州店),r4mk,2,['小吃'],False,19.0,79.0,40.0,15.0,1.8692626724039918,154
