,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S236 田中中正店),m5on,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,4.0033236302173245,5035
1,50嵐 (彰化田中店),r0mt,1,['飲料'],False,19.0,79.0,15.0,5.0,3.57972081782288,2589
2,上純炸雞店,m0oy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.513158502560527,1005
3,十味香雞排,r9de,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.532956205514446,785
4,吮指王 (田中中南店),v8yl,2,"['台式', '炸雞']",False,19.0,79.0,20.0,10.0,2.5751657711580873,551
5,迷客夏 Milksha (彰化田中店),biwx,2,['飲料'],False,19.0,79.0,15.0,5.0,3.5954131362811492,69
6,食神滷味 (彰化田中店),l0yk,2,['小吃'],False,19.0,79.0,20.0,10.0,3.7842664086430196,388
7,胖老爹美式炸雞 (彰化田中店),l6pf,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,3.534922173292815,471
8,大苑子 (田中店),h1jd,2,['飲料'],False,19.0,79.0,15.0,5.0,3.542934772741322,860
9,田中泉成冰果室 (複合式餐飲),k2ke,1,"['便當', '台式']",False,19.0,79.0,20.0,10.0,3.6730285032939185,881
10,皇阿馬烤肉 (彰化田中店),m5ov,2,['小吃'],False,19.0,79.0,25.0,10.0,3.867559946399256,357
11,角間串燒啤酒屋,pxdd,2,['台式'],False,19.0,79.0,25.0,15.0,3.2972115261116475,226
12,讚不絕口風味小火鍋 (彰化田中店),k6be,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,4.089577809189171,964
13,一鍵鐵板燒,hcww,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,3.5416884390012595,150
14,紅茶站,c6zp,1,['飲料'],False,19.0,79.0,20.0,5.0,3.5596083456867795,323
15,冰紛樂,q1py,1,"['便當', '麵食', '台式']",False,19.0,79.0,20.0,10.0,3.0010968455584686,197
16,來一鍋,kitw,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.106191736365517,87
17,老先覺功夫窯燒鍋 (彰化田中MiNi店),l5bw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,3.9753139891667773,605
18,達美樂 (田中員集店),q6xo,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.775166010457623,451
19,憶家鍋物,iq67,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,3.284536281227094,37
20,柇本石鍋,n020,2,"['火鍋', '台式']",False,19.0,79.0,45.0,30.0,3.725185250398858,30
21,清心福全 (北斗中州店),j2wn,1,['飲料'],False,19.0,79.0,20.0,5.0,4.075211980571907,664
22,美式早餐屋 田中店,uv99,1,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,3.164806725179008,234
23,乾杯串燒,s9tk,2,['小吃'],False,19.0,79.0,40.0,15.0,3.358769134649948,97
24,弘爺漢堡 (田中東閔店),o8xv,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.773123716352772,483
25,星晨食坊,ocjq,1,['台式'],False,19.0,79.0,40.0,15.0,3.525094010514698,140
26,鄉村漢堡,has8,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.6967309192613462,107
27,夏一跳中西式早餐店,r4mh,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.406790748820682,629
28,幸福稻飯丸 (彰化田中店),i9sp,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,3.8609061729986958,353
29,城市漢堡 (田中中州店),kll8,2,"['早餐', '台式']",True,19.0,79.0,40.0,15.0,3.8371350428626534,616
30,早安美芝城 (田中活力中州店),tc0z,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.832534392880076,884
31,麥味登 (彰化田中店),gbne,2,['台式'],False,19.0,79.0,40.0,15.0,4.359006365002107,239
32,麥軒活力站,g6tl,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.411141234116925,529
33,微笑71,c3hh,1,['台式'],False,19.0,79.0,40.0,15.0,3.8103789616981993,596
34,吃得巧海苔飯捲 (彰化田中店),h1zg,1,['台式'],False,19.0,79.0,40.0,15.0,3.5177517360855277,100
35,艾堤斯cafe,j5ju,2,"['甜點', '咖啡']",False,19.0,79.0,40.0,15.0,1.4972001561459096,281
36,Q妹熱壓吐司,hkrh,1,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.4075769697026677,85
37,漫步藍咖啡 (彰化田中店),zub0,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,4.184706876861318,178
38,王爺宮後米苔目,whi9,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.921486527166468,282
