,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,阿亮香雞排 (台東豐田店),x0ey,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,2.514690890500971,1320
1,吳家紅茶冰 (台東豐田店),wl0h,1,['飲料'],False,29.0,79.0,15.0,5.0,2.661217333928789,62
2,吼牛排 (台東中興店),uyyi,3,"['歐美', '牛排']",False,29.0,79.0,20.0,10.0,4.384836355139647,288
3,小石鍋 (台東中興店),mt1o,2,"['火鍋', '台式']",False,29.0,79.0,30.0,15.0,4.359565725190852,311
4,馬蘭自助早點,hizz,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.2934232278439657,36
5,店餃煎,tvwj,1,"['台式', '三明治 / 吐司', '餃子']",False,29.0,79.0,40.0,15.0,2.211497400048641,37
6,第一早餐吧,cias,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.5386856603347967,260
7,夢谷複合式餐吧,v40f,2,['甜點'],False,29.0,79.0,40.0,15.0,1.6370438338148048,65
8,味利自助餐,v843,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,2.492975831271948,157
9,朱小吃店(太平總店),wc3p,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,1.2185260329021157,269
10,小玉餐館,oxam,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,2.1125954954612935,911
11,八方雲集 (台東豐田店),f5dk,2,"['台式', '餃子']",False,29.0,79.0,40.0,15.0,2.031055427687069,899
12,美美快餐便當,cepp,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,4.359809141029728,25
13,禾野鐵板燒 (台東中興店),pjbx,2,"['鐵板燒', '台式']",False,29.0,79.0,40.0,15.0,3.71100384200274,430
14,舒芙蕾鬆餅,qd4s,1,['甜點'],False,29.0,79.0,40.0,15.0,2.4260975121731176,40
15,紅茶洋行 (台東中興店),zgli,1,['飲料'],False,29.0,79.0,40.0,15.0,4.3365631325506175,158
16,老朋友熱炒,r57z,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,2.443142650202277,263
17,PAOPAO'S脆皮炸雞,rptg,2,"['歐美', '炸雞']",False,29.0,79.0,40.0,15.0,2.552026154068834,76
18,吳家紅茶冰 (台東豐田店),wl0h,1,['飲料'],False,29.0,79.0,15.0,5.0,2.661217333928789,62
19,吼牛排 (台東中興店),uyyi,3,"['歐美', '牛排']",False,29.0,79.0,20.0,10.0,4.384836355139647,288
20,小石鍋 (台東中興店),mt1o,2,"['火鍋', '台式']",False,29.0,79.0,30.0,15.0,4.359565725190852,311
21,馬蘭自助早點,hizz,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.2934232278439657,36
22,店餃煎,tvwj,1,"['台式', '三明治 / 吐司', '餃子']",False,29.0,79.0,40.0,15.0,2.211497400048641,37
23,第一早餐吧,cias,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.5386856603347967,260
24,夢谷複合式餐吧,v40f,2,['甜點'],False,29.0,79.0,40.0,15.0,1.6370438338148048,65
25,味利自助餐,v843,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,2.492975831271948,157
26,朱小吃店(太平總店),wc3p,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,1.2185260329021157,269
27,小玉餐館,oxam,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,2.1125954954612935,911
28,八方雲集 (台東豐田店),f5dk,2,"['台式', '餃子']",False,29.0,79.0,40.0,15.0,2.031055427687069,899
29,美美快餐便當,cepp,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,4.359809141029728,25
30,禾野鐵板燒 (台東中興店),pjbx,2,"['鐵板燒', '台式']",False,29.0,79.0,40.0,15.0,3.71100384200274,430
31,舒芙蕾鬆餅,qd4s,1,['甜點'],False,29.0,79.0,40.0,15.0,2.4260975121731176,40
32,紅茶洋行 (台東中興店),zgli,1,['飲料'],False,29.0,79.0,40.0,15.0,4.3365631325506175,158
33,老朋友熱炒,r57z,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,2.443142650202277,263
34,PAOPAO'S脆皮炸雞,rptg,2,"['歐美', '炸雞']",False,29.0,79.0,40.0,15.0,2.552026154068834,76
